contrast,order,Final,Old,Incoming,Forget
A1-A0,1,-1.3536755511300846e-05,-0.00011344540722624252,0.00018628054791869353,0.00011344540722624252
A1-A0,2,5.415866788238688e-05,7.958993703549577e-05,3.2961295761690934e-06,-7.958993703555128e-05
A1-A0,mean,2.0310956185543017e-05,-1.6927735095373375e-05,9.478833874743131e-05,1.692773509534562e-05
A2-A0,1,-0.029359237169884422,-0.05060785310927929,0.013137994708905198,0.05060785310927929
A2-A0,2,-0.007854566346498393,-0.005212374926409913,-0.013138949186675242,0.005212374926409857
A2-A0,mean,-0.018606901758191408,-0.0279101140178446,-4.772388850216025e-07,0.027910114017844573
A3-A0,1,-0.02913945836719689,-0.05042193595860012,0.013425496815609561,0.05042193595860009
A3-A0,2,-0.007232399418912516,-0.004296768818109475,-0.013103660620518265,0.00429676881810942
A3-A0,mean,-0.018185928893054704,-0.027359352388354796,0.00016091809754564812,0.027359352388354755
A5-A0,1,-0.02922675138591202,-0.05050390308345387,0.013327552009171573,0.0505039030834539
A5-A0,2,-0.007284228658279712,-0.0044119504679109856,-0.013028785039017277,0.004411950467910958
A5-A0,mean,-0.018255490022095866,-0.02745792677568243,0.00014938348507714805,0.02745792677568243
A5-A1,1,-0.02921321463040072,-0.05039045767622763,0.01314127146125288,0.05039045767622766
A5-A1,2,-0.007338387326162099,-0.004491540404946481,-0.013032081168593446,0.004491540404946509
A5-A1,mean,-0.01827580097828141,-0.027440999040587055,5.459514632971674e-05,0.027440999040587083
A5-A2,1,0.00013248578397240252,0.00010395002582541668,0.00018955730026637418,-0.00010395002582538893
A5-A2,2,0.0005703376882186806,0.0008004244584989273,0.00011016414765796512,-0.0008004244584988995
A5-A2,mean,0.00035141173609554155,0.000452187242162172,0.00014986072396216965,-0.00045218724216214423
A5-A3,1,-8.729301871512885e-05,-8.196712485375457e-05,-9.794480643798842e-05,8.196712485381008e-05
A5-A3,2,-5.182923936719597e-05,-0.00011518164980151013,7.487558150098828e-05,0.00011518164980153789
A5-A3,mean,-6.95611290411624e-05,-9.857438732763235e-05,-1.1534612468500072e-05,9.857438732767398e-05
A5-A4,1,-7.765809196258466e-06,-4.029376928227357e-05,5.7290110975660724e-05,4.029376928227357e-05
A5-A4,2,8.46117980347616e-05,0.0001766512507341833,-9.946710736430386e-05,-0.00017665125073415555
A5-A4,mean,3.8422994419251566e-05,6.817874072595487e-05,-2.108849819432157e-05,-6.817874072594099e-05
A3-A1-A2+A0,1,0.0002333155581988322,0.0002993625579054138,0.00010122155878566907,-0.00029936255790544153
A3-A1-A2+A0,2,0.0005680082597034897,0.0008360161712649417,3.199243658080775e-05,-0.0008360161712648861
A3-A1-A2+A0,mean,0.00040066190895116094,0.0005676893645851777,6.660699768323841e-05,-0.0005676893645851638
