node_id,arm,seed,order,origin,Final,Old,Incoming,Forget,delta_A0_Final_pp,delta_A0_Old_pp,delta_A0_Incoming_pp,delta_A0_Forget_pp
P1__B2_PARENT_PAS_KL_C06__S163__O1__STAGE2,A0,163,1,historical_import,0.6683732324349658,0.6405721650060532,0.7239753672927911,0.12319837079138385,0.0,0.0,0.0,0.0
P1__B2_PARENT_PAS_KL_C06__S163__O2__STAGE2,A0,163,2,historical_import,0.6465585607721883,0.6132315481183275,0.7132125860799099,0.16717354208373875,0.0,0.0,0.0,0.0
AGMS__A1__S163__O1__STAGE2,A1,163,1,new_execution,0.6683596956794545,0.6404587195988269,0.7241616478407098,0.12331181619861009,-0.0013536755511300846,-0.011344540722624252,0.018628054791869353,0.011344540722624252
AGMS__A2__S163__O1__STAGE2,A2,163,1,new_execution,0.6390139952650814,0.5899643118967739,0.7371133620016963,0.17380622390066314,-2.9359237169884422,-5.060785310927929,1.3137994708905198,5.060785310927929
AGMS__A3__S163__O1__STAGE2,A3,163,1,new_execution,0.6392337740677689,0.5901502290474531,0.7374008641084007,0.17362030674998394,-2.913945836719689,-5.042193595860011,1.342549681560956,5.042193595860009
AGMS__A4__S163__O1__STAGE2,A4,163,1,new_execution,0.6391542468582501,0.5901085556918816,0.737245629190987,0.17366198010555547,-2.921898557671576,-5.04636093141716,1.3270261898195912,5.046360931417163
AGMS__A5__S163__O1__STAGE2,A5,163,1,new_execution,0.6391464810490538,0.5900682619225993,0.7373029193019627,0.17370227387483775,-2.922675138591202,-5.050390308345387,1.3327552009171573,5.05039030834539
AGMS__A1__S163__O2__STAGE2,A1,163,2,new_execution,0.6466127194400707,0.613311138055363,0.7132158822094861,0.1670939521467032,0.005415866788238688,0.007958993703549577,0.00032961295761690934,-0.007958993703555128
AGMS__A2__S163__O2__STAGE2,A2,163,2,new_execution,0.6387039944256899,0.6080191731919176,0.7000736368932347,0.1723859170101486,-0.7854566346498393,-0.5212374926409913,-1.3138949186675242,0.5212374926409857
AGMS__A3__S163__O2__STAGE2,A3,163,2,new_execution,0.6393261613532758,0.608934779300218,0.7001089254593916,0.17147031090184817,-0.7232399418912516,-0.42967688181094754,-1.3103660620518265,0.429676881810942
AGMS__A4__S163__O2__STAGE2,A4,163,2,new_execution,0.6391897203158738,0.6086429463996823,0.7002832681482569,0.17176214380238386,-0.7368840456314474,-0.4588601718645169,-1.2929317931652973,0.45886017186451133
AGMS__A5__S163__O2__STAGE2,A5,163,2,new_execution,0.6392743321139086,0.6088195976504165,0.7001838010408926,0.1715854925516497,-0.7284228658279712,-0.44119504679109856,-1.3028785039017277,0.4411950467910958
