node_id,arm,seed,order,origin,domain,rim,cup,disc_union,macro_Dice
P1__B2_PARENT_PAS_KL_C06__S163__O1__STAGE2,A0,163,1,historical_import,REFUGE,0.714951813655913,0.7205105914125619,0.8767946157031549,0.7177312025342375
P1__B2_PARENT_PAS_KL_C06__S163__O1__STAGE2,A0,163,1,historical_import,RIM_ONE_r3,0.5401228878479282,0.5867033671078096,0.7736522963716268,0.5634131274778689
P1__B2_PARENT_PAS_KL_C06__S163__O1__STAGE2,A0,163,1,historical_import,Drishti_GS,0.7146527621332295,0.7332979724523528,0.9356174084492718,0.7239753672927911
P1__B2_PARENT_PAS_KL_C06__S163__O2__STAGE2,A0,163,2,historical_import,REFUGE,0.6481279130345778,0.7631958159118716,0.813973808374341,0.7056618644732247
P1__B2_PARENT_PAS_KL_C06__S163__O2__STAGE2,A0,163,2,historical_import,Drishti_GS,0.5193081989465872,0.5222942645802732,0.8360664134604522,0.5208012317634302
P1__B2_PARENT_PAS_KL_C06__S163__O2__STAGE2,A0,163,2,historical_import,RIM_ONE_r3,0.7482226097449187,0.6782025624149012,0.8943764010813329,0.7132125860799099
AGMS__A1__S163__O1__STAGE2,A1,163,1,historical_import,REFUGE,0.7148061530456428,0.7204299414662776,0.8768203544829499,0.7176180472559601
AGMS__A1__S163__O1__STAGE2,A1,163,1,historical_import,RIM_ONE_r3,0.5402308189079085,0.5863679649754792,0.7734839135974079,0.5632993919416938
AGMS__A1__S163__O1__STAGE2,A1,163,1,historical_import,Drishti_GS,0.7148916420014446,0.733431653679975,0.9356201354273882,0.7241616478407098
AGMS__A5__S163__O1__STAGE2,A5_CONTROL,163,1,historical_import,REFUGE,0.6957601052742802,0.6964905233229013,0.8919876289753597,0.6961253142985908
AGMS__A5__S163__O1__STAGE2,A5_CONTROL,163,1,historical_import,RIM_ONE_r3,0.4325042633617079,0.5355181557315076,0.7267508606377766,0.48401120954660776
AGMS__A5__S163__O1__STAGE2,A5_CONTROL,163,1,historical_import,Drishti_GS,0.7276893580224179,0.7469164805815075,0.9377315937619574,0.7373029193019627
AGMS__A1__S163__O2__STAGE2,A1,163,2,historical_import,REFUGE,0.6483726404601932,0.7635404698505862,0.8142362473496796,0.7059565551553897
AGMS__A1__S163__O2__STAGE2,A1,163,2,historical_import,Drishti_GS,0.5192530774470295,0.5220783644636429,0.8363876799294464,0.5206657209553363
AGMS__A1__S163__O2__STAGE2,A1,163,2,historical_import,RIM_ONE_r3,0.7482863545110285,0.6781454099079437,0.8944209772622738,0.7132158822094861
AGMS__A5__S163__O2__STAGE2,A5_CONTROL,163,2,historical_import,REFUGE,0.6879508212856932,0.7535080308044253,0.8445807299703801,0.7207294260450592
AGMS__A5__S163__O2__STAGE2,A5_CONTROL,163,2,historical_import,Drishti_GS,0.5523310115723183,0.44148852693922913,0.8663036005645872,0.49690976925577374
AGMS__A5__S163__O2__STAGE2,A5_CONTROL,163,2,historical_import,RIM_ONE_r3,0.7437433074010231,0.6566242946807621,0.8885407662900418,0.7001838010408926
DS_HALF__A5__S163__O1__STAGE2,HALF_CONTROL,163,1,historical_import,REFUGE,0.6939609221170376,0.6998045956521843,0.8838189104017747,0.6968827588846109
DS_HALF__A5__S163__O1__STAGE2,HALF_CONTROL,163,1,historical_import,RIM_ONE_r3,0.4225160226158341,0.5367418035845954,0.720541319932213,0.47962891310021477
DS_HALF__A5__S163__O1__STAGE2,HALF_CONTROL,163,1,historical_import,Drishti_GS,0.7144052617456207,0.742757675958694,0.9341155685586989,0.7285814688521574
DS_HALF__A5__S163__O2__STAGE2,HALF_CONTROL,163,2,historical_import,REFUGE,0.7298389825518412,0.7488048082696004,0.8644093462287117,0.7393218954107208
DS_HALF__A5__S163__O2__STAGE2,HALF_CONTROL,163,2,historical_import,Drishti_GS,0.5451871114601654,0.45151752556292274,0.8560887561264727,0.49835231851154405
DS_HALF__A5__S163__O2__STAGE2,HALF_CONTROL,163,2,historical_import,RIM_ONE_r3,0.7392529586088225,0.656611954052987,0.8841970532444847,0.6979324563309047
OBSERVER__OBS0__S163__O1__STAGE2,OBS0,163,1,new_execution,REFUGE,0.7147328940982899,0.7205601878175973,0.876736523097853,0.7176465409579436
OBSERVER__OBS0__S163__O1__STAGE2,OBS0,163,1,new_execution,RIM_ONE_r3,0.5397069144646613,0.5861661663505038,0.7733963068395753,0.5629365404075826
OBSERVER__OBS0__S163__O1__STAGE2,OBS0,163,1,new_execution,Drishti_GS,0.7149499979080478,0.7334629981132246,0.9356581112638197,0.7242064980106362
OBSERVER__OBS0__S163__O2__STAGE2,OBS0,163,2,new_execution,REFUGE,0.6477676390345963,0.7635262343954515,0.8137805499509453,0.705646936715024
OBSERVER__OBS0__S163__O2__STAGE2,OBS0,163,2,new_execution,Drishti_GS,0.5194550503772117,0.5221089379202026,0.8365769869987456,0.5207819941487072
OBSERVER__OBS0__S163__O2__STAGE2,OBS0,163,2,new_execution,RIM_ONE_r3,0.7483003790854406,0.6781562510037207,0.8944361132488625,0.7132283150445806
