node_id,arm,seed,order,origin,Final,Old,Incoming,Forget
P1__B2_PARENT_PAS_KL_C06__S163__O1__STAGE2,A0,163,1,historical_import,0.6683732324349658,0.6405721650060532,0.7239753672927911,0.12319837079138385
P1__B2_PARENT_PAS_KL_C06__S163__O2__STAGE2,A0,163,2,historical_import,0.6465585607721883,0.6132315481183275,0.7132125860799099,0.16717354208373875
AGMS__A1__S163__O1__STAGE2,A1,163,1,historical_import,0.6683596956794545,0.6404587195988269,0.7241616478407098,0.12331181619861009
AGMS__A5__S163__O1__STAGE2,A5_CONTROL,163,1,historical_import,0.6391464810490538,0.5900682619225993,0.7373029193019627,0.17370227387483775
AGMS__A1__S163__O2__STAGE2,A1,163,2,historical_import,0.6466127194400707,0.613311138055363,0.7132158822094861,0.1670939521467032
AGMS__A5__S163__O2__STAGE2,A5_CONTROL,163,2,historical_import,0.6392743321139086,0.6088195976504165,0.7001838010408926,0.1715854925516497
DS_HALF__A5__S163__O1__STAGE2,HALF_CONTROL,163,1,historical_import,0.6350310469456609,0.5882558359924128,0.7285814688521574,0.17551469980502418
DS_HALF__A5__S163__O2__STAGE2,HALF_CONTROL,163,2,historical_import,0.6452022234177233,0.6188371069611325,0.6979324563309047,0.16156798324093374
OBSERVER__OBS0__S163__O1__STAGE2,OBS0,163,1,new_execution,0.6682631931253874,0.6402915406827631,0.7242064980106362,0.12347899511467397
OBSERVER__OBS0__S163__O2__STAGE2,OBS0,163,2,new_execution,0.6465524153027706,0.6132144654318656,0.7132283150445806,0.16719062477020058
