contrast,order,Final,Old,Incoming,Forget
OBS0-A0,1,-0.00011003930957842467,-0.000280624323290124,0.000231130717845085,0.000280624323290124
OBS0-A0,2,-6.145469417684346e-06,-1.708268646183342e-05,1.572896467072482e-05,1.708268646183342e-05
OBS0-A0,mean,-5.809238949805451e-05,-0.0001488535048759787,0.0001234298412579049,0.0001488535048759787
OBS0-A1,1,-9.650255406712382e-05,-0.00016717891606388147,4.485016992639146e-05,0.00016717891606388147
OBS0-A1,2,-6.0304137300071226e-05,-9.667262349732919e-05,1.2432835094555728e-05,9.66726234973847e-05
OBS0-A1,mean,-7.840334568359753e-05,-0.00013192576978060533,2.8641502510473593e-05,0.00013192576978063308
OBS0-A5_CONTROL,1,0.029116712076333595,0.05022327876016375,-0.013096421291326488,-0.050223278760163775
OBS0-A5_CONTROL,2,0.007278083188862028,0.004394867781449152,0.013044514003688001,-0.004394867781449124
OBS0-A5_CONTROL,mean,0.01819739763259781,0.02730907327080645,-2.5953643819243144e-05,-0.02730907327080645
OBS0-HALF_CONTROL,1,0.033232146179726474,0.05203570469035024,-0.004374970841521164,-0.05203570469035021
OBS0-HALF_CONTROL,2,0.0013501918850473693,-0.005622641529266836,0.015295858713675892,0.005622641529266836
OBS0-HALF_CONTROL,mean,0.01729116903238692,0.0232065315805417,0.005460443936077364,-0.023206531580541687
