task_id,seed,order,arm,domain,role,n_patients,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice
O1_s61_SRC_CE,61,O1,SRC_CE,RIM_ONE_r3,source,40,40,0.9870295243146344,0.7330696983532834,0.6843997261414897,0.7087347122473866
O1_s61_T_CE,61,O1,T_CE,RIM_ONE_r3,old,40,40,0.9749426377121274,0.3699879710473958,0.4919200606089039,0.43095401582814985
O1_s61_T_CE,61,O1,T_CE,Drishti_GS,current,25,25,0.9866647963012547,0.6926535687229388,0.7763323032798866,0.7344929360014127
O1_s61_T_CED,61,O1,T_CED,RIM_ONE_r3,old,40,40,0.9739651202884929,0.4480092628395396,0.5362814323791716,0.49214534760935563
O1_s61_T_CED,61,O1,T_CED,Drishti_GS,current,25,25,0.9813987136660096,0.6484175116200096,0.7672756999365334,0.7078466057782714
O1_s61_T_LCTX,61,O1,T_LCTX,RIM_ONE_r3,old,40,40,0.9723954055589864,0.549368098444649,0.5615442133743871,0.555456155909518
O1_s61_T_LCTX,61,O1,T_LCTX,Drishti_GS,current,25,25,0.9896191956215071,0.7069879089908614,0.7442523960839205,0.7256201525373911
O1_s61_T_UCTX,61,O1,T_UCTX,RIM_ONE_r3,old,40,40,0.9741343788194751,0.5153027795904362,0.5266702490841176,0.5209865143372769
O1_s61_T_UCTX,61,O1,T_UCTX,Drishti_GS,current,25,25,0.9890096121658383,0.7141325604172611,0.7447725660818132,0.7294525632495372
O1_s61_T_AMS,61,O1,T_AMS,RIM_ONE_r3,old,40,40,0.9759034690026247,0.5381159990117592,0.5424319583049771,0.5402739786583682
O1_s61_T_AMS,61,O1,T_AMS,Drishti_GS,current,25,25,0.9867023252387733,0.705760705453959,0.7140254719291593,0.7098930886915591
O2_s61_SRC_CE,61,O2,SRC_CE,Drishti_GS,source,25,25,0.9821261576384483,0.6503829136719266,0.7484186011624524,0.6994007574171895
O2_s61_T_CE,61,O2,T_CE,Drishti_GS,old,25,25,0.9662930465557379,0.4169285635974035,0.4149890551844129,0.4159588093909082
O2_s61_T_CE,61,O2,T_CE,RIM_ONE_r3,current,40,40,0.9857506837939557,0.7128932153522504,0.6556444366420079,0.684268825997129
O2_s61_T_CED,61,O2,T_CED,Drishti_GS,old,25,25,0.9689914130266513,0.4398679184944717,0.3400776290258193,0.3899727737601455
