task_id,order,seed,arm,domain,source_domain,source_task_id,updates
O1_s61_SRC_CE,O1,61,SRC_CE,RIM_ONE_r3,RIM_ONE_r3,,3200
O1_s61_T_CE,O1,61,T_CE,Drishti_GS,RIM_ONE_r3,O1_s61_SRC_CE,2100
O1_s61_T_CED,O1,61,T_CED,Drishti_GS,RIM_ONE_r3,O1_s61_SRC_CE,2100
O1_s61_T_LCTX,O1,61,T_LCTX,Drishti_GS,RIM_ONE_r3,O1_s61_SRC_CE,2100
O1_s61_T_UCTX,O1,61,T_UCTX,Drishti_GS,RIM_ONE_r3,O1_s61_SRC_CE,2100
O1_s61_T_AMS,O1,61,T_AMS,Drishti_GS,RIM_ONE_r3,O1_s61_SRC_CE,2100
O2_s61_SRC_CE,O2,61,SRC_CE,Drishti_GS,Drishti_GS,,2100
O2_s61_T_CE,O2,61,T_CE,RIM_ONE_r3,Drishti_GS,O2_s61_SRC_CE,3200
O2_s61_T_CED,O2,61,T_CED,RIM_ONE_r3,Drishti_GS,O2_s61_SRC_CE,3200
O2_s61_T_LCTX,O2,61,T_LCTX,RIM_ONE_r3,Drishti_GS,O2_s61_SRC_CE,3200
O2_s61_T_UCTX,O2,61,T_UCTX,RIM_ONE_r3,Drishti_GS,O2_s61_SRC_CE,3200
O2_s61_T_AMS,O2,61,T_AMS,RIM_ONE_r3,Drishti_GS,O2_s61_SRC_CE,3200
O1_s62_SRC_CE,O1,62,SRC_CE,RIM_ONE_r3,RIM_ONE_r3,,3200
O1_s62_T_CE,O1,62,T_CE,Drishti_GS,RIM_ONE_r3,O1_s62_SRC_CE,2100
O1_s62_T_CED,O1,62,T_CED,Drishti_GS,RIM_ONE_r3,O1_s62_SRC_CE,2100
O1_s62_T_LCTX,O1,62,T_LCTX,Drishti_GS,RIM_ONE_r3,O1_s62_SRC_CE,2100
O1_s62_T_UCTX,O1,62,T_UCTX,Drishti_GS,RIM_ONE_r3,O1_s62_SRC_CE,2100
O1_s62_T_AMS,O1,62,T_AMS,Drishti_GS,RIM_ONE_r3,O1_s62_SRC_CE,2100
O2_s62_SRC_CE,O2,62,SRC_CE,Drishti_GS,Drishti_GS,,2100
O2_s62_T_CE,O2,62,T_CE,RIM_ONE_r3,Drishti_GS,O2_s62_SRC_CE,3200
O2_s62_T_CED,O2,62,T_CED,RIM_ONE_r3,Drishti_GS,O2_s62_SRC_CE,3200
O2_s62_T_LCTX,O2,62,T_LCTX,RIM_ONE_r3,Drishti_GS,O2_s62_SRC_CE,3200
O2_s62_T_UCTX,O2,62,T_UCTX,RIM_ONE_r3,Drishti_GS,O2_s62_SRC_CE,3200
O2_s62_T_AMS,O2,62,T_AMS,RIM_ONE_r3,Drishti_GS,O2_s62_SRC_CE,3200
O1_s63_SRC_CE,O1,63,SRC_CE,RIM_ONE_r3,RIM_ONE_r3,,3200
O1_s63_T_CE,O1,63,T_CE,Drishti_GS,RIM_ONE_r3,O1_s63_SRC_CE,2100
O1_s63_T_CED,O1,63,T_CED,Drishti_GS,RIM_ONE_r3,O1_s63_SRC_CE,2100
O1_s63_T_LCTX,O1,63,T_LCTX,Drishti_GS,RIM_ONE_r3,O1_s63_SRC_CE,2100
O1_s63_T_UCTX,O1,63,T_UCTX,Drishti_GS,RIM_ONE_r3,O1_s63_SRC_CE,2100
O1_s63_T_AMS,O1,63,T_AMS,Drishti_GS,RIM_ONE_r3,O1_s63_SRC_CE,2100
O2_s63_SRC_CE,O2,63,SRC_CE,Drishti_GS,Drishti_GS,,2100
O2_s63_T_CE,O2,63,T_CE,RIM_ONE_r3,Drishti_GS,O2_s63_SRC_CE,3200
O2_s63_T_CED,O2,63,T_CED,RIM_ONE_r3,Drishti_GS,O2_s63_SRC_CE,3200
O2_s63_T_LCTX,O2,63,T_LCTX,RIM_ONE_r3,Drishti_GS,O2_s63_SRC_CE,3200
O2_s63_T_UCTX,O2,63,T_UCTX,RIM_ONE_r3,Drishti_GS,O2_s63_SRC_CE,3200
O2_s63_T_AMS,O2,63,T_AMS,RIM_ONE_r3,Drishti_GS,O2_s63_SRC_CE,3200
