gate,original_threshold,observed,status,method_pass
relative_to_frozen_ppc_v0_6b.current_drop_p90_reduction_min,0.015,,NOT_EVALUATED,False
relative_to_frozen_ppc_v0_6b.current_drop_reduction_min,0.005,,NOT_EVALUATED,False
relative_to_frozen_ppc_v0_6b.historical_gain_difference_min,-0.05,,NOT_EVALUATED,False
relative_to_frozen_ppc_v0_6b.maximum_seed_domain_drop_p90_reduction_min,0.025,,NOT_EVALUATED,False
relative_to_frozen_ppc_v0_6b.maximum_seed_domain_drop_reduction_min,0.025,,NOT_EVALUATED,False
relative_to_frozen_ppc_v0_6b.overall_gain_difference_min,-0.03,,NOT_EVALUATED,False
safety.current_domain_cases_with_delta_below_minus_0_10,0,,NOT_EVALUATED,False
safety.current_domain_drop_max,0.01,,NOT_EVALUATED,False
safety.current_domain_drop_p90_max,0.015,,NOT_EVALUATED,False
safety.maximum_current_class_drop_max,0.015,,NOT_EVALUATED,False
safety.maximum_seed_domain_drop_max,0.02,,NOT_EVALUATED,False
safety.maximum_seed_domain_drop_p90_max,0.025,,NOT_EVALUATED,False
safety.worst_current_domain_case_delta_min,-0.1,,NOT_EVALUATED,False
stability.bayesian_fits_per_fold_min,195/200,,NOT_EVALUATED,False
stability.historical_gain_p10_min,0.25,,NOT_EVALUATED,False
stability.median_action_consensus_min,0.8,,NOT_EVALUATED,False
stability.modal_action_disagreement_max,0.1,,NOT_EVALUATED,False
stability.shared_gain_p10_min,0.15,,NOT_EVALUATED,False
value.REFUGE_gain,greater_than_zero,,NOT_EVALUATED,False
value.RIM_ONE_r3_gain,greater_than_zero,,NOT_EVALUATED,False
value.domain_oracle_gap_max,0.08,,NOT_EVALUATED,False
value.historical_gain_min,0.27,,NOT_EVALUATED,False
value.positive_seed_count,3,,NOT_EVALUATED,False
value.three_domain_gain_min,0.17,,NOT_EVALUATED,False
