policy,rows,no_op_rows,observed_selected_rows,observed_nonharm_rows,correction_precision_numerator,correction_precision_denominator,original_mask_pixels,hard_changed_pixels,probability_changed_pixels,GT_valid_hard_changed_pixels,proposals_total,strict_actions_total,no_area_actions_total,free_actions_total,quantity_rejected_total,foreground_area_rejected_total,image_area_rejected_total,zero_current_foreground_rows
O_CAP_lambda050,198,71,127,126,127,127,187900,114337,187900,114337,949,15796,26374,159232,132858,72558,64706,0
O_CAP_lambda075,198,73,125,124,125,125,182578,165536,182578,165536,949,15796,26374,159232,132858,72558,64706,0
O_CAP_envelope,198,71,127,126,127,127,184697,159795,184697,159795,949,15796,26374,159232,132858,72558,64706,0
O_SAFE0_lambda050,198,72,126,126,126,126,187677,114114,187677,114114,949,15796,26374,159232,132858,72558,64706,0
O_SAFE0_lambda075,198,74,124,124,124,124,182355,165313,182355,165313,949,15796,26374,159232,132858,72558,64706,0
O_SAFE0_envelope,198,72,126,126,126,126,184474,159572,184474,159572,949,15796,26374,159232,132858,72558,64706,0
O_NO_AREA_lambda050,198,44,154,152,154,154,1724882,1262947,1724882,1262947,949,15796,26374,159232,132858,72558,64706,0
O_NO_AREA_lambda075,198,44,154,149,154,154,1703431,1624117,1703431,1624117,949,15796,26374,159232,132858,72558,64706,0
O_NO_AREA_envelope,198,44,154,151,154,154,1718901,1585441,1718901,1585441,949,15796,26374,159232,132858,72558,64706,0
O_FREE_SUBSET_lambda050,198,44,154,152,154,154,1769657,1289143,1769657,1289143,949,15796,26374,159232,132858,72558,64706,0
O_FREE_SUBSET_lambda075,198,44,154,149,154,154,1746608,1663703,1746608,1663703,949,15796,26374,159232,132858,72558,64706,0
O_FREE_SUBSET_envelope,198,44,154,151,154,154,1760183,1622888,1760183,1622888,949,15796,26374,159232,132858,72558,64706,0
