policy,gate,original_threshold,observed,status,method_pass,refit_or_calibration_guarantee
O_CAP_envelope,relative_to_frozen_ppc_v0_6b.current_drop_p90_reduction_min,0.015,,NOT_EVALUATED,False,False
O_CAP_envelope,relative_to_frozen_ppc_v0_6b.current_drop_reduction_min,0.005,0.015315363792476487,DESCRIPTIVE_ORACLE_MEETS,False,False
O_CAP_envelope,relative_to_frozen_ppc_v0_6b.historical_gain_difference_min,-0.05,-0.2790471201092072,DESCRIPTIVE_ORACLE_DOES_NOT_MEET,False,False
O_CAP_envelope,relative_to_frozen_ppc_v0_6b.maximum_seed_domain_drop_p90_reduction_min,0.025,,NOT_EVALUATED,False,False
O_CAP_envelope,relative_to_frozen_ppc_v0_6b.maximum_seed_domain_drop_reduction_min,0.025,0.045946091377429464,DESCRIPTIVE_ORACLE_MEETS,False,False
O_CAP_envelope,relative_to_frozen_ppc_v0_6b.overall_gain_difference_min,-0.03,-0.1809262921419793,DESCRIPTIVE_ORACLE_DOES_NOT_MEET,False,False
O_CAP_envelope,safety.current_domain_cases_with_delta_below_minus_0_10,0,0,DESCRIPTIVE_ORACLE_MEETS,False,False
O_CAP_envelope,safety.current_domain_drop_max,0.01,0.0,DESCRIPTIVE_ORACLE_MEETS,False,False
O_CAP_envelope,safety.current_domain_drop_p90_max,0.015,,NOT_EVALUATED,False,False
O_CAP_envelope,safety.maximum_current_class_drop_max,0.015,0.0,DESCRIPTIVE_ORACLE_MEETS,False,False
O_CAP_envelope,safety.maximum_seed_domain_drop_max,0.02,0.0,DESCRIPTIVE_ORACLE_MEETS,False,False
O_CAP_envelope,safety.maximum_seed_domain_drop_p90_max,0.025,,NOT_EVALUATED,False,False
O_CAP_envelope,safety.worst_current_domain_case_delta_min,-0.1,0.0,DESCRIPTIVE_ORACLE_MEETS,False,False
O_CAP_envelope,stability.bayesian_fits_per_fold_min,195/200,,NOT_EVALUATED,False,False
O_CAP_envelope,stability.historical_gain_p10_min,0.25,,NOT_EVALUATED,False,False
O_CAP_envelope,stability.median_action_consensus_min,0.8,,NOT_EVALUATED,False,False
O_CAP_envelope,stability.modal_action_disagreement_max,0.1,,NOT_EVALUATED,False,False
O_CAP_envelope,stability.shared_gain_p10_min,0.15,,NOT_EVALUATED,False,False
O_CAP_envelope,value.REFUGE_gain,greater_than_zero,0.04189719674677409,DESCRIPTIVE_ORACLE_MEETS,False,False
O_CAP_envelope,value.RIM_ONE_r3_gain,greater_than_zero,0.016865545168417272,DESCRIPTIVE_ORACLE_MEETS,False,False
O_CAP_envelope,value.domain_oracle_gap_max,0.08,0.21338798942548998,DESCRIPTIVE_ORACLE_DOES_NOT_MEET,False,False
O_CAP_envelope,value.historical_gain_min,0.27,0.029381370957595684,DESCRIPTIVE_ORACLE_DOES_NOT_MEET,False,False
O_CAP_envelope,value.positive_seed_count,3,3,DESCRIPTIVE_ORACLE_MEETS,False,False
O_CAP_envelope,value.three_domain_gain_min,0.17,0.01958758063839712,DESCRIPTIVE_ORACLE_DOES_NOT_MEET,False,False
O_SAFE0_envelope,relative_to_frozen_ppc_v0_6b.current_drop_p90_reduction_min,0.015,,NOT_EVALUATED,False,False
O_SAFE0_envelope,relative_to_frozen_ppc_v0_6b.current_drop_reduction_min,0.005,0.015315363792476487,DESCRIPTIVE_ORACLE_MEETS,False,False
O_SAFE0_envelope,relative_to_frozen_ppc_v0_6b.historical_gain_difference_min,-0.05,-0.27908668453558877,DESCRIPTIVE_ORACLE_DOES_NOT_MEET,False,False
O_SAFE0_envelope,relative_to_frozen_ppc_v0_6b.maximum_seed_domain_drop_p90_reduction_min,0.025,,NOT_EVALUATED,False,False
O_SAFE0_envelope,relative_to_frozen_ppc_v0_6b.maximum_seed_domain_drop_reduction_min,0.025,0.045946091377429464,DESCRIPTIVE_ORACLE_MEETS,False,False
O_SAFE0_envelope,relative_to_frozen_ppc_v0_6b.overall_gain_difference_min,-0.03,-0.1809526684262337,DESCRIPTIVE_ORACLE_DOES_NOT_MEET,False,False
