level,key,rows,cap_to_no_area_gain,no_area_to_free_gain,pareto_actions_total,exhaustive_actions_total
overall,all,198,0.18649264033298552,0.0023580369360862575,207,159232
historical,history,168,0.2797389604994783,0.003537055404129387,177,159196
seed,0,66,0.1874283182908394,0.0019512665823324794,69,15502
seed,1,66,0.2502983591546333,0.0034343757977256368,69,24304
seed,2,66,0.12175124355348389,0.0016884684282006568,69,119426
domain,Drishti_GS,30,0.0,0.0,30,36
domain,REFUGE,120,0.26129297657033895,0.0063495076643845585,124,153412
domain,RIM_ONE_r3,48,0.29818494442861754,0.0007246031438742154,53,5784
seed_domain,0:Drishti_GS,10,0.0,0.0,10,10
seed_domain,0:REFUGE,40,0.21632285896816095,0.004469099615726921,41,14378
seed_domain,0:RIM_ONE_r3,16,0.34596209590435717,0.0013847001312705179,18,1114
seed_domain,1:Drishti_GS,10,0.0,0.0,10,16
seed_domain,1:REFUGE,40,0.4259870702823621,0.01030312739317691,41,24096
seed_domain,1:RIM_ONE_r3,16,0.3249080071815377,0.0,18,192
seed_domain,2:Drishti_GS,10,0.0,0.0,10,10
seed_domain,2:REFUGE,40,0.14156900046049384,0.0042762959842498425,42,114938
seed_domain,2:RIM_ONE_r3,16,0.22368473019995785,0.0007891093003521282,17,4478
