level,key,policy,rows,retained_rows,excluded_rows,patients,retained_patients,groups,weighting,foreground_dice,rim_dice,cup_dice,mean_iou,gain_macro_fg,gain_rim,gain_cup,harm,status,gain_minus_frozen_PPC,rim_drop,cup_drop
overall,all,current,198,198,0,177,177,9,original_seed_domain_equal_then_patient_equal,0.6016731401004847,0.590006419290355,0.6133398609106141,0.6410333093069934,0.0,0.0,0.0,0.0,DEFINED,-0.20051387278037644,0.0,0.0
overall,all,frozen_Ridge_hard,198,198,0,177,177,9,original_seed_domain_equal_then_patient_equal,0.8156293208569301,0.8450382172518605,0.7862204244619995,0.8064013169687628,0.21395618075644546,0.2550317979615054,0.17288056355138545,0.02327432534468016,DEFINED,0.013442307976069018,0.0,0.0
overall,all,frozen_SHOR,198,198,0,177,177,9,original_seed_domain_equal_then_patient_equal,0.8052579174291238,0.8272818180334889,0.7832340168247586,0.7986746918496165,0.2035847773286392,0.23727539874313386,0.16989415591414456,0.011308471586020583,DEFINED,0.003070904548262754,0.0,0.0
overall,all,frozen_PPC_C6,198,198,0,177,177,9,original_seed_domain_equal_then_patient_equal,0.802187012880861,0.8229198824608054,0.7814541433009166,0.7966557209696066,0.20051387278037644,0.2329134631704503,0.1681142823903025,0.011308471586020583,DEFINED,0.0,0.0,0.0
overall,all,O_CAP_lambda050,198,198,0,177,177,9,original_seed_domain_equal_then_patient_equal,0.6149672489605155,0.6009061720382236,0.6290283258828074,0.651272890430029,0.013294108860030927,0.01089975274786849,0.015688464972193367,1.189055942984883e-05,DEFINED,-0.1872197639203455,0.0,0.0
overall,all,O_CAP_lambda075,198,198,0,177,177,9,original_seed_domain_equal_then_patient_equal,0.6211073123687961,0.6048347195514918,0.6373799051861004,0.6557328725344511,0.019434172268311532,0.01482830026113674,0.024040044275486325,1.189055942984883e-05,DEFINED,-0.1810797005120649,0.0,0.0
overall,all,O_CAP_envelope,198,198,0,177,177,9,original_seed_domain_equal_then_patient_equal,0.6212607207388818,0.6049708218661871,0.6375506196115762,0.6558768372189884,0.01958758063839712,0.014964402575832113,0.024210758700962128,1.189055942984883e-05,DEFINED,-0.1809262921419793,0.0,0.0
overall,all,O_SAFE0_lambda050,198,198,0,177,177,9,original_seed_domain_equal_then_patient_equal,0.6149408726762612,0.6009180625976535,0.6289636827548688,0.6512436292127627,0.013267732575776549,0.010911643307298336,0.015623821844254752,0.0,DEFINED,-0.1872461402045999,0.0,0.0
overall,all,O_SAFE0_lambda075,198,198,0,177,177,9,original_seed_domain_equal_then_patient_equal,0.6210809360845417,0.6048466101109216,0.6373152620581618,0.6557036113171849,0.019407795984057154,0.01484019082056659,0.023975401147547717,0.0,DEFINED,-0.1811060767963193,0.0,0.0
overall,all,O_SAFE0_envelope,198,198,0,177,177,9,original_seed_domain_equal_then_patient_equal,0.6212343444546273,0.6049827124256171,0.6374859764836376,0.655847576001722,0.01956120435414274,0.014976293135261961,0.024146115573023517,0.0,DEFINED,-0.1809526684262337,0.0,0.0
