arm,order,seed,domain,metric,source_score,old_score,absolute_forget
GN_L,O1,61,RIM_ONE_r3,rim_dice,0.7330696983532834,0.3969557821067513,0.3361139162465321
GN_L,O1,61,RIM_ONE_r3,cup_dice,0.6843997261414897,0.5287446745274971,0.15565505161399262
GN_L,O2,61,Drishti_GS,rim_dice,0.6503829136719266,0.47406309509322214,0.17631981857870443
GN_L,O2,61,Drishti_GS,cup_dice,0.7484186011624524,0.4800822551728912,0.2683363459895612
GN_L,O1,62,RIM_ONE_r3,rim_dice,0.7218951195876834,0.42044492090998187,0.3014501986777015
GN_L,O1,62,RIM_ONE_r3,cup_dice,0.6675720556087968,0.5375294491582198,0.13004260645057708
GN_L,O2,62,Drishti_GS,rim_dice,0.651530646158902,0.468990025637385,0.18254062052151698
GN_L,O2,62,Drishti_GS,cup_dice,0.7189161741429807,0.37647488295016124,0.34244129119281946
GN_L,O1,63,RIM_ONE_r3,rim_dice,0.7231632762247024,0.4361644565447664,0.28699881967993607
GN_L,O1,63,RIM_ONE_r3,cup_dice,0.6465945539123543,0.5584183403069561,0.08817621360539818
GN_L,O2,63,Drishti_GS,rim_dice,0.578734016718385,0.35389176847990483,0.22484224823848015
GN_L,O2,63,Drishti_GS,cup_dice,0.6931475476371536,0.3340390452667004,0.35910850237045316
GN_CIST_L,O1,61,RIM_ONE_r3,rim_dice,0.7330696983532834,0.38238420711037435,0.35068549124290904
GN_CIST_L,O1,61,RIM_ONE_r3,cup_dice,0.6843997261414897,0.52538694999206,0.15901277614942966
GN_CIST_L,O2,61,Drishti_GS,rim_dice,0.6503829136719266,0.5608434981331034,0.08953941553882316
GN_CIST_L,O2,61,Drishti_GS,cup_dice,0.7484186011624524,0.4877772929206713,0.2606413082417811
GN_CIST_L,O1,62,RIM_ONE_r3,rim_dice,0.7218951195876834,0.45659920219464584,0.26529591739303754
GN_CIST_L,O1,62,RIM_ONE_r3,cup_dice,0.6675720556087968,0.5590457420844466,0.10852631352435027
GN_CIST_L,O2,62,Drishti_GS,rim_dice,0.651530646158902,0.4481139000385845,0.20341674612031752
GN_CIST_L,O2,62,Drishti_GS,cup_dice,0.7189161741429807,0.35945216864176155,0.35946400550121915
GN_CIST_L,O1,63,RIM_ONE_r3,rim_dice,0.7231632762247024,0.3972940134852131,0.32586926273948935
GN_CIST_L,O1,63,RIM_ONE_r3,cup_dice,0.6465945539123543,0.5391033026918717,0.10749125122048264
GN_CIST_L,O2,63,Drishti_GS,rim_dice,0.578734016718385,0.40634191801389363,0.17239209870449135
GN_CIST_L,O2,63,Drishti_GS,cup_dice,0.6931475476371536,0.3584263947728364,0.3347211528643172
CONV_CIST_L,O1,61,RIM_ONE_r3,rim_dice,0.7330696983532834,0.5494139081053918,0.18365579024789158
CONV_CIST_L,O1,61,RIM_ONE_r3,cup_dice,0.6843997261414897,0.5807546072428307,0.10364511889865902
