arm,baseline,order,seed,domain,role,metric,delta
CONV_CIST_L,F_CONV,O1,61,RIM_ONE_r3,old,rim_dice,-0.0045931044289171385
CONV_CIST_L,F_CONV,O1,61,RIM_ONE_r3,old,cup_dice,-0.03136823007986822
CONV_CIST_L,F_CONV,O1,61,Drishti_GS,current,rim_dice,0.03391885289979191
CONV_CIST_L,F_CONV,O1,61,Drishti_GS,current,cup_dice,0.025465061200894645
CONV_CIST_L,F_CONV,O1,62,RIM_ONE_r3,old,rim_dice,-0.013954578623181446
CONV_CIST_L,F_CONV,O1,62,RIM_ONE_r3,old,cup_dice,-0.014765955199881331
CONV_CIST_L,F_CONV,O1,62,Drishti_GS,current,rim_dice,-0.03159282501048544
CONV_CIST_L,F_CONV,O1,62,Drishti_GS,current,cup_dice,-0.02105390597143364
CONV_CIST_L,F_CONV,O1,63,RIM_ONE_r3,old,rim_dice,0.010401197717602284
CONV_CIST_L,F_CONV,O1,63,RIM_ONE_r3,old,cup_dice,0.03354166643362411
CONV_CIST_L,F_CONV,O1,63,Drishti_GS,current,rim_dice,0.0240807949970252
CONV_CIST_L,F_CONV,O1,63,Drishti_GS,current,cup_dice,-0.006186731108582699
CONV_CIST_L,F_CONV,O2,61,RIM_ONE_r3,current,rim_dice,0.004144422475362175
CONV_CIST_L,F_CONV,O2,61,RIM_ONE_r3,current,cup_dice,-0.009799088924700827
CONV_CIST_L,F_CONV,O2,61,Drishti_GS,old,rim_dice,-0.09249555347596483
CONV_CIST_L,F_CONV,O2,61,Drishti_GS,old,cup_dice,-0.07793747963499847
CONV_CIST_L,F_CONV,O2,62,RIM_ONE_r3,current,rim_dice,0.005352226852228137
CONV_CIST_L,F_CONV,O2,62,RIM_ONE_r3,current,cup_dice,0.025713408638136426
CONV_CIST_L,F_CONV,O2,62,Drishti_GS,old,rim_dice,0.015489053692396837
CONV_CIST_L,F_CONV,O2,62,Drishti_GS,old,cup_dice,0.02904537608372626
CONV_CIST_L,F_CONV,O2,63,RIM_ONE_r3,current,rim_dice,0.010789965251461364
CONV_CIST_L,F_CONV,O2,63,RIM_ONE_r3,current,cup_dice,-0.00932401104356928
CONV_CIST_L,F_CONV,O2,63,Drishti_GS,old,rim_dice,-0.07889315396996588
CONV_CIST_L,F_CONV,O2,63,Drishti_GS,old,cup_dice,0.02077084779657906
CONV_CIST_L,F_FULL,O1,61,RIM_ONE_r3,old,rim_dice,4.5809660742857083e-05
CONV_CIST_L,F_FULL,O1,61,RIM_ONE_r3,old,cup_dice,0.019210393868443587
CONV_CIST_L,F_FULL,O1,61,Drishti_GS,current,rim_dice,0.043737984032200194
CONV_CIST_L,F_FULL,O1,61,Drishti_GS,current,cup_dice,0.013209398574575482
CONV_CIST_L,F_FULL,O1,62,RIM_ONE_r3,old,rim_dice,0.038179559079068504
CONV_CIST_L,F_FULL,O1,62,RIM_ONE_r3,old,cup_dice,0.005543697035970019
CONV_CIST_L,F_FULL,O1,62,Drishti_GS,current,rim_dice,-0.020103144194190348
CONV_CIST_L,F_FULL,O1,62,Drishti_GS,current,cup_dice,-0.01660971831689273
CONV_CIST_L,F_FULL,O1,63,RIM_ONE_r3,old,rim_dice,-0.05411046006294007
CONV_CIST_L,F_FULL,O1,63,RIM_ONE_r3,old,cup_dice,0.031706701016792405
CONV_CIST_L,F_FULL,O1,63,Drishti_GS,current,rim_dice,0.021727911266544275
CONV_CIST_L,F_FULL,O1,63,Drishti_GS,current,cup_dice,-0.003540496887494138
CONV_CIST_L,F_FULL,O2,61,RIM_ONE_r3,current,rim_dice,-0.008624350939722247
CONV_CIST_L,F_FULL,O2,61,RIM_ONE_r3,current,cup_dice,-0.005398703415728456
CONV_CIST_L,F_FULL,O2,61,Drishti_GS,old,rim_dice,-0.07997410554325984
CONV_CIST_L,F_FULL,O2,61,Drishti_GS,old,cup_dice,-0.09235356682648677
CONV_CIST_L,F_FULL,O2,62,RIM_ONE_r3,current,rim_dice,0.016062602574325235
CONV_CIST_L,F_FULL,O2,62,RIM_ONE_r3,current,cup_dice,0.035328464328318154
CONV_CIST_L,F_FULL,O2,62,Drishti_GS,old,rim_dice,-0.010188877631538917
CONV_CIST_L,F_FULL,O2,62,Drishti_GS,old,cup_dice,0.07207371286646447
CONV_CIST_L,F_FULL,O2,63,RIM_ONE_r3,current,rim_dice,-0.0017492937302495681
CONV_CIST_L,F_FULL,O2,63,RIM_ONE_r3,current,cup_dice,-0.0033363503647184656
CONV_CIST_L,F_FULL,O2,63,Drishti_GS,old,rim_dice,-0.05375766837095236
CONV_CIST_L,F_FULL,O2,63,Drishti_GS,old,cup_dice,0.06128700480455329
GN_CIST_L,GN_L,O1,61,RIM_ONE_r3,old,rim_dice,-0.014571574996376957
GN_CIST_L,GN_L,O1,61,RIM_ONE_r3,old,cup_dice,-0.0033577245354370344
GN_CIST_L,GN_L,O1,61,Drishti_GS,current,rim_dice,-0.042553185170695174
GN_CIST_L,GN_L,O1,61,Drishti_GS,current,cup_dice,-0.017947561101455123
GN_CIST_L,GN_L,O1,62,RIM_ONE_r3,old,rim_dice,0.03615428128466397
GN_CIST_L,GN_L,O1,62,RIM_ONE_r3,old,cup_dice,0.02151629292622681
GN_CIST_L,GN_L,O1,62,Drishti_GS,current,rim_dice,0.02254121400489484
GN_CIST_L,GN_L,O1,62,Drishti_GS,current,cup_dice,0.017457589058692657
GN_CIST_L,GN_L,O1,63,RIM_ONE_r3,old,rim_dice,-0.038870443059553283
GN_CIST_L,GN_L,O1,63,RIM_ONE_r3,old,cup_dice,-0.019315037615084463
GN_CIST_L,GN_L,O1,63,Drishti_GS,current,rim_dice,0.019315733019238945
GN_CIST_L,GN_L,O1,63,Drishti_GS,current,cup_dice,-0.005098386232620045
GN_CIST_L,GN_L,O2,61,RIM_ONE_r3,current,rim_dice,-0.008140882736252353
GN_CIST_L,GN_L,O2,61,RIM_ONE_r3,current,cup_dice,3.580652658385919e-05
GN_CIST_L,GN_L,O2,61,Drishti_GS,old,rim_dice,0.08678040303988127
GN_CIST_L,GN_L,O2,61,Drishti_GS,old,cup_dice,0.007695037747780076
GN_CIST_L,GN_L,O2,62,RIM_ONE_r3,current,rim_dice,-0.0038310196194915047
GN_CIST_L,GN_L,O2,62,RIM_ONE_r3,current,cup_dice,0.0010805334280005185
GN_CIST_L,GN_L,O2,62,Drishti_GS,old,rim_dice,-0.020876125598800532
GN_CIST_L,GN_L,O2,62,Drishti_GS,old,cup_dice,-0.01702271430839969
GN_CIST_L,GN_L,O2,63,RIM_ONE_r3,current,rim_dice,0.0059744593425108405
GN_CIST_L,GN_L,O2,63,RIM_ONE_r3,current,cup_dice,0.06330357263415631
GN_CIST_L,GN_L,O2,63,Drishti_GS,old,rim_dice,0.0524501495339888
GN_CIST_L,GN_L,O2,63,Drishti_GS,old,cup_dice,0.02438734950613597
GN_L,F_CONV,O1,61,RIM_ONE_r3,old,rim_dice,-0.15705123042755764
GN_L,F_CONV,O1,61,RIM_ONE_r3,old,cup_dice,-0.08337816279520183
GN_L,F_CONV,O1,61,Drishti_GS,current,rim_dice,0.016767479519908646
GN_L,F_CONV,O1,61,Drishti_GS,current,cup_dice,0.0544796391314839
GN_L,F_CONV,O1,62,RIM_ONE_r3,old,rim_dice,-0.09101232095802858
GN_L,F_CONV,O1,62,RIM_ONE_r3,old,cup_dice,-0.012905232247662601
GN_L,F_CONV,O1,62,Drishti_GS,current,rim_dice,0.011716269968253923
GN_L,F_CONV,O1,62,Drishti_GS,current,cup_dice,-0.02421782676115214
GN_L,F_CONV,O1,63,RIM_ONE_r3,old,rim_dice,-0.05810969081189382
GN_L,F_CONV,O1,63,RIM_ONE_r3,old,cup_dice,0.026976108459460524
GN_L,F_CONV,O1,63,Drishti_GS,current,rim_dice,0.010312903427443731
GN_L,F_CONV,O1,63,Drishti_GS,current,cup_dice,-0.018139720189156994
GN_L,F_CONV,O2,61,RIM_ONE_r3,current,rim_dice,-0.03929539401386617
GN_L,F_CONV,O2,61,RIM_ONE_r3,current,cup_dice,-0.028040769674229082
GN_L,F_CONV,O2,61,Drishti_GS,old,rim_dice,0.02269510113671175
GN_L,F_CONV,O2,61,Drishti_GS,old,cup_dice,-0.007832067732764014
GN_L,F_CONV,O2,62,RIM_ONE_r3,current,rim_dice,-0.04952916861729173
GN_L,F_CONV,O2,62,RIM_ONE_r3,current,cup_dice,-0.01017398551285309
GN_L,F_CONV,O2,62,Drishti_GS,old,rim_dice,0.08706615153235586
GN_L,F_CONV,O2,62,Drishti_GS,old,cup_dice,-0.055709200138671255
GN_L,F_CONV,O2,63,RIM_ONE_r3,current,rim_dice,-0.08245344399533083
GN_L,F_CONV,O2,63,RIM_ONE_r3,current,cup_dice,-0.16496728131564375
GN_L,F_CONV,O2,63,Drishti_GS,old,rim_dice,-0.10099573806757955
GN_L,F_CONV,O2,63,Drishti_GS,old,cup_dice,-0.13291494080129218
GN_CIST_L,F_CONV,O1,61,RIM_ONE_r3,old,rim_dice,-0.1716228054239346
GN_CIST_L,F_CONV,O1,61,RIM_ONE_r3,old,cup_dice,-0.08673588733063886
GN_CIST_L,F_CONV,O1,61,Drishti_GS,current,rim_dice,-0.025785705650786528
GN_CIST_L,F_CONV,O1,61,Drishti_GS,current,cup_dice,0.03653207803002878
GN_CIST_L,F_CONV,O1,62,RIM_ONE_r3,old,rim_dice,-0.05485803967336461
GN_CIST_L,F_CONV,O1,62,RIM_ONE_r3,old,cup_dice,0.008611060678564209
GN_CIST_L,F_CONV,O1,62,Drishti_GS,current,rim_dice,0.03425748397314876
GN_CIST_L,F_CONV,O1,62,Drishti_GS,current,cup_dice,-0.006760237702459482
GN_CIST_L,F_CONV,O1,63,RIM_ONE_r3,old,rim_dice,-0.0969801338714471
GN_CIST_L,F_CONV,O1,63,RIM_ONE_r3,old,cup_dice,0.007661070844376061
GN_CIST_L,F_CONV,O1,63,Drishti_GS,current,rim_dice,0.029628636446682677
