task_id,seed,order,arm,domain,role,n_patients,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice
O1_s61_SRC_CE,61,O1,SOURCE_STAGE_REFERENCE,RIM_ONE_r3,source,40,40,0.9870295243146344,0.7330696983532834,0.6843997261414897,0.7087347122473866
O1_s61_F_FULL,61,O1,F_FULL,RIM_ONE_r3,old,40,40,0.9723954055589864,0.549368098444649,0.5615442133743871,0.555456155909518
O1_s61_F_FULL,61,O1,F_FULL,Drishti_GS,current,25,25,0.9896191956215071,0.7069879089908614,0.7442523960839205,0.7256201525373911
O1_s61_F_CONV,61,O1,F_CONV,RIM_ONE_r3,old,40,40,0.9748416665180493,0.554007012534309,0.6121228373226989,0.583064924928504
O1_s61_F_CONV,61,O1,F_CONV,Drishti_GS,current,25,25,0.9896422882796722,0.7168070401232697,0.7319967334576013,0.7244018867904355
O1_s61_ISO_COND_L,61,O1,ISO_COND_L,RIM_ONE_r3,old,40,40,0.9843381998429059,0.5819247889178361,0.6074721534021916,0.5946984711600138
O1_s61_ISO_COND_L,61,O1,ISO_COND_L,Drishti_GS,current,25,25,0.9729542139361277,0.5160968876185269,0.7366327486466543,0.6263648181325905
O1_s61_ISO_COND_LU,61,O1,ISO_COND_LU,RIM_ONE_r3,old,40,40,0.9843075935420625,0.5812872880067405,0.6069418721275073,0.5941145800671238
O1_s61_ISO_COND_LU,61,O1,ISO_COND_LU,Drishti_GS,current,25,25,0.9729530208472332,0.516644894644634,0.7369244272598542,0.6267846609522442
O1_s61_STATIC_SOURCE,61,O1,STATIC_SOURCE,Drishti_GS,current,25,25,0.96680033811174,0.4130254639374586,0.40386802010549266,0.4084467420214757
O1_s61_STATIC_SOURCE,61,O1,STATIC_SOURCE,RIM_ONE_r3,old,40,40,0.9870295243146344,0.7330696983532834,0.6843997261414897,0.7087347122473866
O2_s61_SRC_CE,61,O2,SOURCE_STAGE_REFERENCE,Drishti_GS,source,25,25,0.9821261576384483,0.6503829136719266,0.7484186011624524,0.6994007574171895
O2_s61_F_FULL,61,O2,F_FULL,Drishti_GS,old,25,25,0.9658812311715985,0.4388465460238054,0.5023304100971435,0.47058847806047444
O2_s61_F_FULL,61,O2,F_FULL,RIM_ONE_r3,current,40,40,0.9887578477609494,0.7556875369645414,0.6920508616152139,0.7238691992898778
O2_s61_F_CONV,61,O2,F_CONV,Drishti_GS,old,25,25,0.9645837411410183,0.4513679939565104,0.48791432290565523,0.4696411584310829
O2_s61_F_CONV,61,O2,F_CONV,RIM_ONE_r3,current,40,40,0.9886130093090035,0.742918763549457,0.6964512471241863,0.7196850053368216
O2_s61_ISO_COND_L,61,O2,ISO_COND_L,Drishti_GS,old,25,25,0.9764577432842536,0.5490542103130565,0.46196644727984043,0.5055103287964484
O2_s61_ISO_COND_L,61,O2,ISO_COND_L,RIM_ONE_r3,current,40,40,0.9820501506050553,0.6596186453331464,0.6283791118001704,0.6439988785666584
O2_s61_ISO_COND_LU,61,O2,ISO_COND_LU,Drishti_GS,old,25,25,0.976296455529248,0.5463265429432632,0.4582568024618998,0.5022916727025816
O2_s61_ISO_COND_LU,61,O2,ISO_COND_LU,RIM_ONE_r3,current,40,40,0.9820353099330518,0.6595779665680295,0.6277964662320423,0.6436872164000359
O2_s61_STATIC_SOURCE,61,O2,STATIC_SOURCE,RIM_ONE_r3,current,40,40,0.9695949581797787,0.3758596472815504,0.5231675051186173,0.449513576200084
O2_s61_STATIC_SOURCE,61,O2,STATIC_SOURCE,Drishti_GS,old,25,25,0.9821261576384483,0.6503829136719266,0.7484186011624524,0.6994007574171895
O1_s62_SRC_CE,62,O1,SOURCE_STAGE_REFERENCE,RIM_ONE_r3,source,40,40,0.9865761254490637,0.7218951195876834,0.6675720556087968,0.6947335875982402
O1_s62_F_FULL,62,O1,F_FULL,RIM_ONE_r3,old,40,40,0.9712507479407755,0.4593231041657605,0.530125029170031,0.4947240666678957
O1_s62_F_FULL,62,O1,F_FULL,Drishti_GS,current,25,25,0.9869461407118085,0.6957883441617017,0.7500361231945345,0.7229122336781181
O1_s62_F_CONV,62,O1,F_CONV,RIM_ONE_r3,old,40,40,0.9723505687052008,0.5114572418680104,0.5504346814058824,0.5309459616369464
O1_s62_F_CONV,62,O1,F_CONV,Drishti_GS,current,25,25,0.9879665273640182,0.7072780249779967,0.7544803108490754,0.730879167913536
O1_s62_ISO_COND_L,62,O1,ISO_COND_L,RIM_ONE_r3,old,40,40,0.9856473458092662,0.648836251633689,0.6431334792377855,0.6459848654357372
O1_s62_ISO_COND_L,62,O1,ISO_COND_L,Drishti_GS,current,25,25,0.9772938421260453,0.5847650741685466,0.703115669951305,0.6439403720599259
O1_s62_ISO_COND_LU,62,O1,ISO_COND_LU,RIM_ONE_r3,old,40,40,0.9856428572795,0.6485917708529142,0.64298998027878,0.645790875565847
O1_s62_ISO_COND_LU,62,O1,ISO_COND_LU,Drishti_GS,current,25,25,0.9772992524140749,0.5849744571685164,0.7031420399980148,0.6440582485832655
O1_s62_STATIC_SOURCE,62,O1,STATIC_SOURCE,Drishti_GS,current,25,25,0.9718779139382362,0.4956278691886478,0.47049081087526917,0.4830593400319585
O1_s62_STATIC_SOURCE,62,O1,STATIC_SOURCE,RIM_ONE_r3,old,40,40,0.9865761254490637,0.7218951195876834,0.6675720556087968,0.6947335875982402
