arm,baseline,metric,scope,order,seed,delta,sample_SD
CONV_CIST_L,F_CONV,Final,seed_order,O1,61,0.005855644897975298,
CONV_CIST_L,F_CONV,Final,seed_order,O1,62,-0.020341816201245422,
CONV_CIST_L,F_CONV,Final,seed_order,O1,63,0.015459232009917279,
CONV_CIST_L,F_CONV,Final,seed_order,O2,61,-0.0440219248900755,
CONV_CIST_L,F_CONV,Final,seed_order,O2,62,0.01890001631662186,
CONV_CIST_L,F_CONV,Final,seed_order,O2,63,-0.014164087991373697,
CONV_CIST_L,F_CONV,Final,seed_order_average,both,61,-0.019083139996050102,
CONV_CIST_L,F_CONV,Final,seed_order_average,both,62,-0.0007208999423117812,
CONV_CIST_L,F_CONV,Final,seed_order_average,both,63,0.0006475720092717907,
CONV_CIST_L,F_CONV,Final,overall,both,,-0.006385489309696697,0.011017755151801844
CONV_CIST_L,F_CONV,Incoming,seed_order,O1,61,0.02969195705034322,
CONV_CIST_L,F_CONV,Incoming,seed_order,O1,62,-0.026323365490959483,
CONV_CIST_L,F_CONV,Incoming,seed_order,O1,63,0.008947031944221195,
CONV_CIST_L,F_CONV,Incoming,seed_order,O2,61,-0.002827333224669326,
CONV_CIST_L,F_CONV,Incoming,seed_order,O2,62,0.015532817745182226,
CONV_CIST_L,F_CONV,Incoming,seed_order,O2,63,0.000732977103945931,
CONV_CIST_L,F_CONV,Incoming,seed_order_average,both,61,0.013432311912836947,
CONV_CIST_L,F_CONV,Incoming,seed_order_average,both,62,-0.0053952738728886285,
CONV_CIST_L,F_CONV,Incoming,seed_order_average,both,63,0.004840004524083563,
CONV_CIST_L,F_CONV,Incoming,overall,both,,0.00429234752134396,0.009425733009914996
CONV_CIST_L,F_CONV,Old,seed_order,O1,61,-0.017980667254392735,
CONV_CIST_L,F_CONV,Old,seed_order,O1,62,-0.01436026691153136,
CONV_CIST_L,F_CONV,Old,seed_order,O1,63,0.02197143207561325,
CONV_CIST_L,F_CONV,Old,seed_order,O2,61,-0.08521651655548168,
CONV_CIST_L,F_CONV,Old,seed_order,O2,62,0.022267214888061493,
CONV_CIST_L,F_CONV,Old,seed_order,O2,63,-0.02906115308669327,
CONV_CIST_L,F_CONV,Old,seed_order_average,both,61,-0.05159859190493721,
CONV_CIST_L,F_CONV,Old,seed_order_average,both,62,0.003953473988265066,
CONV_CIST_L,F_CONV,Old,seed_order_average,both,63,-0.0035448605055400095,
CONV_CIST_L,F_CONV,Old,overall,both,,-0.017063326140737384,0.030142489795937248
CONV_CIST_L,F_CONV,Forget,seed_order,O1,61,0.017980667254392735,
CONV_CIST_L,F_CONV,Forget,seed_order,O1,62,0.01436026691153136,
CONV_CIST_L,F_CONV,Forget,seed_order,O1,63,-0.02197143207561325,
CONV_CIST_L,F_CONV,Forget,seed_order,O2,61,0.08521651655548168,
CONV_CIST_L,F_CONV,Forget,seed_order,O2,62,-0.022267214888061493,
CONV_CIST_L,F_CONV,Forget,seed_order,O2,63,0.02906115308669327,
CONV_CIST_L,F_CONV,Forget,seed_order_average,both,61,0.05159859190493721,
CONV_CIST_L,F_CONV,Forget,seed_order_average,both,62,-0.003953473988265066,
CONV_CIST_L,F_CONV,Forget,seed_order_average,both,63,0.0035448605055400095,
CONV_CIST_L,F_CONV,Forget,overall,both,,0.017063326140737384,0.030142489795937248
CONV_CIST_L,F_FULL,Final,seed_order,O1,61,0.019050896533990502,
CONV_CIST_L,F_FULL,Final,seed_order,O1,62,0.0017525984009888473,
CONV_CIST_L,F_FULL,Final,seed_order,O1,63,-0.0010540861667743817,
CONV_CIST_L,F_FULL,Final,seed_order,O2,61,-0.04658768168129934,
CONV_CIST_L,F_FULL,Final,seed_order,O2,62,0.02831897553439222,
CONV_CIST_L,F_FULL,Final,seed_order,O2,63,0.0006109230846582658,
CONV_CIST_L,F_FULL,Final,seed_order_average,both,61,-0.01376839257365442,
CONV_CIST_L,F_FULL,Final,seed_order_average,both,62,0.015035786967690534,
CONV_CIST_L,F_FULL,Final,seed_order_average,both,63,-0.00022158154105805794,
CONV_CIST_L,F_FULL,Final,overall,both,,0.0003486042843260188,0.014410552510889737
CONV_CIST_L,F_FULL,Incoming,seed_order,O1,61,0.028473691303387616,
