task_id,source_task_id,seed,order,source_domain,domain,arm,steps_per_epoch,updates,status,actual_updates,training_source,student_hash,source_student_hash
O1_s61_GN_L,O1_s61_SRC_CE,61,O1,RIM_ONE_r3,Drishti_GS,GN_L,21,2100,COMPLETE,2100,1df286fb8f03d2654287e2d847c4842c4027d8ab,7fe9a51fd32d2110079999a0c2bef8a735a83836f674f9aba8a7813112614230,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a
O1_s61_GN_CIST_L,O1_s61_SRC_CE,61,O1,RIM_ONE_r3,Drishti_GS,GN_CIST_L,21,2100,COMPLETE,2100,1df286fb8f03d2654287e2d847c4842c4027d8ab,9f677493592838d30533145f5e1de807f1d3e36510f62b63c1b6476266cdc492,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a
O1_s61_CONV_CIST_L,O1_s61_SRC_CE,61,O1,RIM_ONE_r3,Drishti_GS,CONV_CIST_L,21,2100,COMPLETE,2100,1df286fb8f03d2654287e2d847c4842c4027d8ab,525e8cd59003b643a649c24e24d80e731ee5dbb9857fc827a4ee58e85a01508f,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a
O2_s61_GN_L,O2_s61_SRC_CE,61,O2,Drishti_GS,RIM_ONE_r3,GN_L,32,3200,COMPLETE,3200,1df286fb8f03d2654287e2d847c4842c4027d8ab,bbb8edb88ca3fc93ffce99faae39d98be977aeed991298ac390475257f7f2c7d,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa
O2_s61_GN_CIST_L,O2_s61_SRC_CE,61,O2,Drishti_GS,RIM_ONE_r3,GN_CIST_L,32,3200,COMPLETE,3200,1df286fb8f03d2654287e2d847c4842c4027d8ab,44946c0cc345f311180089bd0fd5a92238d5bc6eb37a6de653f19721eea47b9d,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa
O2_s61_CONV_CIST_L,O2_s61_SRC_CE,61,O2,Drishti_GS,RIM_ONE_r3,CONV_CIST_L,32,3200,COMPLETE,3200,1df286fb8f03d2654287e2d847c4842c4027d8ab,71162fc103b3efa43d57bbb99710e0b480ec078d34b8669ffbb7852ff7beb480,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa
O1_s62_GN_L,O1_s62_SRC_CE,62,O1,RIM_ONE_r3,Drishti_GS,GN_L,21,2100,COMPLETE,2100,1df286fb8f03d2654287e2d847c4842c4027d8ab,bfcee8b98919be5600b7c6fadad21a786e2bdff1283584df69b42dd615459ce7,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02
O1_s62_GN_CIST_L,O1_s62_SRC_CE,62,O1,RIM_ONE_r3,Drishti_GS,GN_CIST_L,21,2100,COMPLETE,2100,1df286fb8f03d2654287e2d847c4842c4027d8ab,dcd9b06695a369dfb335160731250f228c90f8c784d5f7fd65cc74379867d2e0,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02
O1_s62_CONV_CIST_L,O1_s62_SRC_CE,62,O1,RIM_ONE_r3,Drishti_GS,CONV_CIST_L,21,2100,COMPLETE,2100,1df286fb8f03d2654287e2d847c4842c4027d8ab,39d040d407805e17d1fd620bd9d5338ef1b68d627f1db5ad23faf504c9e52416,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02
O2_s62_GN_L,O2_s62_SRC_CE,62,O2,Drishti_GS,RIM_ONE_r3,GN_L,32,3200,COMPLETE,3200,1df286fb8f03d2654287e2d847c4842c4027d8ab,042b2e2ec7ada67e84d22fdd958abebe33ef93a077fc720948198b9929895830,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47
O2_s62_GN_CIST_L,O2_s62_SRC_CE,62,O2,Drishti_GS,RIM_ONE_r3,GN_CIST_L,32,3200,COMPLETE,3200,1df286fb8f03d2654287e2d847c4842c4027d8ab,29af051af81c78a4e5f35a9127ce19df2341771d45b11f19cc8114f29751b062,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47
O2_s62_CONV_CIST_L,O2_s62_SRC_CE,62,O2,Drishti_GS,RIM_ONE_r3,CONV_CIST_L,32,3200,COMPLETE,3200,1df286fb8f03d2654287e2d847c4842c4027d8ab,2ce63698c1f7a5eb3112d044a861a26f241d03c349bc4c35f8ab8db64818566b,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47
O1_s63_GN_L,O1_s63_SRC_CE,63,O1,RIM_ONE_r3,Drishti_GS,GN_L,21,2100,COMPLETE,2100,1df286fb8f03d2654287e2d847c4842c4027d8ab,ab8adaf25d92b2d7821173f0943e8099845a7474980f5910154bf8a14a56b9b2,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9
