arm,baseline,metric,scope,order,seed,delta,sample_SD
ISO_COND_LU,SCALE_LU,Final,seed_order,O1,61,0.014317067061337618,
ISO_COND_LU,SCALE_LU,Final,seed_order,O1,62,0.008491432358505246,
ISO_COND_LU,SCALE_LU,Final,seed_order,O1,63,-0.0022754635428658965,
ISO_COND_LU,SCALE_LU,Final,seed_order,O2,61,-0.0011597110239641717,
ISO_COND_LU,SCALE_LU,Final,seed_order,O2,62,-0.036151895236335,
ISO_COND_LU,SCALE_LU,Final,seed_order,O2,63,0.045186673195929616,
ISO_COND_LU,SCALE_LU,Final,seed_order_average,both,61,0.006578678018686723,
ISO_COND_LU,SCALE_LU,Final,seed_order_average,both,62,-0.013830231438914875,
ISO_COND_LU,SCALE_LU,Final,seed_order_average,both,63,0.02145560482653186,
ISO_COND_LU,SCALE_LU,Final,overall,both,,0.004734683802101236,0.017715044347702873
ISO_COND_LU,SCALE_LU,Incoming,seed_order,O1,61,0.12865724957349678,
ISO_COND_LU,SCALE_LU,Incoming,seed_order,O1,62,0.02565847120285325,
ISO_COND_LU,SCALE_LU,Incoming,seed_order,O1,63,0.093890029643663,
ISO_COND_LU,SCALE_LU,Incoming,seed_order,O2,61,0.0016910261375201463,
ISO_COND_LU,SCALE_LU,Incoming,seed_order,O2,62,6.407184061163473e-05,
ISO_COND_LU,SCALE_LU,Incoming,seed_order,O2,63,0.0021989394489667635,
ISO_COND_LU,SCALE_LU,Incoming,seed_order_average,both,61,0.06517413785550846,
ISO_COND_LU,SCALE_LU,Incoming,seed_order_average,both,62,0.012861271521732442,
ISO_COND_LU,SCALE_LU,Incoming,seed_order_average,both,63,0.04804448454631488,
ISO_COND_LU,SCALE_LU,Incoming,overall,both,,0.042026631307851926,0.026670581437487233
ISO_COND_LU,SCALE_LU,Old,seed_order,O1,61,-0.10002311545082143,
ISO_COND_LU,SCALE_LU,Old,seed_order,O1,62,-0.008675606485842757,
ISO_COND_LU,SCALE_LU,Old,seed_order,O1,63,-0.0984409567293949,
ISO_COND_LU,SCALE_LU,Old,seed_order,O2,61,-0.004010448185448379,
ISO_COND_LU,SCALE_LU,Old,seed_order,O2,62,-0.07236786231328163,
ISO_COND_LU,SCALE_LU,Old,seed_order,O2,63,0.08817440694289247,
ISO_COND_LU,SCALE_LU,Old,seed_order_average,both,61,-0.052016781818134905,
ISO_COND_LU,SCALE_LU,Old,seed_order_average,both,62,-0.04052173439956219,
ISO_COND_LU,SCALE_LU,Old,seed_order_average,both,63,-0.005133274893251216,
ISO_COND_LU,SCALE_LU,Old,overall,both,,-0.03255726370364944,0.024435433298663725
ISO_COND_LU,SCALE_LU,Forget,seed_order,O1,61,0.10002311545082143,
ISO_COND_LU,SCALE_LU,Forget,seed_order,O1,62,0.008675606485842757,
ISO_COND_LU,SCALE_LU,Forget,seed_order,O1,63,0.0984409567293949,
ISO_COND_LU,SCALE_LU,Forget,seed_order,O2,61,0.004010448185448379,
ISO_COND_LU,SCALE_LU,Forget,seed_order,O2,62,0.07236786231328163,
ISO_COND_LU,SCALE_LU,Forget,seed_order,O2,63,-0.08817440694289247,
ISO_COND_LU,SCALE_LU,Forget,seed_order_average,both,61,0.052016781818134905,
ISO_COND_LU,SCALE_LU,Forget,seed_order_average,both,62,0.04052173439956219,
ISO_COND_LU,SCALE_LU,Forget,seed_order_average,both,63,0.005133274893251216,
ISO_COND_LU,SCALE_LU,Forget,overall,both,,0.03255726370364944,0.024435433298663725
ISO_COND_LU,AFFINE_LU,Final,seed_order,O1,61,-0.01770032879127259,
ISO_COND_LU,AFFINE_LU,Final,seed_order,O1,62,0.005206305472914785,
ISO_COND_LU,AFFINE_LU,Final,seed_order,O1,63,0.017884674877583162,
ISO_COND_LU,AFFINE_LU,Final,seed_order,O2,61,0.0030350677278443428,
ISO_COND_LU,AFFINE_LU,Final,seed_order,O2,62,-0.002607347301757934,
ISO_COND_LU,AFFINE_LU,Final,seed_order,O2,63,0.01381480588203865,
ISO_COND_LU,AFFINE_LU,Final,seed_order_average,both,61,-0.007332630531714124,
ISO_COND_LU,AFFINE_LU,Final,seed_order_average,both,62,0.0012994790855784255,
ISO_COND_LU,AFFINE_LU,Final,seed_order_average,both,63,0.015849740379810906,
ISO_COND_LU,AFFINE_LU,Final,overall,both,,0.0032721963112250694,0.01171641114886093
ISO_COND_LU,AFFINE_LU,Incoming,seed_order,O1,61,-0.0374568526533402,
ISO_COND_LU,AFFINE_LU,Incoming,seed_order,O1,62,-0.004773286199473259,
ISO_COND_LU,AFFINE_LU,Incoming,seed_order,O1,63,-0.03783428324997784,
ISO_COND_LU,AFFINE_LU,Incoming,seed_order,O2,61,-0.0034003638618322896,
ISO_COND_LU,AFFINE_LU,Incoming,seed_order,O2,62,0.0002169827681690606,
ISO_COND_LU,AFFINE_LU,Incoming,seed_order,O2,63,0.004291861074390724,
ISO_COND_LU,AFFINE_LU,Incoming,seed_order_average,both,61,-0.020428608257586245,
ISO_COND_LU,AFFINE_LU,Incoming,seed_order_average,both,62,-0.002278151715652099,
ISO_COND_LU,AFFINE_LU,Incoming,seed_order_average,both,63,-0.01677121108779356,
ISO_COND_LU,AFFINE_LU,Incoming,overall,both,,-0.013159323687010635,0.009599170074392413
ISO_COND_LU,AFFINE_LU,Old,seed_order,O1,61,0.0020561950707950194,
ISO_COND_LU,AFFINE_LU,Old,seed_order,O1,62,0.015185897145302718,
ISO_COND_LU,AFFINE_LU,Old,seed_order,O1,63,0.07360363300514405,
ISO_COND_LU,AFFINE_LU,Old,seed_order,O2,61,0.00947049931752103,
ISO_COND_LU,AFFINE_LU,Old,seed_order,O2,62,-0.005431677371684873,
ISO_COND_LU,AFFINE_LU,Old,seed_order,O2,63,0.023337750689686687,
ISO_COND_LU,AFFINE_LU,Old,seed_order_average,both,61,0.005763347194158025,
ISO_COND_LU,AFFINE_LU,Old,seed_order_average,both,62,0.0048771098868089224,
ISO_COND_LU,AFFINE_LU,Old,seed_order_average,both,63,0.04847069184741537,
ISO_COND_LU,AFFINE_LU,Old,overall,both,,0.019703716309460773,0.024916872101894992
ISO_COND_LU,AFFINE_LU,Forget,seed_order,O1,61,-0.0020561950707950194,
ISO_COND_LU,AFFINE_LU,Forget,seed_order,O1,62,-0.015185897145302718,
ISO_COND_LU,AFFINE_LU,Forget,seed_order,O1,63,-0.07360363300514405,
ISO_COND_LU,AFFINE_LU,Forget,seed_order,O2,61,-0.00947049931752103,
