task_id,source_task_id,seed,order,source_domain,domain,arm,steps_per_epoch,updates,status,actual_updates,training_source,student_hash,source_student_hash
O1_s61_SCALE_LU,O1_s61_SRC_CE,61,O1,RIM_ONE_r3,Drishti_GS,SCALE_LU,21,2100,COMPLETE,2100,76afab45389d217196942ccdff3efcbac86a9c10,c5a3d6ed055c13d25a01cdd00b5af3abde8d5fd0f71f636e98e3ccdbac7b3c20,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a
O1_s61_AFFINE_LU,O1_s61_SRC_CE,61,O1,RIM_ONE_r3,Drishti_GS,AFFINE_LU,21,2100,COMPLETE,2100,76afab45389d217196942ccdff3efcbac86a9c10,158d836fc1e43278a210ddf56b4546a03d94ffef995ccb342d3b2dc0f262ec74,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a
O1_s61_ISO_GLOBAL_LU,O1_s61_SRC_CE,61,O1,RIM_ONE_r3,Drishti_GS,ISO_GLOBAL_LU,21,2100,COMPLETE,2100,76afab45389d217196942ccdff3efcbac86a9c10,2ebfec7f46af61e486b9c0d97270661d66ea7b80d99527d0bc9f2b05397345e5,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a
O1_s61_ISO_COND_L,O1_s61_SRC_CE,61,O1,RIM_ONE_r3,Drishti_GS,ISO_COND_L,21,2100,COMPLETE,2100,76afab45389d217196942ccdff3efcbac86a9c10,e38ec5cc72d5e0acdffc8343058d2933b93da511c3a0092e977cfbb869cfb43c,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a
O1_s61_ISO_COND_LU,O1_s61_SRC_CE,61,O1,RIM_ONE_r3,Drishti_GS,ISO_COND_LU,21,2100,COMPLETE,2100,76afab45389d217196942ccdff3efcbac86a9c10,460bf262ccd6f3aa57fa9cc905fbce18f131d92b060c29dab5ee8ca640c5c38b,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a
O1_s61_ISO_RANDOM_LU,O1_s61_SRC_CE,61,O1,RIM_ONE_r3,Drishti_GS,ISO_RANDOM_LU,21,2100,COMPLETE,2100,76afab45389d217196942ccdff3efcbac86a9c10,ac89328f8d858c06a24906f6967f8b882872da477f8733628b2f158823dd1b70,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a
O2_s61_SCALE_LU,O2_s61_SRC_CE,61,O2,Drishti_GS,RIM_ONE_r3,SCALE_LU,32,3200,COMPLETE,3200,76afab45389d217196942ccdff3efcbac86a9c10,41509a5b9be0b7a6cbe07dc6120e36cbdc0ef2a7c19add36620af9e0057ad765,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa
O2_s61_AFFINE_LU,O2_s61_SRC_CE,61,O2,Drishti_GS,RIM_ONE_r3,AFFINE_LU,32,3200,COMPLETE,3200,76afab45389d217196942ccdff3efcbac86a9c10,2a96dddb217c3a957857ea4523fc98d2483bbd566d5171088bb3101332c73294,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa
O2_s61_ISO_GLOBAL_LU,O2_s61_SRC_CE,61,O2,Drishti_GS,RIM_ONE_r3,ISO_GLOBAL_LU,32,3200,COMPLETE,3200,76afab45389d217196942ccdff3efcbac86a9c10,79ee9f3cea866ac49334ba5b80ab2ae41ff1da200e5f3b7e4c16385efa60458d,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa
O2_s61_ISO_COND_L,O2_s61_SRC_CE,61,O2,Drishti_GS,RIM_ONE_r3,ISO_COND_L,32,3200,COMPLETE,3200,76afab45389d217196942ccdff3efcbac86a9c10,d492b4ceae6be92f0bb8b9e8c9e9497d715cb448cad3a165a94f11b48953fdda,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa
O2_s61_ISO_COND_LU,O2_s61_SRC_CE,61,O2,Drishti_GS,RIM_ONE_r3,ISO_COND_LU,32,3200,COMPLETE,3200,76afab45389d217196942ccdff3efcbac86a9c10,febe0465cfe107281094174f2ff95c6c9a087985290e3b835e063a96ec3c0963,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa
O2_s61_ISO_RANDOM_LU,O2_s61_SRC_CE,61,O2,Drishti_GS,RIM_ONE_r3,ISO_RANDOM_LU,32,3200,COMPLETE,3200,76afab45389d217196942ccdff3efcbac86a9c10,1877b8c7f5065bda49171f3cd84808f03cbe87d155aa3e69ebda948e6e8f3f65,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa
O1_s62_SCALE_LU,O1_s62_SRC_CE,62,O1,RIM_ONE_r3,Drishti_GS,SCALE_LU,21,2100,COMPLETE,2100,76afab45389d217196942ccdff3efcbac86a9c10,255091ca4907c75dda7d4567835dd053e5d76c762ecdcd0dc5d9ca00df5c4d6d,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02
O1_s62_AFFINE_LU,O1_s62_SRC_CE,62,O1,RIM_ONE_r3,Drishti_GS,AFFINE_LU,21,2100,COMPLETE,2100,76afab45389d217196942ccdff3efcbac86a9c10,c9ddded1c2341fdd01b9daa695a8f842c36947c05e234b44fcc4c5296caf282c,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02
O1_s62_ISO_GLOBAL_LU,O1_s62_SRC_CE,62,O1,RIM_ONE_r3,Drishti_GS,ISO_GLOBAL_LU,21,2100,COMPLETE,2100,76afab45389d217196942ccdff3efcbac86a9c10,0b629266c42ac0897f4b15ef5850a95f46a9f09a1be028c92843016c560d5ee1,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02
O1_s62_ISO_COND_L,O1_s62_SRC_CE,62,O1,RIM_ONE_r3,Drishti_GS,ISO_COND_L,21,2100,COMPLETE,2100,76afab45389d217196942ccdff3efcbac86a9c10,c8b7746df42595e9d74ecf80bad67d100603377c3c653c2bdf1903a9913737ab,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02
O1_s62_ISO_COND_LU,O1_s62_SRC_CE,62,O1,RIM_ONE_r3,Drishti_GS,ISO_COND_LU,21,2100,COMPLETE,2100,76afab45389d217196942ccdff3efcbac86a9c10,aafcc19668eb42fc512c598b9c3c66f3a1a63c339f5b6c5f7d5115e7b7f55169,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02
O1_s62_ISO_RANDOM_LU,O1_s62_SRC_CE,62,O1,RIM_ONE_r3,Drishti_GS,ISO_RANDOM_LU,21,2100,COMPLETE,2100,76afab45389d217196942ccdff3efcbac86a9c10,c769fec97b8f9b0efe60c1e98331a3699b5bbdabc75602b6fc19d15fed9f1655,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02
O2_s62_SCALE_LU,O2_s62_SRC_CE,62,O2,Drishti_GS,RIM_ONE_r3,SCALE_LU,32,3200,COMPLETE,3200,76afab45389d217196942ccdff3efcbac86a9c10,429c44f3ebb90bbe4fd660467dd4777321684e1a0105d0f9a832d0a84e977505,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47
O2_s62_AFFINE_LU,O2_s62_SRC_CE,62,O2,Drishti_GS,RIM_ONE_r3,AFFINE_LU,32,3200,COMPLETE,3200,76afab45389d217196942ccdff3efcbac86a9c10,4b5537bf5f10db60a22852f7046144142626aa1a344473b5ec3828ee18707175,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47
O2_s62_ISO_GLOBAL_LU,O2_s62_SRC_CE,62,O2,Drishti_GS,RIM_ONE_r3,ISO_GLOBAL_LU,32,3200,COMPLETE,3200,76afab45389d217196942ccdff3efcbac86a9c10,b6db76179f41b2049bb85fd8e329abb8acdbb79668a46642a89d5d87cdbf937c,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47
O2_s62_ISO_COND_L,O2_s62_SRC_CE,62,O2,Drishti_GS,RIM_ONE_r3,ISO_COND_L,32,3200,COMPLETE,3200,76afab45389d217196942ccdff3efcbac86a9c10,bb8e40e29d0f62e4fdad7156e8536d3c52d809601243192645cd17f59c495afb,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47
O2_s62_ISO_COND_LU,O2_s62_SRC_CE,62,O2,Drishti_GS,RIM_ONE_r3,ISO_COND_LU,32,3200,COMPLETE,3200,76afab45389d217196942ccdff3efcbac86a9c10,b8443097d4c2376f547889cbb49d699621c9972358c5ee4e05163518d6a6a468,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47
O2_s62_ISO_RANDOM_LU,O2_s62_SRC_CE,62,O2,Drishti_GS,RIM_ONE_r3,ISO_RANDOM_LU,32,3200,COMPLETE,3200,76afab45389d217196942ccdff3efcbac86a9c10,8740fd20338581a788091d066bff9ae73d15c02c230e69786393f8dfdce762c8,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47
O1_s63_SCALE_LU,O1_s63_SRC_CE,63,O1,RIM_ONE_r3,Drishti_GS,SCALE_LU,21,2100,COMPLETE,2100,76afab45389d217196942ccdff3efcbac86a9c10,9392de25d5e17861431ee0aa9104a991f6ec5670de1ff6cfcaa7c7a8eb1f3198,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9
O1_s63_AFFINE_LU,O1_s63_SRC_CE,63,O1,RIM_ONE_r3,Drishti_GS,AFFINE_LU,21,2100,COMPLETE,2100,76afab45389d217196942ccdff3efcbac86a9c10,12f39ed9127d6b7721eed810d6c702ad7fd320a366c86b6ae1948e9afdb22fc1,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9
O1_s63_ISO_GLOBAL_LU,O1_s63_SRC_CE,63,O1,RIM_ONE_r3,Drishti_GS,ISO_GLOBAL_LU,21,2100,COMPLETE,2100,76afab45389d217196942ccdff3efcbac86a9c10,71bb1c4a806fefa862631e6582c72a2a7cc0f6d6bb7c028f1936b8b940c9e07f,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9
O1_s63_ISO_COND_L,O1_s63_SRC_CE,63,O1,RIM_ONE_r3,Drishti_GS,ISO_COND_L,21,2100,COMPLETE,2100,76afab45389d217196942ccdff3efcbac86a9c10,ce718808c3035c8f9cd9530e5562dc6f0dd05dd37495a2ee831f118715e4b4bf,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9
O1_s63_ISO_COND_LU,O1_s63_SRC_CE,63,O1,RIM_ONE_r3,Drishti_GS,ISO_COND_LU,21,2100,COMPLETE,2100,76afab45389d217196942ccdff3efcbac86a9c10,7913a1fe69c498bf4820bdf8abf8d53a6dc34026d1cf506b01dfdbe5abf5b6db,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9
O1_s63_ISO_RANDOM_LU,O1_s63_SRC_CE,63,O1,RIM_ONE_r3,Drishti_GS,ISO_RANDOM_LU,21,2100,COMPLETE,2100,76afab45389d217196942ccdff3efcbac86a9c10,29ec797b5f908bc8b2fcfb26f92e4c9be134f904515ec7069dbeb39c3baf9837,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9
O2_s63_SCALE_LU,O2_s63_SRC_CE,63,O2,Drishti_GS,RIM_ONE_r3,SCALE_LU,32,3200,COMPLETE,3200,76afab45389d217196942ccdff3efcbac86a9c10,e9e747fb332a1115d905234a2457ee3ba9b981c19279f001d144d456bcb9b390,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69
