panel_id,seed,stage_index,domain,class_id,K,role,stratum,null_mass,registered_count,null_count,Q_null_worst_case,R95_null_worst_case,Q_directional_conditional,R95_directional
B0-EMA,0,0,REFUGE,0,1,train_labeled,boundary,0.0,3683,0,0.32538604942889715,0.9513630875809412,0.32538604942889715,0.9513630875809412
B0-EMA,0,0,REFUGE,0,1,train_labeled,interior,0.0,71797,0,0.3101381764247008,0.9317791187273419,0.3101381764247008,0.9317791187273419
B0-EMA,0,0,REFUGE,0,1,val,boundary,0.0,7886,0,0.32254884730505845,0.9480150210504845,0.32254884730505845,0.9480150210504845
B0-EMA,0,0,REFUGE,0,1,val,interior,0.0,151714,0,0.30818482428700616,0.9359236630303774,0.30818482428700616,0.9359236630303774
B0-EMA,0,0,REFUGE,0,2,train_labeled,boundary,0.0,3683,0,0.25736894333211324,0.9647023713819454,0.25736894333211324,0.9647023713819454
B0-EMA,0,0,REFUGE,0,2,train_labeled,interior,0.0,71797,0,0.17764092528719874,0.8190894434966245,0.17764092528719874,0.8190894434966245
B0-EMA,0,0,REFUGE,0,2,val,boundary,0.0,7886,0,0.25178564530988395,0.9498388201430783,0.25178564530988395,0.9498388201430783
B0-EMA,0,0,REFUGE,0,2,val,interior,0.0,151714,0,0.17772335396095149,0.8143251150231758,0.17772335396095149,0.8143251150231758
B0-EMA,0,0,REFUGE,0,3,train_labeled,boundary,0.0,3683,0,0.2115378704755656,0.9407251431536222,0.2115378704755656,0.9407251431536222
B0-EMA,0,0,REFUGE,0,3,train_labeled,interior,0.0,71797,0,0.14166809050265622,0.7844632238055962,0.14166809050265622,0.7844632238055962
B0-EMA,0,0,REFUGE,0,3,val,boundary,0.0,7886,0,0.20496982987930304,0.9158362686656039,0.20496982987930304,0.9158362686656039
B0-EMA,0,0,REFUGE,0,3,val,interior,0.0,151714,0,0.14007490910047418,0.7792712731808823,0.14007490910047418,0.7792712731808823
B0-EMA,0,0,REFUGE,0,5,train_labeled,boundary,0.0,3683,0,0.18462264756720634,0.8930314862033912,0.18462264756720634,0.8930314862033912
B0-EMA,0,0,REFUGE,0,5,train_labeled,interior,0.0,71797,0,0.1062863422866297,0.7391153052252039,0.1062863422866297,0.7391153052252039
B0-EMA,0,0,REFUGE,0,5,val,boundary,0.0,7886,0,0.17919111902231896,0.8706516969559238,0.17919111902231896,0.8706516969559238
B0-EMA,0,0,REFUGE,0,5,val,interior,0.0,151714,0,0.10549309642067106,0.733932331484964,0.10549309642067106,0.733932331484964
B0-EMA,0,0,REFUGE,1,1,train_labeled,boundary,0.0,16539,0,0.24214803321010583,1.0414256609547454,0.24214803321010583,1.0414256609547454
B0-EMA,0,0,REFUGE,1,1,train_labeled,interior,0.0,58941,0,0.20727131017350725,0.9544844294188163,0.20727131017350725,0.9544844294188163
B0-EMA,0,0,REFUGE,1,1,val,boundary,0.0,34861,0,0.24140938409802742,1.038161236077795,0.24140938409802742,1.038161236077795
B0-EMA,0,0,REFUGE,1,1,val,interior,0.0,124739,0,0.19986711871764756,0.9342883463828076,0.19986711871764756,0.9342883463828076
B0-EMA,0,0,REFUGE,1,2,train_labeled,boundary,0.0,16539,0,0.15748208544862705,0.8563282644922406,0.15748208544862705,0.8563282644922406
B0-EMA,0,0,REFUGE,1,2,train_labeled,interior,0.0,58941,0,0.1367433988687876,0.7970179447308108,0.1367433988687876,0.7970179447308108
B0-EMA,0,0,REFUGE,1,2,val,boundary,0.0,34861,0,0.15738959360025356,0.8521546562970449,0.15738959360025356,0.8521546562970449
B0-EMA,0,0,REFUGE,1,2,val,interior,0.0,124739,0,0.13217160253142027,0.7695968144191861,0.13217160253142027,0.7695968144191861
B0-EMA,0,0,REFUGE,1,3,train_labeled,boundary,0.0,16539,0,0.14035705503576507,0.8054866717111281,0.14035705503576507,0.8054866717111281
B0-EMA,0,0,REFUGE,1,3,train_labeled,interior,0.0,58941,0,0.11630960464496985,0.7139463816589454,0.11630960464496985,0.7139463816589454
B0-EMA,0,0,REFUGE,1,3,val,boundary,0.0,34861,0,0.14199510955422812,0.8112080954711839,0.14199510955422812,0.8112080954711839
B0-EMA,0,0,REFUGE,1,3,val,interior,0.0,124739,0,0.1162751738042623,0.7064929950725451,0.1162751738042623,0.7064929950725451
B0-EMA,0,0,REFUGE,1,5,train_labeled,boundary,0.0,16539,0,0.10847418738625089,0.7205692156119973,0.10847418738625089,0.7205692156119973
