panel_id,seed,stage_index,domain,class_id,K,role,slot,occupancy_active_conditional,null_mass
B0-EMA,0,0,REFUGE,0,1,train_labeled,0,0.9999999999989502,0.0
B0-EMA,0,0,REFUGE,0,1,val,0,0.9999999999996374,0.0
B0-EMA,0,0,REFUGE,0,2,train_labeled,0,0.5509671436143745,0.0
B0-EMA,0,0,REFUGE,0,2,train_labeled,1,0.44903285638603346,0.0
B0-EMA,0,0,REFUGE,0,2,val,0,0.5449122807015632,0.0
B0-EMA,0,0,REFUGE,0,2,val,1,0.45508771929808817,0.0
B0-EMA,0,0,REFUGE,0,3,train_labeled,0,0.4276762056175866,0.0
B0-EMA,0,0,REFUGE,0,3,train_labeled,1,0.3670376258612707,0.0
B0-EMA,0,0,REFUGE,0,3,train_labeled,2,0.20528616852143422,0.0
B0-EMA,0,0,REFUGE,0,3,val,0,0.4296491228068697,0.0
B0-EMA,0,0,REFUGE,0,3,val,1,0.3542293233081512,0.0
B0-EMA,0,0,REFUGE,0,3,val,2,0.2161215538846443,0.0
B0-EMA,0,0,REFUGE,0,5,train_labeled,0,0.15144409114997878,0.0
B0-EMA,0,0,REFUGE,0,5,train_labeled,1,0.27297297297295026,0.0
B0-EMA,0,0,REFUGE,0,5,train_labeled,2,0.31707737148917825,0.0
B0-EMA,0,0,REFUGE,0,5,train_labeled,3,0.14721780604134338,0.0
B0-EMA,0,0,REFUGE,0,5,train_labeled,4,0.11128775834659796,0.0
B0-EMA,0,0,REFUGE,0,5,val,0,0.1570488721804059,0.0
B0-EMA,0,0,REFUGE,0,5,val,1,0.27011904761895983,0.0
B0-EMA,0,0,REFUGE,0,5,val,2,0.3215476190475119,0.0
B0-EMA,0,0,REFUGE,0,5,val,3,0.13818295739344558,0.0
B0-EMA,0,0,REFUGE,0,5,val,4,0.11310150375936978,0.0
B0-EMA,0,0,REFUGE,1,1,train_labeled,0,0.9999999999989502,0.0
B0-EMA,0,0,REFUGE,1,1,val,0,0.9999999999996374,0.0
B0-EMA,0,0,REFUGE,1,2,train_labeled,0,0.5697005829359981,0.0
B0-EMA,0,0,REFUGE,1,2,train_labeled,1,0.43029941706433134,0.0
B0-EMA,0,0,REFUGE,1,2,val,0,0.592061403508563,0.0
B0-EMA,0,0,REFUGE,1,2,val,1,0.4079385964910884,0.0
B0-EMA,0,0,REFUGE,1,3,train_labeled,0,0.35812135665087075,0.0
B0-EMA,0,0,REFUGE,1,3,train_labeled,1,0.14635665076842394,0.0
B0-EMA,0,0,REFUGE,1,3,train_labeled,2,0.4955219925811203,0.0
B0-EMA,0,0,REFUGE,1,3,val,0,0.35505012531316343,0.0
B0-EMA,0,0,REFUGE,1,3,val,1,0.1240726817042278,0.0
B0-EMA,0,0,REFUGE,1,3,val,2,0.520877192982274,0.0
B0-EMA,0,0,REFUGE,1,5,train_labeled,0,0.34631690514051955,0.0
B0-EMA,0,0,REFUGE,1,5,train_labeled,1,0.22356915739264693,0.0
B0-EMA,0,0,REFUGE,1,5,train_labeled,2,0.1020137784843789,0.0
B0-EMA,0,0,REFUGE,1,5,train_labeled,3,0.20382882882880132,0.0
B0-EMA,0,0,REFUGE,1,5,train_labeled,4,0.12427133015370465,0.0
B0-EMA,0,0,REFUGE,1,5,val,0,0.3599498746865952,0.0
B0-EMA,0,0,REFUGE,1,5,val,1,0.2179010025061975,0.0
B0-EMA,0,0,REFUGE,1,5,val,2,0.08239974937341643,0.0
B0-EMA,0,0,REFUGE,1,5,val,3,0.21828320801998183,0.0
B0-EMA,0,0,REFUGE,1,5,val,4,0.12146616541350197,0.0
B0-EMA,0,0,REFUGE,2,1,train_labeled,0,0.9999999999989502,0.0
B0-EMA,0,0,REFUGE,2,1,val,0,0.9999999999996374,0.0
B0-EMA,0,0,REFUGE,2,2,train_labeled,0,0.3047164811870933,0.0
B0-EMA,0,0,REFUGE,2,2,train_labeled,1,0.6952835188127099,0.0
B0-EMA,0,0,REFUGE,2,2,val,0,0.26671052631570297,0.0
B0-EMA,0,0,REFUGE,2,2,val,1,0.7332894736839484,0.0
B0-EMA,0,0,REFUGE,2,3,train_labeled,0,0.4472178060415687,0.0
B0-EMA,0,0,REFUGE,2,3,train_labeled,1,0.3404610492846551,0.0
B0-EMA,0,0,REFUGE,2,3,train_labeled,2,0.21232114467405303,0.0
B0-EMA,0,0,REFUGE,2,3,val,0,0.47817042606499677,0.0
B0-EMA,0,0,REFUGE,2,3,val,1,0.3467857142855976,0.0
B0-EMA,0,0,REFUGE,2,3,val,2,0.1750438596490708,0.0
B0-EMA,0,0,REFUGE,2,5,train_labeled,0,0.2438659247482251,0.0
B0-EMA,0,0,REFUGE,2,5,train_labeled,1,0.1396661367249729,0.0
B0-EMA,0,0,REFUGE,2,5,train_labeled,2,0.2600026497084903,0.0
B0-EMA,0,0,REFUGE,2,5,train_labeled,3,0.2629173290937622,0.0
B0-EMA,0,0,REFUGE,2,5,train_labeled,4,0.09354795972443891,0.0
B0-EMA,0,0,REFUGE,2,5,val,0,0.2504323308269873,0.0
B0-EMA,0,0,REFUGE,2,5,val,1,0.11834586466162345,0.0
B0-EMA,0,0,REFUGE,2,5,val,2,0.2919360902254679,0.0
B0-EMA,0,0,REFUGE,2,5,val,3,0.2641917293232227,0.0
B0-EMA,0,0,REFUGE,2,5,val,4,0.07509398496239161,0.0
B0-EMA,0,1,RIM_ONE_r3,0,1,train_labeled,0,0.9999999999998782,0.0
B0-EMA,0,1,RIM_ONE_r3,0,1,val,0,1.0000000000006062,0.0
B0-EMA,0,1,RIM_ONE_r3,0,2,train_labeled,0,0.5161995515694553,0.0
B0-EMA,0,1,RIM_ONE_r3,0,2,train_labeled,1,0.4838004484304465,0.0
B0-EMA,0,1,RIM_ONE_r3,0,2,val,0,0.503108108108107,0.0
B0-EMA,0,1,RIM_ONE_r3,0,2,val,1,0.4968918918918871,0.0
B0-EMA,0,1,RIM_ONE_r3,0,3,train_labeled,0,0.4520179372196888,0.0
B0-EMA,0,1,RIM_ONE_r3,0,3,train_labeled,1,0.3056614349775576,0.0
B0-EMA,0,1,RIM_ONE_r3,0,3,train_labeled,2,0.24232062780267893,0.0
B0-EMA,0,1,RIM_ONE_r3,0,3,val,0,0.46238738738738294,0.0
B0-EMA,0,1,RIM_ONE_r3,0,3,val,1,0.3080180180180151,0.0
B0-EMA,0,1,RIM_ONE_r3,0,3,val,2,0.22959459459459244,0.0
B0-EMA,0,1,RIM_ONE_r3,0,5,train_labeled,0,0.28497757847531846,0.0
B0-EMA,0,1,RIM_ONE_r3,0,5,train_labeled,1,0.12623318385650747,0.0
B0-EMA,0,1,RIM_ONE_r3,0,5,train_labeled,2,0.20756726457398444,0.0
B0-EMA,0,1,RIM_ONE_r3,0,5,train_labeled,3,0.12460762331839104,0.0
B0-EMA,0,1,RIM_ONE_r3,0,5,train_labeled,4,0.256614349775771,0.0
B0-EMA,0,1,RIM_ONE_r3,0,5,val,0,0.28423423423423155,0.0
B0-EMA,0,1,RIM_ONE_r3,0,5,val,1,0.14252252252252123,0.0
B0-EMA,0,1,RIM_ONE_r3,0,5,val,2,0.19319819819819642,0.0
B0-EMA,0,1,RIM_ONE_r3,0,5,val,3,0.12707207207207094,0.0
B0-EMA,0,1,RIM_ONE_r3,0,5,val,4,0.2529729729729706,0.0
B0-EMA,0,1,RIM_ONE_r3,1,1,train_labeled,0,0.9999999999998782,0.0
B0-EMA,0,1,RIM_ONE_r3,1,1,val,0,1.0000000000006062,0.0
B0-EMA,0,1,RIM_ONE_r3,1,2,train_labeled,0,0.8166479820626852,0.0
B0-EMA,0,1,RIM_ONE_r3,1,2,train_labeled,1,0.18335201793721664,0.0
B0-EMA,0,1,RIM_ONE_r3,1,2,val,0,0.7282432432435173,0.0
B0-EMA,0,1,RIM_ONE_r3,1,2,val,1,0.2717567567567542,0.0
B0-EMA,0,1,RIM_ONE_r3,1,3,train_labeled,0,0.36255605381163003,0.0
B0-EMA,0,1,RIM_ONE_r3,1,3,train_labeled,1,0.12141255605381672,0.0
B0-EMA,0,1,RIM_ONE_r3,1,3,train_labeled,2,0.5160313901344777,0.0
B0-EMA,0,1,RIM_ONE_r3,1,3,val,0,0.33414414414414095,0.0
B0-EMA,0,1,RIM_ONE_r3,1,3,val,1,0.20689189189188997,0.0
B0-EMA,0,1,RIM_ONE_r3,1,3,val,2,0.45896396396395955,0.0
B0-EMA,0,1,RIM_ONE_r3,1,5,train_labeled,0,0.397141255605347,0.0
B0-EMA,0,1,RIM_ONE_r3,1,5,train_labeled,1,0.27449551569505093,0.0
B0-EMA,0,1,RIM_ONE_r3,1,5,train_labeled,2,0.07701793721973146,0.0
B0-EMA,0,1,RIM_ONE_r3,1,5,train_labeled,3,0.0908071748878943,0.0
B0-EMA,0,1,RIM_ONE_r3,1,5,train_labeled,4,0.1605381165919285,0.0
B0-EMA,0,1,RIM_ONE_r3,1,5,val,0,0.3536036036036002,0.0
B0-EMA,0,1,RIM_ONE_r3,1,5,val,1,0.24306306306306077,0.0
