seed,source_stage,target_stage,source_domain,kind,method,foreground_macro_angular_error,class_id,mean_angular_error,matched_angles,matching,inactive_oracle_slots,units
0,0,2,REFUGE,chain,T0,0.2519865940259007,0,0.18918407025973116,"[0.24412621424544495, 0.1342419262740174]","[[0, 1], [1, 0]]",0,radians
0,0,2,REFUGE,chain,T0,0.2519865940259007,1,0.20605029999681587,"[0.20245901885295436, 0.20964158114067738]","[[0, 0], [1, 1]]",0,radians
0,0,2,REFUGE,chain,T0,0.2519865940259007,2,0.2979228880549855,"[0.40928070459502985, 0.18656507151494114]","[[0, 1], [1, 0]]",0,radians
0,0,2,REFUGE,chain,T1,0.22717025296582882,0,0.11878475638199903,"[0.14559477220161643, 0.09197474056238164]","[[0, 1], [1, 0]]",0,radians
0,0,2,REFUGE,chain,T1,0.22717025296582882,1,0.1566923394328305,"[0.1854734656409982, 0.1279112132246628]","[[0, 0], [1, 1]]",0,radians
0,0,2,REFUGE,chain,T1,0.22717025296582882,2,0.29764816649882714,"[0.3466344032967611, 0.24866192970089318]","[[0, 1], [1, 0]]",0,radians
0,0,2,REFUGE,chain,T2,0.14956013021816744,0,0.08784912891847121,"[0.12161019915706117, 0.054088058679881264]","[[0, 1], [1, 0]]",0,radians
0,0,2,REFUGE,chain,T2,0.14956013021816744,1,0.09576706084766007,"[0.10659085638812728, 0.08494326530719287]","[[0, 0], [1, 1]]",0,radians
0,0,2,REFUGE,chain,T2,0.14956013021816744,2,0.20335319958867482,"[0.22190344975913734, 0.1848029494182123]","[[0, 1], [1, 0]]",0,radians
1,0,2,REFUGE,chain,T0,0.09469616159669973,0,0.051752841750585546,"[0.04152472436116426, 0.06198095914000684]","[[0, 0], [1, 1]]",0,radians
1,0,2,REFUGE,chain,T0,0.09469616159669973,1,0.07270620902551496,"[0.08933818303658926, 0.05607423501444065]","[[0, 0], [1, 1]]",0,radians
1,0,2,REFUGE,chain,T0,0.09469616159669973,2,0.1166861141678845,"[0.13220063742103813, 0.10117159091473088]","[[0, 0], [1, 1]]",0,radians
1,0,2,REFUGE,chain,T1,0.07688213376976907,0,0.06147907801924961,"[0.05324654034981927, 0.06971161568867994]","[[0, 0], [1, 1]]",0,radians
1,0,2,REFUGE,chain,T1,0.07688213376976907,1,0.05418176989057691,"[0.06242948837447554, 0.04593405140667827]","[[0, 0], [1, 1]]",0,radians
1,0,2,REFUGE,chain,T1,0.07688213376976907,2,0.09958249764896122,"[0.11324072745316557, 0.08592426784475687]","[[0, 0], [1, 1]]",0,radians
1,0,2,REFUGE,chain,T2,0.06692844685977417,0,0.05090489561419268,"[0.05636915378703443, 0.045440637441350934]","[[0, 0], [1, 1]]",0,radians
1,0,2,REFUGE,chain,T2,0.06692844685977417,1,0.05031482911434025,"[0.03802030615880749, 0.062609352069873]","[[0, 0], [1, 1]]",0,radians
1,0,2,REFUGE,chain,T2,0.06692844685977417,2,0.0835420646052081,"[0.07620620837550693, 0.0908779208349093]","[[0, 0], [1, 1]]",0,radians
2,0,2,REFUGE,chain,T0,0.5651910725001653,0,0.10718530059934486,"[0.11279819458571849, 0.10157240661297123]","[[0, 0], [1, 1]]",0,radians
2,0,2,REFUGE,chain,T0,0.5651910725001653,1,0.5144177608064768,"[0.46483892691423134, 0.5639965946987222]","[[0, 0], [1, 1]]",0,radians
2,0,2,REFUGE,chain,T0,0.5651910725001653,2,0.6159643841938538,"[0.7212372386664081, 0.5106915297212994]","[[0, 0], [1, 1]]",0,radians
2,0,2,REFUGE,chain,T1,0.504466395045339,0,0.07057899617756047,"[0.06765377516013733, 0.07350421719498362]","[[0, 0], [1, 1]]",0,radians
2,0,2,REFUGE,chain,T1,0.504466395045339,1,0.47779353292859833,"[0.501698785095584, 0.4538882807616127]","[[0, 0], [1, 1]]",0,radians
2,0,2,REFUGE,chain,T1,0.504466395045339,2,0.5311392571620797,"[0.6349061627635977, 0.42737235156056175]","[[0, 0], [1, 1]]",0,radians
2,0,2,REFUGE,chain,T2,0.47399965335964356,0,0.10783172464558252,"[0.09443851275627968, 0.12122493653488536]","[[0, 0], [1, 1]]",0,radians
2,0,2,REFUGE,chain,T2,0.47399965335964356,1,0.4600379146561203,"[0.506418080954025, 0.4136577483582157]","[[0, 0], [1, 1]]",0,radians
2,0,2,REFUGE,chain,T2,0.47399965335964356,2,0.4879613920631668,"[0.6107620001568741, 0.36516078396945956]","[[0, 0], [1, 1]]",0,radians
