step,full_objective,full_support_error,AA_conditional_term,AA_weighted_term,support_constant_term,regularization,W_frobenius_norm,b_norm,minimum_raw_output_norm,finite,gradient_finite,gradient_evaluated
0,7.728193085476676e-18,7.728193085476676e-18,7.728193085476676e-18,7.728193085476676e-18,0.0,0.0,0.0,0.0,0.9999999999999998,True,True,False
1,1.9613217302489604e-17,1.9613217300262776e-17,1.9613217300262776e-17,1.9613217300262776e-17,0.0,2.226827594356309e-27,2.9168996966661956e-12,3.709443637953237e-12,0.9999999999940178,True,True,True
2,7.872217939032816e-15,7.870187791400586e-15,7.870187791400586e-15,7.870187791400586e-15,0.0,2.0301476322293857e-18,8.45854329328647e-08,1.1465941242590466e-07,1.0000000213589861,True,True,True
3,1.7004985931434155e-06,1.7000468882099825e-06,1.7000468882099825e-06,1.7000468882099825e-06,0.0,4.517049334331151e-10,0.00170256782977114,0.0012721289711973157,0.9977051711224665,True,True,True
4,1.1924931322159157e-05,1.1918198468588091e-05,1.1918198468588091e-05,1.1918198468588091e-05,0.0,6.732853571066779e-09,0.008108855690523676,0.0012549880879632249,0.999690883936935,True,True,True
5,3.918405911754887e-06,3.914542702619636e-06,3.914542702619636e-06,3.914542702619636e-06,0.0,3.863209135251966e-09,0.006094874856335582,0.0012184382783415719,0.9997795907244393,True,True,True
6,6.2110570737996535e-06,6.207832303707678e-06,6.207832303707678e-06,6.207832303707678e-06,0.0,3.22477009197482e-09,0.005491545382879719,0.0014459011817965417,0.9978162457375587,True,True,True
7,5.752745462864793e-06,5.749644307725198e-06,5.749644307725198e-06,5.749644307725198e-06,0.0,3.1011551395946086e-09,0.005373559360143264,0.0014616467421927908,0.9970663102425511,True,True,True
8,3.7004934933682056e-06,3.698033899740638e-06,3.698033899740638e-06,3.698033899740638e-06,0.0,2.459593627567728e-09,0.004824645522086401,0.001148360510418625,0.9966166151818295,True,True,True
9,3.3901823030657658e-06,3.388017487976251e-06,3.388017487976251e-06,3.388017487976251e-06,0.0,2.164815089515074e-09,0.004580715911189507,0.0008155934257496389,0.9973975843742725,True,True,True
10,3.4915079134769373e-06,3.489016005431664e-06,3.489016005431664e-06,3.489016005431664e-06,0.0,2.4919080452731245e-09,0.004948278442352406,0.000658498982293588,0.9986072673900633,True,True,True
11,2.6495304364735364e-06,2.646888617113543e-06,2.646888617113543e-06,2.646888617113543e-06,0.0,2.6418193599931017e-09,0.005093436628246851,0.0006892727427980644,0.9990907471938564,True,True,True
12,2.5310331318369626e-06,2.5286296797795786e-06,2.5286296797795786e-06,2.5286296797795786e-06,0.0,2.403452057384099e-09,0.004820428987096662,0.0008933000359337451,0.9988296281150768,True,True,True
13,2.5237934957327556e-06,2.5219590546155673e-06,2.5219590546155673e-06,2.5219590546155673e-06,0.0,1.8344411171882398e-09,0.0041707743814298395,0.0009741931179652899,0.9986395049119174,True,True,True
14,1.9696785187925956e-06,1.968344673303853e-06,1.968344673303853e-06,1.968344673303853e-06,0.0,1.333845488742595e-09,0.003540179977451682,0.0008975414278328106,0.99868051629105,True,True,True
15,1.5477793937607753e-06,1.5464770115809334e-06,1.5464770115809334e-06,1.5464770115809334e-06,0.0,1.3023821798419845e-09,0.0035197893660280683,0.0007968090217960476,0.9988402426610907,True,True,True
16,1.5853698941550326e-06,1.5838257303544493e-06,1.5838257303544493e-06,1.5838257303544493e-06,0.0,1.544163800583196e-09,0.0038622949528003964,0.0007240964738241346,0.9986261526618528,True,True,True
17,1.6877184940408184e-06,1.686130857864284e-06,1.686130857864284e-06,1.686130857864284e-06,0.0,1.5876361765345693e-09,0.003928843185535343,0.0006637416581910389,0.9985302923950963,True,True,True
18,1.386894146665918e-06,1.3856210431567944e-06,1.3856210431567944e-06,1.3856210431567944e-06,0.0,1.273103509123513e-09,0.0035156686148928563,0.0006091873943972249,0.9987398771713297,True,True,True
19,1.057698746049217e-06,1.056726778886133e-06,1.056726778886133e-06,1.056726778886133e-06,0.0,9.719671630841343e-10,0.0030568674586281147,0.000612562626367161,0.9990689574887687,True,True,True
20,1.009771668814255e-06,1.0088262084363253e-06,1.0088262084363253e-06,1.0088262084363253e-06,0.0,9.454603779298537e-10,0.003004894185468803,0.0006520848974131474,0.9989062675629649,True,True,True
21,9.618731889584015e-07,9.608657982362466e-07,9.608657982362466e-07,9.608657982362466e-07,0.0,1.0073907221548728e-09,0.003106207303411333,0.000652214236108675,0.9987707203654089,True,True,True
22,8.818977274495955e-07,8.809153497714113e-07,8.809153497714113e-07,8.809153497714113e-07,0.0,9.823776781842588e-10,0.003073599065998627,0.0006138123193085626,0.9991187528199998,True,True,True
23,9.128380128744311e-07,9.119444071723664e-07,9.119444071723664e-07,9.119444071723664e-07,0.0,8.936057020647329e-10,0.0029351882321238002,0.0005663276989952784,0.9993366432063688,True,True,True
24,7.747608831998e-07,7.740486208311582e-07,7.740486208311582e-07,7.740486208311582e-07,0.0,7.122623686418501e-10,0.00262063550026202,0.0005048695486805814,0.9994625706434841,True,True,True
25,4.6639328562121157e-07,4.6589973155676904e-07,4.6589973155676904e-07,4.6589973155676904e-07,0.0,4.93554064442506e-10,0.002163601278327106,0.0005043512197332083,0.9994815489290714,True,True,True
26,4.768625757617193e-07,4.764282415993385e-07,4.764282415993385e-07,4.764282415993385e-07,0.0,4.343341623807721e-10,0.0019922048185160076,0.0006119326636888433,0.9990980634020095,True,True,True
27,6.582533435710614e-07,6.577558478794844e-07,6.577558478794844e-07,6.577558478794844e-07,0.0,4.974956915770588e-10,0.00213054105906393,0.0006601149228833829,0.9989122675482266,True,True,True
28,5.968588229969266e-07,5.963343620428431e-07,5.963343620428431e-07,5.963343620428431e-07,0.0,5.244609540835817e-10,0.0022156012388265907,0.0005794140931543641,0.9992115715400333,True,True,True
29,3.817306062639455e-07,3.8123840815599916e-07,3.8123840815599916e-07,3.8123840815599916e-07,0.0,4.921981079463715e-10,0.0021695804668620585,0.0004635748885286264,0.9996105865539597,True,True,True
30,2.881417289136496e-07,2.8769844889512186e-07,2.8769844889512186e-07,2.8769844889512186e-07,0.0,4.4328001852773616e-10,0.0020605647361550098,0.0004322882757972938,0.9996936170984649,True,True,True
