candidate,seed,stage_index,class_id,maximum_supported_coverage,common_upper_bound,common_support_AURC,reference_common_support_AURC,full_support_AURC,actual_shared_points,reliability_ECE_15,probability_ECE_15,multiclass_Brier,calibration_probability_available_mass,positive_pixel_count,full_valid_pixel_count,null_count,null_case_balanced_mass,case_count,ranked_coverage_sha256,ranked_risk_sha256,full_curve_storage
R0,0,0,overall,0.9999999997552335,0.21221327040847338,0.01534636009515526,0.0709875924232228,0.06313111917001255,"[0.05, 0.1, 0.2]",0.10125047007057464,0.10125047007057464,0.28143562639674397,0.9999999999999684,14745600,14745600,0,0.0,100,5774ed8874f968377d2431020f35100ea922d2522cda6d9d3b06a19ddb28bf88,43f13880f4963bbb5a55b4207b55092341c2527ed66b72fec1b66e07b0573637,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R0,0,0,0,0.9999999999943981,0.2163247273069945,0.012484807239509472,0.011622642334453433,0.027730294428253647,"[0.05, 0.1, 0.2]",0.04340693558094604,0.04340693558094604,0.12445052105933248,1.0000000000000013,12239538,12239538,0,0.0,100,bceb6c906eec2a3161b4c92ffb3cb0fa3ee59aa63f2903d7aa034ed8f64edcf3,78ca4278108a7fa1ad2d68d846637469833b1b7417a8a5fd6412cab79ad583cd,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R0,0,0,1,1.0,0.27845453931592545,0.5826515191161137,0.34773124399998984,0.5485219922868125,"[0.05, 0.1, 0.2]",0.3198471968991789,0.3198471968991789,0.8053455575807232,0.9999999999999997,1390249,1390249,0,0.0,100,e7e8b9dbb634aea2bcbc6dca34d3777dc0e86ea4d51d488e803090133adc0068,40ad1236841c53d07a744dfd837668476683fe4ced6226c586c1d3b463ddad53,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R0,0,0,2,0.9999999999950999,0.2876367551692614,0.4654853709812824,0.34557340220609417,0.6032652165620463,"[0.05, 0.1, 0.2]",0.5238921892227622,0.5238921892227622,0.9828826010330787,0.9999999999999994,1115813,1115813,0,0.0,100,26c4deb3ca54b287731735f896a73be239bbe74d57257be8792cfcd57c601f36,881445a098aa01f7eb792204894723fb3bb5a31e05a47d86f2fe8e4f6c840b93,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R0,0,0,foreground_macro,0.9999999999950999,,0.5240684450486981,0.346652323103042,0.5758936044244294,"[0.05, 0.1, 0.2]",0.42186969306097055,0.42186969306097055,0.8941140793069009,0.9999999999999996,2506062,2506062,0,0.0,100,,,equal rim/cup macro; class-specific common-support bounds and raw curve hashes are reported separately
R1,0,0,overall,0.21221327040847338,0.21221327040847338,0.0709875924232228,0.0709875924232228,0.0709875924232228,"[0.05, 0.1, 0.2]",0.6393433295356113,0.10125047007057464,0.28143562639674397,0.9999999999999684,3129212,14745600,0,0.0,100,52c4feda90e078c23c7d4ccc10730826ddc3e57ee9ff3ba33d4237e3954a08c9,32aedbab184b8684e5b56d1e6cb1f68e3018fea6a1d28de837ded74fc1f50a90,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R1,0,0,0,0.2163247273069945,0.2163247273069945,0.011622642334453433,0.011622642334453433,0.011622642334453433,"[0.05, 0.1, 0.2]",0.726011047570889,0.04340693558094604,0.12445052105933248,1.0000000000000013,2626552,12239538,0,0.0,100,50f55e53e3982852cbcfd8d49889604c221d8b2ce82f9a6672f7a0a635190ea5,dbab40dce294847ef8dfb3145e37740ec693d791bf46746bf2b5a41df2c0263a,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R1,0,0,1,0.27845453931592545,0.27845453931592545,0.34773124399998984,0.34773124399998984,0.34773124399998984,"[0.05, 0.1, 0.2]",0.37715274822560774,0.3198471968991789,0.8053455575807232,0.9999999999999997,306236,1390249,0,0.0,100,cb0d674130440195e5adedcb9e548f5abf212ab0fc132163d9a3b874f58ccd6f,eac308b342160260d1452103304d90703b8edad95c8e766fdf75c950c03facf0,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R1,0,0,2,0.2876367551692614,0.2876367551692614,0.34557340220609417,0.34557340220609417,0.34557340220609417,"[0.05, 0.1, 0.2]",0.17262573240562917,0.5238921892227622,0.9828826010330787,0.9999999999999994,196424,1115813,0,0.0,100,df19bd8c56278d9f1c14ebb2bc6c89efd807bd487a18aec6609d63dc0ea6ad01,f6615b0d88f8af8f6169fa669dbf7ef8a97c376f90d582523bf49412d47d744d,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R1,0,0,foreground_macro,0.27845453931592545,,0.346652323103042,0.346652323103042,0.346652323103042,"[0.05, 0.1, 0.2]",0.27488924031561845,0.42186969306097055,0.8941140793069009,0.9999999999999996,502660,2506062,0,0.0,100,,,equal rim/cup macro; class-specific common-support bounds and raw curve hashes are reported separately
R2,0,0,overall,0.9999999997552335,0.21221327040847338,0.004454262570102512,0.0709875924232228,0.04264962536424532,"[0.05, 0.1, 0.2]",0.16132277601434417,0.10125047007057464,0.28143562639674397,0.9999999999999684,14745600,14745600,0,0.0,100,5774ed8874f968377d2431020f35100ea922d2522cda6d9d3b06a19ddb28bf88,a0e0e311b9fcb97bde409718a6c30b9d4fc8b51c34ec41a48ad91aa599798816,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R2,0,0,0,0.9999999999874174,0.2163247273069945,0.004159010539233886,0.011622642334453433,0.012404932075999832,"[0.05, 0.1, 0.2]",0.1873407728009413,0.04340693558094604,0.12445052105933248,1.0000000000000013,12239538,12239538,0,0.0,100,467a8981b23969be1472bb05e28069108d9d79562b7b04c60f4233feb265908d,479d0e051637e2e92ac2c4d40b45cf37a1c1a18a66476fa11e0bb555c50f228f,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R2,0,0,1,1.0,0.27845453931592545,0.6210969529302456,0.34773124399998984,0.5488516838770601,"[0.05, 0.1, 0.2]",0.3301015668934238,0.3198471968991789,0.8053455575807232,0.9999999999999997,1390249,1390249,0,0.0,100,03e2fc869afdbbdc1cb07f9de1f1a51194bdf20d95137fc96a913e8d70b8e5dd,1e89e08cd22b1070ecc08fa50e16ebfb1dadca1727b2f523072b029716a7db37,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R2,0,0,2,0.9999999999911315,0.2876367551692614,0.16977383906245977,0.34557340220609417,0.4601788746338846,"[0.05, 0.1, 0.2]",0.11474184652786655,0.5238921892227622,0.9828826010330787,0.9999999999999994,1115813,1115813,0,0.0,100,d06ce809cfc07f55f0d4e910a4b5c3ede7325a43b7f5af97c01815d5679b2de1,527d55732421d8ced21c02a678f9467ad7106813442f04bdba50785909e8026c,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
