candidate,seed,stage_index,class_id,requested_coverage,precision,achieved_coverage,reason,point_kind
R0,0,0,overall,0.05,0.987759076932989,0.0500000678163697,,registered
R0,0,0,overall,0.1,0.9848151312926261,0.10000000000161557,,registered
R0,0,0,overall,0.2,0.9787896050341798,0.20000000000834584,,registered
R0,0,0,overall,0.3,0.9719676893610049,0.3000000678114527,,registered
R0,0,0,overall,0.4,0.9637837789354334,0.4000000677772557,,registered
R0,0,0,overall,0.5,0.9531736988516464,0.5000000677430587,,registered
R0,0,0,overall,0.9999999997552335,0.8213481309852475,0.9999999997552335,,maximum_support
R0,0,0,0,0.05,0.9892509416426184,0.05000007086587184,,registered
R0,0,0,0,0.1,0.9874180736734162,0.10000004168945979,,registered
R0,0,0,0,0.2,0.9843192343289915,0.20000000183486272,,registered
R0,0,0,0,0.3,0.981436471944345,0.30000000933781285,,registered
R0,0,0,0,0.4,0.9785423278438027,0.40000006856093273,,registered
R0,0,0,0,0.5,0.9752713602189036,0.5000000347563883,,registered
R0,0,0,0,0.9999999999943981,0.9373260671466715,0.9999999999943981,,maximum_support
R0,0,0,1,0.05,0.38585048147371404,0.05000004561358921,,registered
R0,0,0,1,0.1,0.40636429375474203,0.10000012509234175,,registered
R0,0,0,1,0.2,0.4384177365987628,0.2000014038271272,,registered
R0,0,0,1,0.3,0.4562411531649251,0.30000019985074683,,registered
R0,0,0,1,0.4,0.4653871493505294,0.40000045209156737,,registered
R0,0,0,1,0.5,0.46926553932394854,0.5000001341909481,,registered
R0,0,0,1,1.0,0.46127529947200363,1.000000000000303,,maximum_support
R0,0,0,2,0.05,0.5637279156642918,0.05000118568127053,,registered
R0,0,0,2,0.1,0.5834085614100596,0.10000007973452703,,registered
R0,0,0,2,0.2,0.5355136180606775,0.20000011207136764,,registered
R0,0,0,2,0.3,0.47122319800825396,0.3000001497381899,,registered
R0,0,0,2,0.4,0.41615163629058816,0.40000008273114773,,registered
R0,0,0,2,0.5,0.3730500054742898,0.5000001479337192,,registered
R0,0,0,2,0.9999999999950999,0.2599610674143358,0.9999999999950999,,maximum_support
R0,0,0,foreground_macro,0.05,0.4747891985690029,0.05000061564742987,,registered
R0,0,0,foreground_macro,0.1,0.4948864275824008,0.10000010241343439,,registered
R0,0,0,foreground_macro,0.2,0.4869656773297202,0.20000075794924743,,registered
R0,0,0,foreground_macro,0.3,0.4637321755865895,0.3000001747944684,,registered
R0,0,0,foreground_macro,0.4,0.44076939282055877,0.4000002674113575,,registered
R0,0,0,foreground_macro,0.5,0.42115777239911917,0.5000001410623336,,registered
R1,0,0,overall,0.05,0.9290691066246641,0.0500000678163697,,registered
R1,0,0,overall,0.1,0.9290405273401207,0.10000000000161557,,registered
R1,0,0,overall,0.2,0.9288669162308197,0.20000000000834584,,registered
R1,0,0,overall,0.3,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,0,overall,0.4,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,0,overall,0.5,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,0,overall,0.21221327040847338,0.928825212224238,0.21221327040847338,,maximum_support
R1,0,0,0,0.05,0.9882744164556228,0.05000002608976606,,registered
R1,0,0,0,0.1,0.9883647987768873,0.10000003109108944,,registered
R1,0,0,0,0.2,0.9884233870268944,0.20000006625355654,,registered
R1,0,0,0,0.3,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,0,0,0.4,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,0,0,0.5,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,0,0,0.2163247273069945,0.9884208620191179,0.2163247273069945,,maximum_support
R1,0,0,1,0.05,0.65210925203673,0.050000373559333594,,registered
R1,0,0,1,0.1,0.653259015438943,0.10000351384836334,,registered
R1,0,0,1,0.2,0.6518397360155679,0.2000026334487808,,registered
R1,0,0,1,0.3,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,0,1,0.4,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,0,1,0.5,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,0,1,0.27845453931592545,0.6510525765775769,0.27845453931592545,,maximum_support
R1,0,0,2,0.05,0.6579118928608673,0.050001416412856,,registered
R1,0,0,2,0.1,0.6538976359311031,0.1000001559366277,,registered
R1,0,0,2,0.2,0.6526294271811253,0.20000043101674414,,registered
R1,0,0,2,0.3,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,0,2,0.4,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,0,2,0.5,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,0,2,0.2876367551692614,0.6518153251241559,0.2876367551692614,,maximum_support
R1,0,0,foreground_macro,0.05,0.6550105724487987,0.05000089498609479,,registered
R1,0,0,foreground_macro,0.1,0.653578325685023,0.10000183489249552,,registered
R1,0,0,foreground_macro,0.2,0.6522345815983466,0.20000153223276246,,registered
R1,0,0,foreground_macro,0.3,,,FOREGROUND_CLASS_UNSUPPORTED,registered
R1,0,0,foreground_macro,0.4,,,FOREGROUND_CLASS_UNSUPPORTED,registered
R1,0,0,foreground_macro,0.5,,,FOREGROUND_CLASS_UNSUPPORTED,registered
R2,0,0,overall,0.05,0.9966810483385068,0.0500000678163697,,registered
R2,0,0,overall,0.1,0.995410834418168,0.10000000000161557,,registered
R2,0,0,overall,0.2,0.9933163113062526,0.20000000000834584,,registered
R2,0,0,overall,0.3,0.9907821111000572,0.3000000678114527,,registered
R2,0,0,overall,0.4,0.9865032642815621,0.4000000677772557,,registered
R2,0,0,overall,0.5,0.9783072946131454,0.5000000677430587,,registered
R2,0,0,overall,0.9999999997552335,0.8213481309852475,0.9999999997552335,,maximum_support
R2,0,0,0,0.05,0.9969115387500532,0.0500000550502699,,registered
R2,0,0,0,0.1,0.9956912691724427,0.10000000607683479,,registered
R2,0,0,0,0.2,0.9939182207172952,0.20000004858028522,,registered
R2,0,0,0,0.3,0.992524777251114,0.30000001112812336,,registered
R2,0,0,0,0.4,0.9911708625405763,0.40000004926690486,,registered
R2,0,0,0,0.5,0.989813188527841,0.5000000424949249,,registered
R2,0,0,0,0.9999999999874174,0.9373260671468966,0.9999999999874174,,maximum_support
R2,0,0,1,0.05,0.3230689671437421,0.05000015381580835,,registered
R2,0,0,1,0.1,0.37041915919506163,0.10000091301481114,,registered
R2,0,0,1,0.2,0.4199291490815631,0.20000062019464207,,registered
R2,0,0,1,0.3,0.4418098778580738,0.3000006762649041,,registered
R2,0,0,1,0.4,0.45362109789836513,0.40000054416437725,,registered
R2,0,0,1,0.5,0.46961043183027495,0.5000001612192968,,registered
R2,0,0,1,1.0,0.4612752994713065,1.0000000000014848,,maximum_support
R2,0,0,2,0.05,0.9641212600694676,0.050000960545301495,,registered
R2,0,0,2,0.1,0.8957099859032678,0.1000025582891439,,registered
R2,0,0,2,0.2,0.7479873283051403,0.20000067844818045,,registered
R2,0,0,2,0.3,0.637824578048699,0.300001002158013,,registered
R2,0,0,2,0.4,0.5663550533719893,0.4000004731920319,,registered
R2,0,0,2,0.5,0.5008608965059685,0.5000001635330606,,registered
R2,0,0,2,0.9999999999911315,0.2599610674153616,0.9999999999911315,,maximum_support
R2,0,0,foreground_macro,0.05,0.6435951136066049,0.05000055718055492,,registered
R2,0,0,foreground_macro,0.1,0.6330645725491647,0.10000173565197751,,registered
R2,0,0,foreground_macro,0.2,0.5839582386933517,0.20000064932141126,,registered
R2,0,0,foreground_macro,0.3,0.5398172279533864,0.3000008392114586,,registered
R2,0,0,foreground_macro,0.4,0.5099880756351772,0.4000005086782046,,registered
R2,0,0,foreground_macro,0.5,0.48523566416812175,0.5000001623761787,,registered
R3,0,0,overall,0.05,0.9966810483385068,0.0500000678163697,,registered
R3,0,0,overall,0.1,0.995410834418168,0.10000000000161557,,registered
R3,0,0,overall,0.2,0.9933163113062526,0.20000000000834584,,registered
R3,0,0,overall,0.3,0.9907821111000572,0.3000000678114527,,registered
R3,0,0,overall,0.4,0.9865032642815621,0.4000000677772557,,registered
R3,0,0,overall,0.5,0.9783072946131454,0.5000000677430587,,registered
R3,0,0,overall,0.9999999997552335,0.8213481309852475,0.9999999997552335,,maximum_support
R3,0,0,0,0.05,0.9969115387500532,0.0500000550502699,,registered
R3,0,0,0,0.1,0.9956912691724427,0.10000000607683479,,registered
R3,0,0,0,0.2,0.9939182207172952,0.20000004858028522,,registered
R3,0,0,0,0.3,0.992524777251114,0.30000001112812336,,registered
R3,0,0,0,0.4,0.9911708625405763,0.40000004926690486,,registered
R3,0,0,0,0.5,0.989813188527841,0.5000000424949249,,registered
R3,0,0,0,0.9999999999874174,0.9373260671468966,0.9999999999874174,,maximum_support
R3,0,0,1,0.05,0.3230689671437421,0.05000015381580835,,registered
R3,0,0,1,0.1,0.37041915919506163,0.10000091301481114,,registered
R3,0,0,1,0.2,0.4199291490815631,0.20000062019464207,,registered
R3,0,0,1,0.3,0.4418098778580738,0.3000006762649041,,registered
R3,0,0,1,0.4,0.45362109789836513,0.40000054416437725,,registered
R3,0,0,1,0.5,0.46961043183027495,0.5000001612192968,,registered
R3,0,0,1,1.0,0.4612752994713065,1.0000000000014848,,maximum_support
R3,0,0,2,0.05,0.9641212600694676,0.050000960545301495,,registered
R3,0,0,2,0.1,0.8957099859032678,0.1000025582891439,,registered
R3,0,0,2,0.2,0.7479873283051403,0.20000067844818045,,registered
R3,0,0,2,0.3,0.637824578048699,0.300001002158013,,registered
R3,0,0,2,0.4,0.5663550533719893,0.4000004731920319,,registered
R3,0,0,2,0.5,0.5008608965059685,0.5000001635330606,,registered
R3,0,0,2,0.9999999999911315,0.2599610674153616,0.9999999999911315,,maximum_support
R3,0,0,foreground_macro,0.05,0.6435951136066049,0.05000055718055492,,registered
R3,0,0,foreground_macro,0.1,0.6330645725491647,0.10000173565197751,,registered
R3,0,0,foreground_macro,0.2,0.5839582386933517,0.20000064932141126,,registered
R3,0,0,foreground_macro,0.3,0.5398172279533864,0.3000008392114586,,registered
R3,0,0,foreground_macro,0.4,0.5099880756351772,0.4000005086782046,,registered
R3,0,0,foreground_macro,0.5,0.48523566416812175,0.5000001623761787,,registered
R0,0,1,overall,0.05,0.9982333773011206,0.050000169541890765,,registered
R0,0,1,overall,0.1,0.9978993769338472,0.10000016954116317,,registered
R0,0,1,overall,0.2,0.9967837890762505,0.20000016953970798,,registered
R0,0,1,overall,0.3,0.996220343571228,0.3000001695382528,,registered
R0,0,1,overall,0.4,0.995589364119911,0.4000001695367976,,registered
R0,0,1,overall,0.5,0.9946400978461095,0.5000001695353424,,registered
R0,0,1,overall,0.9999999999859658,0.9107126871745254,0.9999999999859658,,maximum_support
R0,0,1,0,0.05,0.9982048829884975,0.05000011647289673,,registered
R0,0,1,0,0.1,0.99800114958714,0.10000015775505065,,registered
R0,0,1,0,0.2,0.9969577794230904,0.20000011938054083,,registered
R0,0,1,0,0.3,0.9963698773882163,0.30000004393003626,,registered
R0,0,1,0,0.4,0.9958405774906421,0.40000001664120904,,registered
R0,0,1,0,0.5,0.9951834065281343,0.5000000262037816,,registered
R0,0,1,0,1.0,0.968667579843962,1.000000000005536,,maximum_support
R0,0,1,1,0.05,0.5586405852594963,0.05000139920696088,,registered
R0,0,1,1,0.1,0.572570898479699,0.10000025211911877,,registered
R0,0,1,1,0.2,0.5733379232153978,0.2000041574469056,,registered
R0,0,1,1,0.3,0.5624958072971548,0.3000005749695788,,registered
R0,0,1,1,0.4,0.5517935397566686,0.40000086873825036,,registered
R0,0,1,1,0.5,0.5414658852178168,0.5000017689547438,,registered
R0,0,1,1,0.9999999999991711,0.5004726877996726,0.9999999999991711,,maximum_support
R0,0,1,2,0.05,0.6135878836393801,0.05000497931840003,,registered
R0,0,1,2,0.1,0.635013028972738,0.10000112475972901,,registered
R0,0,1,2,0.2,0.630801819760194,0.20000186933817207,,registered
R0,0,1,2,0.3,0.6101311010948254,0.300002656138823,,registered
R0,0,1,2,0.4,0.5841834039083574,0.40000100280303735,,registered
R0,0,1,2,0.5,0.5562895780431004,0.5000025099597206,,registered
R0,0,1,2,1.0,0.4323135090149448,1.000000000000153,,maximum_support
R0,0,1,foreground_macro,0.05,0.5861142344494382,0.05000318926268045,,registered
R0,0,1,foreground_macro,0.1,0.6037919637262186,0.10000068843942389,,registered
R0,0,1,foreground_macro,0.2,0.6020698714877959,0.20000301339253884,,registered
R0,0,1,foreground_macro,0.3,0.58631345419599,0.3000016155542009,,registered
