seed,stage,domain,class_id,K,role,R95_null_worst_case,null_mass,registered_count
0,0,REFUGE,0,1,train_labeled,0.9330026373126196,0.0,75480
0,0,REFUGE,0,1,val,0.9363300387392754,0.0,159600
0,0,REFUGE,0,2,train_labeled,0.8341770844810197,0.0,75480
0,0,REFUGE,0,2,val,0.8266702411367417,0.0,159600
0,0,REFUGE,1,1,train_labeled,0.9803856738664898,0.0,75480
0,0,REFUGE,1,1,val,0.9686308067700932,0.0,159600
0,0,REFUGE,1,2,train_labeled,0.8128143900065657,0.0,75480
0,0,REFUGE,1,2,val,0.7923076839530037,0.0,159600
0,0,REFUGE,2,1,train_labeled,0.9287972905101554,0.0,75480
0,0,REFUGE,2,1,val,0.8717167585481564,0.0,159600
0,0,REFUGE,2,2,train_labeled,0.7520702471881767,0.0,75480
0,0,REFUGE,2,2,val,0.744736605273815,0.0,159600
0,1,RIM_ONE_r3,0,1,train_labeled,0.9137830972724829,0.0,17840
0,1,RIM_ONE_r3,0,1,val,0.9270323358979834,0.0,22200
0,1,RIM_ONE_r3,0,2,train_labeled,0.7851107280333455,0.0,17840
0,1,RIM_ONE_r3,0,2,val,0.8045012107454756,0.0,22200
0,1,RIM_ONE_r3,1,1,train_labeled,0.8998090782667969,0.0,17840
0,1,RIM_ONE_r3,1,1,val,1.0422514383765042,0.0,22200
0,1,RIM_ONE_r3,1,2,train_labeled,0.6556842078926349,0.0,17840
0,1,RIM_ONE_r3,1,2,val,0.7284033532135128,0.0,22200
0,1,RIM_ONE_r3,2,1,train_labeled,0.6489414403344791,0.0,17840
0,1,RIM_ONE_r3,2,1,val,0.834334926316442,0.0,22200
0,1,RIM_ONE_r3,2,2,train_labeled,0.5682014468994093,0.0,17840
0,1,RIM_ONE_r3,2,2,val,0.7330234571812441,0.0,22200
0,2,Drishti_GS,0,1,train_labeled,0.9316597504543965,0.0,15960
0,2,Drishti_GS,0,1,val,0.927384772471327,0.0,12725
0,2,Drishti_GS,0,2,train_labeled,0.726143883452818,0.0,15960
0,2,Drishti_GS,0,2,val,0.7225750984138656,0.0,12725
0,2,Drishti_GS,1,1,train_labeled,0.8203458515884178,0.0,15960
0,2,Drishti_GS,1,1,val,0.836369878411773,0.0,12725
0,2,Drishti_GS,1,2,train_labeled,0.6663882654902207,0.0,15960
0,2,Drishti_GS,1,2,val,0.7158728265844602,0.0,12725
0,2,Drishti_GS,2,1,train_labeled,0.7898726800488016,0.0,15960
0,2,Drishti_GS,2,1,val,0.7033643518735135,0.0,12725
0,2,Drishti_GS,2,2,train_labeled,0.6535791849129001,0.0,15960
0,2,Drishti_GS,2,2,val,0.5527466029388904,0.0,12725
1,0,REFUGE,0,1,train_labeled,0.915780420794887,0.0,56000
1,0,REFUGE,0,1,val,0.9102176610812759,0.0,142500
1,0,REFUGE,0,2,train_labeled,0.8002252497570886,0.0,56000
1,0,REFUGE,0,2,val,0.7993527172230964,0.0,142500
1,0,REFUGE,1,1,train_labeled,0.990514928036354,0.0,56000
1,0,REFUGE,1,1,val,0.9747951251000678,0.0,142500
1,0,REFUGE,1,2,train_labeled,0.7995432114085066,0.0,56000
1,0,REFUGE,1,2,val,0.79897535275371,0.0,142500
1,0,REFUGE,2,1,train_labeled,0.8907008410719026,0.0,56000
1,0,REFUGE,2,1,val,0.8551221633985492,0.0,142500
1,0,REFUGE,2,2,train_labeled,0.7624967840040076,0.0,56000
1,0,REFUGE,2,2,val,0.7381946545539011,0.0,142500
1,1,RIM_ONE_r3,0,1,train_labeled,0.9817554467093772,0.0,18800
1,1,RIM_ONE_r3,0,1,val,0.9970336905662982,0.0,24160
1,1,RIM_ONE_r3,0,2,train_labeled,0.8802289594757591,0.0,18800
1,1,RIM_ONE_r3,0,2,val,0.8999098343931077,0.0,24160
1,1,RIM_ONE_r3,1,1,train_labeled,0.8109573617501523,0.0,18800
1,1,RIM_ONE_r3,1,1,val,1.0885423815475526,0.0,24160
