arm,baseline,order,seed,domain,role,metric,delta
DPR_FINITE_U,F_CONV,O1,61,RIM_ONE_r3,old,rim_dice,-0.008529531861040773
DPR_FINITE_U,F_CONV,O1,61,RIM_ONE_r3,old,cup_dice,-0.015434480782362092
DPR_FINITE_U,F_CONV,O1,61,Drishti_GS,current,rim_dice,-0.023817196335253366
DPR_FINITE_U,F_CONV,O1,61,Drishti_GS,current,cup_dice,-0.009158989320662836
DPR_FINITE_U,F_CONV,O1,62,RIM_ONE_r3,old,rim_dice,-0.012681763771257681
DPR_FINITE_U,F_CONV,O1,62,RIM_ONE_r3,old,cup_dice,-0.01491493022806234
DPR_FINITE_U,F_CONV,O1,62,Drishti_GS,current,rim_dice,-0.009564519174098063
DPR_FINITE_U,F_CONV,O1,62,Drishti_GS,current,cup_dice,-0.019094239632584387
DPR_FINITE_U,F_CONV,O1,63,RIM_ONE_r3,old,rim_dice,-0.015466136121619123
DPR_FINITE_U,F_CONV,O1,63,RIM_ONE_r3,old,cup_dice,-0.021419139744496274
DPR_FINITE_U,F_CONV,O1,63,Drishti_GS,current,rim_dice,-0.010306891059196577
DPR_FINITE_U,F_CONV,O1,63,Drishti_GS,current,cup_dice,-0.006337822576398033
DPR_FINITE_U,F_CONV,O2,61,RIM_ONE_r3,current,rim_dice,0.011461927895879298
DPR_FINITE_U,F_CONV,O2,61,RIM_ONE_r3,current,cup_dice,0.0009645937791973314
DPR_FINITE_U,F_CONV,O2,61,Drishti_GS,old,rim_dice,-0.10432205465804217
DPR_FINITE_U,F_CONV,O2,61,Drishti_GS,old,cup_dice,0.018768270429564138
DPR_FINITE_U,F_CONV,O2,62,RIM_ONE_r3,current,rim_dice,-0.010824505099876425
DPR_FINITE_U,F_CONV,O2,62,RIM_ONE_r3,current,cup_dice,0.006170824656978824
DPR_FINITE_U,F_CONV,O2,62,Drishti_GS,old,rim_dice,-0.017870470996977694
DPR_FINITE_U,F_CONV,O2,62,Drishti_GS,old,cup_dice,0.050000818513919076
DPR_FINITE_U,F_CONV,O2,63,RIM_ONE_r3,current,rim_dice,-0.02088463115106065
DPR_FINITE_U,F_CONV,O2,63,RIM_ONE_r3,current,cup_dice,-0.03998349594745143
DPR_FINITE_U,F_CONV,O2,63,Drishti_GS,old,rim_dice,-0.026430635644995648
DPR_FINITE_U,F_CONV,O2,63,Drishti_GS,old,cup_dice,-0.02463197137969525
DPR_FINITE_U,F_FULL,O1,61,RIM_ONE_r3,old,rim_dice,-0.0038906177713807777
DPR_FINITE_U,F_FULL,O1,61,RIM_ONE_r3,old,cup_dice,0.035144143165949715
DPR_FINITE_U,F_FULL,O1,61,Drishti_GS,current,rim_dice,-0.013998065202845078
DPR_FINITE_U,F_FULL,O1,61,Drishti_GS,current,cup_dice,-0.021414651946982
DPR_FINITE_U,F_FULL,O1,62,RIM_ONE_r3,old,rim_dice,0.03945237393099227
DPR_FINITE_U,F_FULL,O1,62,RIM_ONE_r3,old,cup_dice,0.00539472200778901
DPR_FINITE_U,F_FULL,O1,62,Drishti_GS,current,rim_dice,0.0019251616421970263
DPR_FINITE_U,F_FULL,O1,62,Drishti_GS,current,cup_dice,-0.014650051978043477
DPR_FINITE_U,F_FULL,O1,63,RIM_ONE_r3,old,rim_dice,-0.07997779390216148
DPR_FINITE_U,F_FULL,O1,63,RIM_ONE_r3,old,cup_dice,-0.023254105161327976
