task_id,seed,order,arm,domain,role,n_patients,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice
O1_s61_SRC_CE,61,O1,SOURCE_STAGE_REFERENCE,RIM_ONE_r3,source,40,40,0.9870295243146344,0.7330696983532834,0.6843997261414897,0.7087347122473866
O1_s61_F_FULL,61,O1,F_FULL,RIM_ONE_r3,old,40,40,0.9723954055589864,0.549368098444649,0.5615442133743871,0.555456155909518
O1_s61_F_FULL,61,O1,F_FULL,Drishti_GS,current,25,25,0.9896191956215071,0.7069879089908614,0.7442523960839205,0.7256201525373911
O1_s61_F_CONV,61,O1,F_CONV,RIM_ONE_r3,old,40,40,0.9748416665180493,0.554007012534309,0.6121228373226989,0.583064924928504
O1_s61_F_CONV,61,O1,F_CONV,Drishti_GS,current,25,25,0.9896422882796722,0.7168070401232697,0.7319967334576013,0.7244018867904355
O1_s61_STATIC_SOURCE,61,O1,STATIC_SOURCE,Drishti_GS,current,25,25,0.96680033811174,0.4130254639374586,0.40386802010549266,0.4084467420214757
O1_s61_STATIC_SOURCE,61,O1,STATIC_SOURCE,RIM_ONE_r3,old,40,40,0.9870295243146344,0.7330696983532834,0.6843997261414897,0.7087347122473866
O1_s61_DPR_U,61,O1,DPR_U,RIM_ONE_r3,old,40,40,0.9747050564123372,0.5526211873671802,0.6048581298716271,0.5787396586194036
O1_s61_DPR_U,61,O1,DPR_U,Drishti_GS,current,25,25,0.9888008559779244,0.7040280786066198,0.7286622765864302,0.7163451775965253
O1_s61_RESPONSE_U,61,O1,RESPONSE_U,RIM_ONE_r3,old,40,40,0.9752197375155438,0.5524024212964151,0.605154768717729,0.5787785950070721
O1_s61_RESPONSE_U,61,O1,RESPONSE_U,Drishti_GS,current,25,25,0.9890951152147787,0.7101929079596973,0.7372584361685887,0.7237256720641431
O1_s61_DPR_L,61,O1,DPR_L,RIM_ONE_r3,old,40,40,0.9745737545504998,0.5546885845066892,0.6042312559137418,0.5794599202102154
O1_s61_DPR_L,61,O1,DPR_L,Drishti_GS,current,25,25,0.9896258512036937,0.7145012116937456,0.7289265602318266,0.7217138859627861
O2_s61_SRC_CE,61,O2,SOURCE_STAGE_REFERENCE,Drishti_GS,source,25,25,0.9821261576384483,0.6503829136719266,0.7484186011624524,0.6994007574171895
O2_s61_F_FULL,61,O2,F_FULL,Drishti_GS,old,25,25,0.9658812311715985,0.4388465460238054,0.5023304100971435,0.47058847806047444
O2_s61_F_FULL,61,O2,F_FULL,RIM_ONE_r3,current,40,40,0.9887578477609494,0.7556875369645414,0.6920508616152139,0.7238691992898778
O2_s61_F_CONV,61,O2,F_CONV,Drishti_GS,old,25,25,0.9645837411410183,0.4513679939565104,0.48791432290565523,0.4696411584310829
O2_s61_F_CONV,61,O2,F_CONV,RIM_ONE_r3,current,40,40,0.9886130093090035,0.742918763549457,0.6964512471241863,0.7196850053368216
O2_s61_STATIC_SOURCE,61,O2,STATIC_SOURCE,RIM_ONE_r3,current,40,40,0.9695949581797787,0.3758596472815504,0.5231675051186173,0.449513576200084
O2_s61_STATIC_SOURCE,61,O2,STATIC_SOURCE,Drishti_GS,old,25,25,0.9821261576384483,0.6503829136719266,0.7484186011624524,0.6994007574171895
O2_s61_DPR_U,61,O2,DPR_U,Drishti_GS,old,25,25,0.958601230843281,0.37900281828998716,0.46821493434598715,0.42360887631798716
O2_s61_DPR_U,61,O2,DPR_U,RIM_ONE_r3,current,40,40,0.9894375891899344,0.7493743063109195,0.7061997313915065,0.727787018851213
O2_s61_RESPONSE_U,61,O2,RESPONSE_U,Drishti_GS,old,25,25,0.9615469161069738,0.4014936628685251,0.4786725406129613,0.4400831017407432
O2_s61_RESPONSE_U,61,O2,RESPONSE_U,RIM_ONE_r3,current,40,40,0.9888669608444683,0.7502247766633043,0.6978829759755338,0.7240538763194191
O2_s61_DPR_L,61,O2,DPR_L,Drishti_GS,old,25,25,0.9574972567612252,0.3626682295057232,0.43575985442238646,0.39921404196405486
O2_s61_DPR_L,61,O2,DPR_L,RIM_ONE_r3,current,40,40,0.9893053776767481,0.7496440382894348,0.6961036965593579,0.7228738674243964
O1_s62_SRC_CE,62,O1,SOURCE_STAGE_REFERENCE,RIM_ONE_r3,source,40,40,0.9865761254490637,0.7218951195876834,0.6675720556087968,0.6947335875982402
O1_s62_F_FULL,62,O1,F_FULL,RIM_ONE_r3,old,40,40,0.9712507479407755,0.4593231041657605,0.530125029170031,0.4947240666678957
O1_s62_F_FULL,62,O1,F_FULL,Drishti_GS,current,25,25,0.9869461407118085,0.6957883441617017,0.7500361231945345,0.7229122336781181
O1_s62_F_CONV,62,O1,F_CONV,RIM_ONE_r3,old,40,40,0.9723505687052008,0.5114572418680104,0.5504346814058824,0.5309459616369464
O1_s62_F_CONV,62,O1,F_CONV,Drishti_GS,current,25,25,0.9879665273640182,0.7072780249779967,0.7544803108490754,0.730879167913536
O1_s62_STATIC_SOURCE,62,O1,STATIC_SOURCE,Drishti_GS,current,25,25,0.9718779139382362,0.4956278691886478,0.47049081087526917,0.4830593400319585
O1_s62_STATIC_SOURCE,62,O1,STATIC_SOURCE,RIM_ONE_r3,old,40,40,0.9865761254490637,0.7218951195876834,0.6675720556087968,0.6947335875982402
O1_s62_DPR_U,62,O1,DPR_U,RIM_ONE_r3,old,40,40,0.9711188507281637,0.5017102740266559,0.5379618289606174,0.5198360514936367
