arm,baseline,order,seed,domain,n,mean,q00,q05,q25,q50,q75,q95,q100,harm_below_minus005,harm_below_minus001
DPR_FINITE_U,F_CONV,O1,61,RIM_ONE_r3,40,-0.011982006321701457,-0.16991530877154792,-0.06898793271273834,-0.0307288065794315,-0.005359660230496943,0.011850670144799264,0.05078821140268738,0.0581111683390394,6,18
DPR_FINITE_U,F_CONV,O1,61,Drishti_GS,25,-0.01648809282795801,-0.1560716814993902,-0.1309630077806859,-0.030085679771117535,-0.0095860003743794,0.009621538227699844,0.030628653329878304,0.10590501159580534,4,12
DPR_FINITE_U,F_CONV,O1,62,RIM_ONE_r3,40,-0.013798346999660042,-0.2566898320408917,-0.058772703493756316,-0.023995072996920844,-0.005181946561791384,0.006725954694867614,0.0331239843618396,0.08190359403917946,3,17
DPR_FINITE_U,F_CONV,O1,62,Drishti_GS,25,-0.014329379403341164,-0.06749525267261036,-0.06147793324828768,-0.020920466309896746,-0.01252736965507839,-0.0028052942378373746,0.023336954347215833,0.03382091002405052,2,15
DPR_FINITE_U,F_CONV,O1,63,RIM_ONE_r3,40,-0.01844263793305772,-0.2770671827128859,-0.11716170216323464,-0.06056553451409083,-0.00807547091954261,0.02032359671659672,0.06469939618907873,0.1299919803226517,11,19
DPR_FINITE_U,F_CONV,O1,63,Drishti_GS,25,-0.00832235681779734,-0.08880787983590799,-0.0740084128238238,-0.037332943683517916,-0.0052390057323387085,0.02914260325938467,0.052085966143293375,0.08041326481413646,4,11
DPR_FINITE_U,F_CONV,O2,61,RIM_ONE_r3,40,0.00621326083753832,-0.08505665521086014,-0.051728911019286165,-0.028862981144501948,-0.0025786646428362925,0.037437549720989505,0.07118348418386367,0.21152762605553477,4,18
DPR_FINITE_U,F_CONV,O2,61,Drishti_GS,25,-0.04277689211423899,-0.2881956299361106,-0.22240312376483057,-0.08877323159036166,-0.03430376490464071,0.016504639377969366,0.06399369258265986,0.1025097315035379,10,14
DPR_FINITE_U,F_CONV,O2,62,RIM_ONE_r3,40,-0.0023268402214488477,-0.0928414671330755,-0.052740819165046,-0.022206260931023764,-0.0038661012949225415,0.014059472204281942,0.058755172554742094,0.06676018962178448,4,18
DPR_FINITE_U,F_CONV,O2,62,Drishti_GS,25,0.016065173758470695,-0.1650569355434569,-0.12839128221881874,-0.04402199173675353,0.023785692228574518,0.061811216916949574,0.16443429625759554,0.2126498180026528,5,10
