arm,baseline,order,seed,domain,role,metric,delta
DPR_FINITE_SIGN_U,F_CONV,O1,71,RIM_ONE_r3,old,background_dice,0.008116300267561938
DPR_FINITE_SIGN_U,F_CONV,O1,71,RIM_ONE_r3,old,rim_dice,0.02644806479358621
DPR_FINITE_SIGN_U,F_CONV,O1,71,RIM_ONE_r3,old,cup_dice,-0.026952466886007463
DPR_FINITE_SIGN_U,F_CONV,O1,71,RIM_ONE_r3,old,macro_fg_dice,-0.00025220104621061776
DPR_FINITE_SIGN_U,F_CONV,O1,71,Drishti_GS,current,background_dice,0.000957584110307077
DPR_FINITE_SIGN_U,F_CONV,O1,71,Drishti_GS,current,rim_dice,0.005432588532910159
DPR_FINITE_SIGN_U,F_CONV,O1,71,Drishti_GS,current,cup_dice,0.009094694728304686
DPR_FINITE_SIGN_U,F_CONV,O1,71,Drishti_GS,current,macro_fg_dice,0.007263641630607407
DPR_FINITE_SIGN_U,F_CONV,O1,72,RIM_ONE_r3,old,background_dice,0.0029086363736308797
DPR_FINITE_SIGN_U,F_CONV,O1,72,RIM_ONE_r3,old,rim_dice,0.0021465837003764162
DPR_FINITE_SIGN_U,F_CONV,O1,72,RIM_ONE_r3,old,cup_dice,-0.004315898250520423
DPR_FINITE_SIGN_U,F_CONV,O1,72,RIM_ONE_r3,old,macro_fg_dice,-0.001084657275071997
DPR_FINITE_SIGN_U,F_CONV,O1,72,Drishti_GS,current,background_dice,-0.00037125542533465337
DPR_FINITE_SIGN_U,F_CONV,O1,72,Drishti_GS,current,rim_dice,-0.004857156849732389
DPR_FINITE_SIGN_U,F_CONV,O1,72,Drishti_GS,current,cup_dice,-0.010343860427505916
DPR_FINITE_SIGN_U,F_CONV,O1,72,Drishti_GS,current,macro_fg_dice,-0.007600508638619146
DPR_FINITE_SIGN_U,F_CONV,O1,73,RIM_ONE_r3,old,background_dice,0.0004985646788378678
DPR_FINITE_SIGN_U,F_CONV,O1,73,RIM_ONE_r3,old,rim_dice,0.019329420625928802
DPR_FINITE_SIGN_U,F_CONV,O1,73,RIM_ONE_r3,old,cup_dice,-0.03039964922171872
DPR_FINITE_SIGN_U,F_CONV,O1,73,RIM_ONE_r3,old,macro_fg_dice,-0.005535114297894942
DPR_FINITE_SIGN_U,F_CONV,O1,73,Drishti_GS,current,background_dice,-0.0009449264037973881
DPR_FINITE_SIGN_U,F_CONV,O1,73,Drishti_GS,current,rim_dice,-0.013388336441156657
DPR_FINITE_SIGN_U,F_CONV,O1,73,Drishti_GS,current,cup_dice,-0.009738670569902626
DPR_FINITE_SIGN_U,F_CONV,O1,73,Drishti_GS,current,macro_fg_dice,-0.011563503505529663
DPR_FINITE_SIGN_U,F_CONV,O2,71,RIM_ONE_r3,current,background_dice,0.00018599711534702523
DPR_FINITE_SIGN_U,F_CONV,O2,71,RIM_ONE_r3,current,rim_dice,0.0006334135028213436
DPR_FINITE_SIGN_U,F_CONV,O2,71,RIM_ONE_r3,current,cup_dice,0.010839122499838828
DPR_FINITE_SIGN_U,F_CONV,O2,71,RIM_ONE_r3,current,macro_fg_dice,0.005736268001330094
DPR_FINITE_SIGN_U,F_CONV,O2,71,Drishti_GS,old,background_dice,0.0022181191800500644
DPR_FINITE_SIGN_U,F_CONV,O2,71,Drishti_GS,old,rim_dice,0.023126246400544698
DPR_FINITE_SIGN_U,F_CONV,O2,71,Drishti_GS,old,cup_dice,0.04200546414940257
DPR_FINITE_SIGN_U,F_CONV,O2,71,Drishti_GS,old,macro_fg_dice,0.032565855274973625
DPR_FINITE_SIGN_U,F_CONV,O2,72,RIM_ONE_r3,current,background_dice,0.0006080012657388112
DPR_FINITE_SIGN_U,F_CONV,O2,72,RIM_ONE_r3,current,rim_dice,0.007502062827007432
DPR_FINITE_SIGN_U,F_CONV,O2,72,RIM_ONE_r3,current,cup_dice,0.020408941148489252
DPR_FINITE_SIGN_U,F_CONV,O2,72,RIM_ONE_r3,current,macro_fg_dice,0.013955501987748342
DPR_FINITE_SIGN_U,F_CONV,O2,72,Drishti_GS,old,background_dice,-0.003338861306328389
DPR_FINITE_SIGN_U,F_CONV,O2,72,Drishti_GS,old,rim_dice,-0.031126283622146658
DPR_FINITE_SIGN_U,F_CONV,O2,72,Drishti_GS,old,cup_dice,0.00046486436969983336
DPR_FINITE_SIGN_U,F_CONV,O2,72,Drishti_GS,old,macro_fg_dice,-0.0153307096262234
DPR_FINITE_SIGN_U,F_CONV,O2,73,RIM_ONE_r3,current,background_dice,0.0005233365080530461
DPR_FINITE_SIGN_U,F_CONV,O2,73,RIM_ONE_r3,current,rim_dice,0.0052521713782669255
DPR_FINITE_SIGN_U,F_CONV,O2,73,RIM_ONE_r3,current,cup_dice,0.005053278392453563
DPR_FINITE_SIGN_U,F_CONV,O2,73,RIM_ONE_r3,current,macro_fg_dice,0.005152724885360233
DPR_FINITE_SIGN_U,F_CONV,O2,73,Drishti_GS,old,background_dice,-0.003440833248041746
DPR_FINITE_SIGN_U,F_CONV,O2,73,Drishti_GS,old,rim_dice,-0.07068576647449719
DPR_FINITE_SIGN_U,F_CONV,O2,73,Drishti_GS,old,cup_dice,0.01966509210596641
DPR_FINITE_SIGN_U,F_CONV,O2,73,Drishti_GS,old,macro_fg_dice,-0.025510337184265385
