task_id,source_task_id,seed,order,source_domain,domain,arm,steps_per_epoch,updates,actual_diagnostic_positions,status,actual_updates,student_hash,execution_source,source_student_hash,U_opens,L_opens
O1_s71_SRC_CE,,71,O1,RIM_ONE_r3,RIM_ONE_r3,SRC_CE,32,3200,[],COMPLETE,3200,9a5a1fd613a9fe31230fd1f75fadadce515e5b83491524f6f53419e6af38a869,87bb70ee05609e77935b1bab5b9a44c9532dc491,,0,6400
O1_s71_F_CONV,O1_s71_SRC_CE,71,O1,RIM_ONE_r3,Drishti_GS,F_CONV,21,2100,[],COMPLETE,2100,b07e7c5d549df2ff84022d805b21119009d5631eba6092b68ab143af31412213,87bb70ee05609e77935b1bab5b9a44c9532dc491,9a5a1fd613a9fe31230fd1f75fadadce515e5b83491524f6f53419e6af38a869,0,4200
O1_s71_DPR_FINITE_SIGN_U,O1_s71_SRC_CE,71,O1,RIM_ONE_r3,Drishti_GS,DPR_FINITE_SIGN_U,21,2100,"[820, 1320, 1820]",COMPLETE,2100,35e25694efb74d4568235133e0b385425ce85648ee8ba8571187a30fbcc43d8f,87bb70ee05609e77935b1bab5b9a44c9532dc491,9a5a1fd613a9fe31230fd1f75fadadce515e5b83491524f6f53419e6af38a869,3280,4200
O2_s71_SRC_CE,,71,O2,Drishti_GS,Drishti_GS,SRC_CE,21,2100,[],COMPLETE,2100,a863d2e1ba8a167eaa38518015f5c946f65be3f33b2e178932f1df008385be59,87bb70ee05609e77935b1bab5b9a44c9532dc491,,0,4200
O2_s71_F_CONV,O2_s71_SRC_CE,71,O2,Drishti_GS,RIM_ONE_r3,F_CONV,32,3200,[],COMPLETE,3200,a7d1012a4d716a4f521fa43f7aec33e2b699273ce5bb6534227f6991f44234ae,87bb70ee05609e77935b1bab5b9a44c9532dc491,a863d2e1ba8a167eaa38518015f5c946f65be3f33b2e178932f1df008385be59,0,6400
O2_s71_DPR_FINITE_SIGN_U,O2_s71_SRC_CE,71,O2,Drishti_GS,RIM_ONE_r3,DPR_FINITE_SIGN_U,32,3200,"[1249, 1749, 2249, 2749]",COMPLETE,3200,a9481c208c13fac991df0cc2b283cfac804f1261051d83f45481665eae8193e6,87bb70ee05609e77935b1bab5b9a44c9532dc491,a863d2e1ba8a167eaa38518015f5c946f65be3f33b2e178932f1df008385be59,5040,6400
O1_s72_SRC_CE,,72,O1,RIM_ONE_r3,RIM_ONE_r3,SRC_CE,32,3200,[],COMPLETE,3200,01645b0f467837d81c6b6641b45ff107a9cfd0333bea6ab55b76c2db014a1233,87bb70ee05609e77935b1bab5b9a44c9532dc491,,0,6400
O1_s72_F_CONV,O1_s72_SRC_CE,72,O1,RIM_ONE_r3,Drishti_GS,F_CONV,21,2100,[],COMPLETE,2100,d40ba403b5a0ee147f47a20bc2ade42e0935712da98533deb156476b5aaec7a0,87bb70ee05609e77935b1bab5b9a44c9532dc491,01645b0f467837d81c6b6641b45ff107a9cfd0333bea6ab55b76c2db014a1233,0,4200
O1_s72_DPR_FINITE_SIGN_U,O1_s72_SRC_CE,72,O1,RIM_ONE_r3,Drishti_GS,DPR_FINITE_SIGN_U,21,2100,"[820, 1320, 1820]",COMPLETE,2100,e440bc1d5233078a32c6adb5f56b295ed391de7a4c81139c99d9a66cc7c40aca,87bb70ee05609e77935b1bab5b9a44c9532dc491,01645b0f467837d81c6b6641b45ff107a9cfd0333bea6ab55b76c2db014a1233,3280,4200
O2_s72_SRC_CE,,72,O2,Drishti_GS,Drishti_GS,SRC_CE,21,2100,[],COMPLETE,2100,2d85ad9e4e8110a4d84cb609c34e50da76e7ce85b85fca8fa718c00f2e214efe,87bb70ee05609e77935b1bab5b9a44c9532dc491,,0,4200
O2_s72_F_CONV,O2_s72_SRC_CE,72,O2,Drishti_GS,RIM_ONE_r3,F_CONV,32,3200,[],COMPLETE,3200,bcfbfc4adc127ee3934911d8f6056ae9b5b61e528c80977aa8bb488697aaa926,87bb70ee05609e77935b1bab5b9a44c9532dc491,2d85ad9e4e8110a4d84cb609c34e50da76e7ce85b85fca8fa718c00f2e214efe,0,6400
O2_s72_DPR_FINITE_SIGN_U,O2_s72_SRC_CE,72,O2,Drishti_GS,RIM_ONE_r3,DPR_FINITE_SIGN_U,32,3200,"[1249, 1749, 2249, 2749]",COMPLETE,3200,255d385caa60c76b440f493300a0bc7843b61575f64ecc826f0ba662c29eb38f,87bb70ee05609e77935b1bab5b9a44c9532dc491,2d85ad9e4e8110a4d84cb609c34e50da76e7ce85b85fca8fa718c00f2e214efe,5040,6400
O1_s73_SRC_CE,,73,O1,RIM_ONE_r3,RIM_ONE_r3,SRC_CE,32,3200,[],COMPLETE,3200,3616fbcef787a94e34d5e76c6d357cf45f8ed0e104b7835744ec5395b4085f15,87bb70ee05609e77935b1bab5b9a44c9532dc491,,0,6400
O1_s73_F_CONV,O1_s73_SRC_CE,73,O1,RIM_ONE_r3,Drishti_GS,F_CONV,21,2100,[],COMPLETE,2100,4eec2960ef7419ffc3fa4f52ddcbc7b3a40dbe10328712d43fb8a0807d1d7bff,87bb70ee05609e77935b1bab5b9a44c9532dc491,3616fbcef787a94e34d5e76c6d357cf45f8ed0e104b7835744ec5395b4085f15,0,4200
O1_s73_DPR_FINITE_SIGN_U,O1_s73_SRC_CE,73,O1,RIM_ONE_r3,Drishti_GS,DPR_FINITE_SIGN_U,21,2100,"[820, 1320, 1820]",COMPLETE,2100,63a23925b146e0ef5881693d9148b972bfaeb07932cd4f96472cd3e578dd1af7,87bb70ee05609e77935b1bab5b9a44c9532dc491,3616fbcef787a94e34d5e76c6d357cf45f8ed0e104b7835744ec5395b4085f15,3280,4200
O2_s73_SRC_CE,,73,O2,Drishti_GS,Drishti_GS,SRC_CE,21,2100,[],COMPLETE,2100,fc0e79d00008ab5eb6d6cfb48ae735cb104451b18b026155c081e2b5c7c1d980,87bb70ee05609e77935b1bab5b9a44c9532dc491,,0,4200
O2_s73_F_CONV,O2_s73_SRC_CE,73,O2,Drishti_GS,RIM_ONE_r3,F_CONV,32,3200,[],COMPLETE,3200,fb7443b291dc45b4d764b909f14521b24ff39bb340009ce729abcdf5b135fe3d,87bb70ee05609e77935b1bab5b9a44c9532dc491,fc0e79d00008ab5eb6d6cfb48ae735cb104451b18b026155c081e2b5c7c1d980,0,6400
O2_s73_DPR_FINITE_SIGN_U,O2_s73_SRC_CE,73,O2,Drishti_GS,RIM_ONE_r3,DPR_FINITE_SIGN_U,32,3200,"[1249, 1749, 2249, 2749]",COMPLETE,3200,65d6613c21a00a66018e0e8f5bcc48ea69f894196383af206c9d712eaa9c5d91,87bb70ee05609e77935b1bab5b9a44c9532dc491,fc0e79d00008ab5eb6d6cfb48ae735cb104451b18b026155c081e2b5c7c1d980,5040,6400
