order,seed,arm,domain,role,background_dice,rim_dice,cup_dice,macro_fg_dice
O1,71,F_CONV,RIM_ONE_r3,old,0.9598671735974019,0.510774052352143,0.5818636649710934,0.5463188586616183
O1,71,F_CONV,Drishti_GS,current,0.9844879403113204,0.6730124082307666,0.5437672786430481,0.6083898434369073
O1,71,DPR_FINITE_SIGN_U,RIM_ONE_r3,old,0.9679834738649639,0.5372221171457292,0.5549111980850862,0.5460666576154075
O1,71,DPR_FINITE_SIGN_U,Drishti_GS,current,0.9854455244216276,0.6784449967636768,0.5528619733713529,0.6156534850675148
O2,71,F_CONV,RIM_ONE_r3,current,0.9880616671772524,0.7242846298395063,0.6696495362981978,0.6969670830688519
O2,71,F_CONV,Drishti_GS,old,0.9607125447498351,0.3602203432396348,0.5120362103663636,0.43612827680299915
O2,71,DPR_FINITE_SIGN_U,RIM_ONE_r3,current,0.9882476642925994,0.7249180433423278,0.6804886587980367,0.702703351070182
O2,71,DPR_FINITE_SIGN_U,Drishti_GS,old,0.9629306639298857,0.3833465896401795,0.5540416745157661,0.4686941320779729
O1,72,F_CONV,RIM_ONE_r3,old,0.9468498059045093,0.459619914018787,0.5380237092952531,0.4988218116570201
O1,72,F_CONV,Drishti_GS,current,0.9868802307088229,0.7269186991216514,0.7572242781425124,0.7420714886320817
O1,72,DPR_FINITE_SIGN_U,RIM_ONE_r3,old,0.9497584422781404,0.46176649771916356,0.5337078110447329,0.49773715438194815
O1,72,DPR_FINITE_SIGN_U,Drishti_GS,current,0.9865089752834882,0.722061542271919,0.7468804177150065,0.7344709799934628
O2,72,F_CONV,RIM_ONE_r3,current,0.9883170707140859,0.7283427755550618,0.6786018717480112,0.7034723236515366
O2,72,F_CONV,Drishti_GS,old,0.9622791152629957,0.36850763178715384,0.5180466226051845,0.44327712719616913
O2,72,DPR_FINITE_SIGN_U,RIM_ONE_r3,current,0.9889250719798246,0.7358448383820694,0.6990108128965005,0.717427825639285
O2,72,DPR_FINITE_SIGN_U,Drishti_GS,old,0.958940253956667,0.3373813481650071,0.5185114869748843,0.4279464175699459
O1,73,F_CONV,RIM_ONE_r3,old,0.9751817610458573,0.5464608882819663,0.5606282927184604,0.5535445905002132
O1,73,F_CONV,Drishti_GS,current,0.9891254387637847,0.7348014862377399,0.7505052001241467,0.7426533431809433
O1,73,DPR_FINITE_SIGN_U,RIM_ONE_r3,old,0.9756803257246951,0.565790308907895,0.5302286434967416,0.5480094762023185
O1,73,DPR_FINITE_SIGN_U,Drishti_GS,current,0.9881805123599879,0.7214131497965833,0.7407665295542443,0.7310898396754137
O2,73,F_CONV,RIM_ONE_r3,current,0.9886583399416663,0.7326111802723471,0.6683203774976717,0.7004657788850093
O2,73,F_CONV,Drishti_GS,old,0.9668410711912295,0.46442033347067657,0.488948103464773,0.4766842184677248
O2,73,DPR_FINITE_SIGN_U,RIM_ONE_r3,current,0.9891816764497194,0.7378633516506139,0.6733736558901251,0.7056185037703697
O2,73,DPR_FINITE_SIGN_U,Drishti_GS,old,0.9634002379431881,0.39373456699617937,0.5086131955707394,0.4511738812834594
