task_id,raw_response_RMS,corrected_response_RMS,before_loss,raw_loss_delta,corrected_loss_delta,first_order_raw,first_order_algebra_corrected,first_order_applied,scope,position,epoch,index
O1_s61_DPR_U,0.10319781820288433,0.10096470855374261,0.27608107915774227,-0.002709128155249152,-0.0031203917669700987,-0.023051087459174318,-0.023051087459174315,-0.023051089776136586,same current training tensors; descriptive only; no accept/reject or tuning,820,40,0
O1_s61_DPR_U,0.07553890075027907,0.07400736403753268,0.3893862522448479,-0.02552029789856375,-0.025537889550801107,-0.028418643675466607,-0.028418643675466603,-0.02841861480220994,same current training tensors; descriptive only; no accept/reject or tuning,1320,63,17
O1_s61_DPR_U,0.04152269023724069,0.03906735860872333,0.1612392027950687,-0.006575800817590016,-0.006558060884525152,-0.007140917478802975,-0.007140917478802975,-0.007140916361166052,same current training tensors; descriptive only; no accept/reject or tuning,1820,87,13
O1_s61_RESPONSE_U,0.08355033643255291,0.08123562236680824,0.2693171478803539,-0.007793882677260777,-0.008019427550394642,-0.03215745831984306,-0.03206199391757575,-0.0320619907136264,same current training tensors; descriptive only; no accept/reject or tuning,820,40,0
O1_s61_RESPONSE_U,0.07510188064476868,0.07490219210932102,0.3767112137441909,-0.021591139612169186,-0.022175972075949346,-0.02484723144199608,-0.02568531113399042,-0.02568533710523635,same current training tensors; descriptive only; no accept/reject or tuning,1320,63,17
O1_s61_RESPONSE_U,0.03903250851189934,0.03731416208582398,0.1673190293508227,-0.006435275419552577,-0.006554805351241477,-0.0068563460495226,-0.007004452893658364,-0.007004447373681262,same current training tensors; descriptive only; no accept/reject or tuning,1820,87,13
O1_s61_DPR_L,0.14622314549496548,0.14291715213750153,0.2832963521019006,-0.005359876059572943,-0.005504494541681615,-0.030260276545278093,-0.030260276545278093,-0.03026028075382843,same current training tensors; descriptive only; no accept/reject or tuning,820,40,0
O1_s61_DPR_L,0.087134250419218,0.08658954898393792,0.41224855662813553,-0.034991089520046814,-0.03499105533763042,-0.04038402179470216,-0.04038402179470216,-0.04038400180092667,same current training tensors; descriptive only; no accept/reject or tuning,1320,63,17
O1_s61_DPR_L,0.04889605062466933,0.04844988721276389,0.16543825761534448,-0.005969618953252209,-0.00597510600689688,-0.006369580396157517,-0.006369580396157516,-0.0063695764706753226,same current training tensors; descriptive only; no accept/reject or tuning,1820,87,13
O2_s61_DPR_U,0.10485062889913858,0.10429191726723885,0.3489361399765218,-0.023180548159137226,-0.023150204905708016,-0.028859572386497792,-0.02885957238649779,-0.028859559781935492,same current training tensors; descriptive only; no accept/reject or tuning,1249,40,0
O2_s61_DPR_U,0.07814561536228959,0.07352994526370288,0.21050866017248127,-0.00037678977882227294,-0.001068424952342717,-0.004525064446613636,-0.004525064446613637,-0.004525057820413394,same current training tensors; descriptive only; no accept/reject or tuning,1749,55,20
O2_s61_DPR_U,0.061888170103860836,0.050520194957241284,0.19734581769397436,-0.009441754612844633,-0.009509320032088764,-0.01036443929339884,-0.010364439293398841,-0.010364440626288222,same current training tensors; descriptive only; no accept/reject or tuning,2249,71,8
O2_s61_DPR_U,0.05392624674273126,0.05359371480112196,0.2922037784651582,-0.014433213929546052,-0.014415453212786589,-0.014979505661740009,-0.014979505661740009,-0.014979507837714092,same current training tensors; descriptive only; no accept/reject or tuning,2749,86,28
O2_s61_RESPONSE_U,0.11845615570007303,0.1166369138192327,0.3174755346316628,-0.01753004250040785,-0.017393125717306723,-0.024687798913675084,-0.02433732287366791,-0.024337349908415316,same current training tensors; descriptive only; no accept/reject or tuning,1249,40,0
