arm,baseline,order,seed,domain,role,metric,delta
DPR_U,F_CONV,O1,61,RIM_ONE_r3,old,rim_dice,-0.001385825167128707
DPR_U,F_CONV,O1,61,RIM_ONE_r3,old,cup_dice,-0.007264707451071772
DPR_U,F_CONV,O1,61,Drishti_GS,current,rim_dice,-0.012778961516649923
DPR_U,F_CONV,O1,61,Drishti_GS,current,cup_dice,-0.0033344568711710654
DPR_U,F_CONV,O1,62,RIM_ONE_r3,old,rim_dice,-0.009746967841354537
DPR_U,F_CONV,O1,62,RIM_ONE_r3,old,cup_dice,-0.01247285244526497
DPR_U,F_CONV,O1,62,Drishti_GS,current,rim_dice,0.003613777474472224
DPR_U,F_CONV,O1,62,Drishti_GS,current,cup_dice,-0.01085074695296473
DPR_U,F_CONV,O1,63,RIM_ONE_r3,old,rim_dice,0.012801460053545322
DPR_U,F_CONV,O1,63,RIM_ONE_r3,old,cup_dice,0.01190319327788325
DPR_U,F_CONV,O1,63,Drishti_GS,current,rim_dice,-0.007600299378524689
DPR_U,F_CONV,O1,63,Drishti_GS,current,cup_dice,-0.004046856553106326
DPR_U,F_CONV,O2,61,RIM_ONE_r3,current,rim_dice,0.0064555427614625405
DPR_U,F_CONV,O2,61,RIM_ONE_r3,current,cup_dice,0.009748484267320223
DPR_U,F_CONV,O2,61,Drishti_GS,old,rim_dice,-0.07236517566652323
DPR_U,F_CONV,O2,61,Drishti_GS,old,cup_dice,-0.019699388559668074
DPR_U,F_CONV,O2,62,RIM_ONE_r3,current,rim_dice,0.004934719184984782
DPR_U,F_CONV,O2,62,RIM_ONE_r3,current,cup_dice,0.010983310248378508
DPR_U,F_CONV,O2,62,Drishti_GS,old,rim_dice,0.034523747688397055
DPR_U,F_CONV,O2,62,Drishti_GS,old,cup_dice,0.06576214778038342
DPR_U,F_CONV,O2,63,RIM_ONE_r3,current,rim_dice,-0.012681221663032094
DPR_U,F_CONV,O2,63,RIM_ONE_r3,current,cup_dice,-0.03171193586254717
