arm,baseline,metric,scope,order,seed,delta,sample_SD
DPR_U,F_CONV,Final,seed_order,O1,61,-0.006190987751505284,
DPR_U,F_CONV,Final,seed_order,O1,62,-0.00736419744127792,
DPR_U,F_CONV,Final,seed_order,O1,63,0.003264374349949417,
DPR_U,F_CONV,Final,seed_order,O2,61,-0.018965134299352204,
DPR_U,F_CONV,Final,seed_order,O2,62,0.029050981225535843,
DPR_U,F_CONV,Final,seed_order,O2,63,0.0018191987858712233,
DPR_U,F_CONV,Final,seed_order_average,both,61,-0.012578061025428744,
DPR_U,F_CONV,Final,seed_order_average,both,62,0.010843391892128962,
DPR_U,F_CONV,Final,seed_order_average,both,63,0.00254178656791032,
DPR_U,F_CONV,Final,overall,both,,0.0002690391448701794,0.011874979992785032
DPR_U,F_CONV,Incoming,seed_order,O1,61,-0.008056709193910216,
DPR_U,F_CONV,Incoming,seed_order,O1,62,-0.003618484739246197,
DPR_U,F_CONV,Incoming,seed_order,O1,63,-0.005823577965815452,
DPR_U,F_CONV,Incoming,seed_order,O2,61,0.008102013514391437,
DPR_U,F_CONV,Incoming,seed_order,O2,62,0.0079590147166817,
DPR_U,F_CONV,Incoming,seed_order,O2,63,-0.022196578762789687,
DPR_U,F_CONV,Incoming,seed_order_average,both,61,2.2652160240610453e-05,
DPR_U,F_CONV,Incoming,seed_order_average,both,62,0.0021702649887177516,
DPR_U,F_CONV,Incoming,seed_order_average,both,63,-0.01401007836430257,
DPR_U,F_CONV,Incoming,overall,both,,-0.003939053738448069,0.008787617024892797
DPR_U,F_CONV,Old,seed_order,O1,61,-0.004325266309100462,
DPR_U,F_CONV,Old,seed_order,O1,62,-0.011109910143309754,
DPR_U,F_CONV,Old,seed_order,O1,63,0.012352326665714286,
DPR_U,F_CONV,Old,seed_order,O2,61,-0.046032282113095735,
DPR_U,F_CONV,Old,seed_order,O2,62,0.05014294773439015,
DPR_U,F_CONV,Old,seed_order,O2,63,0.025834976334532078,
DPR_U,F_CONV,Old,seed_order_average,both,61,-0.0251787742110981,
DPR_U,F_CONV,Old,seed_order_average,both,62,0.0195165187955402,
DPR_U,F_CONV,Old,seed_order_average,both,63,0.019093651500123182,
DPR_U,F_CONV,Old,overall,both,,0.004477132028188428,0.02568363847554311
DPR_U,F_CONV,Forget,seed_order,O1,61,0.004325266309100462,
DPR_U,F_CONV,Forget,seed_order,O1,62,0.011109910143309754,
DPR_U,F_CONV,Forget,seed_order,O1,63,-0.012352326665714286,
DPR_U,F_CONV,Forget,seed_order,O2,61,0.046032282113095735,
DPR_U,F_CONV,Forget,seed_order,O2,62,-0.05014294773439015,
DPR_U,F_CONV,Forget,seed_order,O2,63,-0.025834976334532078,
DPR_U,F_CONV,Forget,seed_order_average,both,61,0.0251787742110981,
DPR_U,F_CONV,Forget,seed_order_average,both,62,-0.0195165187955402,
DPR_U,F_CONV,Forget,seed_order_average,both,63,-0.019093651500123182,
DPR_U,F_CONV,Forget,overall,both,,-0.004477132028188428,0.02568363847554311
DPR_U,F_FULL,Final,seed_order,O1,61,0.00700426388450992,
DPR_U,F_FULL,Final,seed_order,O1,62,0.01473021716095635,
DPR_U,F_FULL,Final,seed_order,O1,63,-0.013248943826742243,
DPR_U,F_FULL,Final,seed_order,O2,61,-0.021530891090576043,
DPR_U,F_FULL,Final,seed_order,O2,62,0.038469940443306205,
DPR_U,F_FULL,Final,seed_order,O2,63,0.016594209861903186,
DPR_U,F_FULL,Final,seed_order_average,both,61,-0.007263313603033061,
DPR_U,F_FULL,Final,seed_order_average,both,62,0.026600078802131277,
DPR_U,F_FULL,Final,seed_order_average,both,63,0.0016726330175804716,
DPR_U,F_FULL,Final,overall,both,,0.007003132738892896,0.0175497295351159
DPR_U,F_FULL,Incoming,seed_order,O1,61,-0.009274974940865821,
DPR_U,F_FULL,Incoming,seed_order,O1,62,0.004348449496171747,
DPR_U,F_FULL,Incoming,seed_order,O1,63,-0.0056769027205116895,
DPR_U,F_FULL,Incoming,seed_order,O2,61,0.00391781956133519,
DPR_U,F_FULL,Incoming,seed_order,O2,62,0.01812173042282117,
DPR_U,F_FULL,Incoming,seed_order,O2,63,-0.025472377914219635,
DPR_U,F_FULL,Incoming,seed_order_average,both,61,-0.0026785776897653157,
DPR_U,F_FULL,Incoming,seed_order_average,both,62,0.011235089959496458,
DPR_U,F_FULL,Incoming,seed_order_average,both,63,-0.015574640317365662,
DPR_U,F_FULL,Incoming,overall,both,,-0.002339376015878173,0.013408083483898818
DPR_U,F_FULL,Old,seed_order,O1,61,0.02328350270988555,
DPR_U,F_FULL,Old,seed_order,O1,62,0.02511198482574095,
DPR_U,F_FULL,Old,seed_order,O1,63,-0.020820984932972797,
DPR_U,F_FULL,Old,seed_order,O2,61,-0.046979601742487276,
DPR_U,F_FULL,Old,seed_order,O2,62,0.05881815046379141,
DPR_U,F_FULL,Old,seed_order,O2,63,0.05866079763802584,
DPR_U,F_FULL,Old,seed_order_average,both,61,-0.011848049516300863,
DPR_U,F_FULL,Old,seed_order_average,both,62,0.04196506764476618,
DPR_U,F_FULL,Old,seed_order_average,both,63,0.018919906352526522,
DPR_U,F_FULL,Old,overall,both,,0.016345641493663948,0.026998759681147632
DPR_U,F_FULL,Forget,seed_order,O1,61,-0.02328350270988555,
DPR_U,F_FULL,Forget,seed_order,O1,62,-0.02511198482574095,
DPR_U,F_FULL,Forget,seed_order,O1,63,0.020820984932972797,
DPR_U,F_FULL,Forget,seed_order,O2,61,0.046979601742487276,
DPR_U,F_FULL,Forget,seed_order,O2,62,-0.05881815046379141,
DPR_U,F_FULL,Forget,seed_order,O2,63,-0.05866079763802584,
DPR_U,F_FULL,Forget,seed_order_average,both,61,0.011848049516300863,
DPR_U,F_FULL,Forget,seed_order_average,both,62,-0.04196506764476618,
DPR_U,F_FULL,Forget,seed_order_average,both,63,-0.018919906352526522,
DPR_U,F_FULL,Forget,overall,both,,-0.016345641493663948,0.026998759681147632
DPR_U,RESPONSE_U,Final,seed_order,O1,61,-0.003709715427643201,
DPR_U,RESPONSE_U,Final,seed_order,O1,62,0.0004920126250745893,
DPR_U,RESPONSE_U,Final,seed_order,O1,63,0.0029085458775898188,
DPR_U,RESPONSE_U,Final,seed_order,O2,61,-0.006370541445481104,
DPR_U,RESPONSE_U,Final,seed_order,O2,62,0.021161896148043424,
DPR_U,RESPONSE_U,Final,seed_order,O2,63,-0.0013291245215453218,
DPR_U,RESPONSE_U,Final,seed_order_average,both,61,-0.005040128436562152,
DPR_U,RESPONSE_U,Final,seed_order_average,both,62,0.010826954386559007,
DPR_U,RESPONSE_U,Final,seed_order_average,both,63,0.0007897106780222485,
DPR_U,RESPONSE_U,Final,overall,both,,0.0021921788760063676,0.008025974527352691
DPR_U,RESPONSE_U,Incoming,seed_order,O1,61,-0.007380494467617793,
DPR_U,RESPONSE_U,Incoming,seed_order,O1,62,0.0023640344179122197,
DPR_U,RESPONSE_U,Incoming,seed_order,O1,63,-0.004136697701375591,
DPR_U,RESPONSE_U,Incoming,seed_order,O2,61,0.0037331425317939093,
DPR_U,RESPONSE_U,Incoming,seed_order,O2,62,0.0019612638878010458,
DPR_U,RESPONSE_U,Incoming,seed_order,O2,63,-0.011652323221042815,
DPR_U,RESPONSE_U,Incoming,seed_order_average,both,61,-0.0018236759679119419,
DPR_U,RESPONSE_U,Incoming,seed_order_average,both,62,0.0021626491528566327,
DPR_U,RESPONSE_U,Incoming,seed_order_average,both,63,-0.007894510461209203,
DPR_U,RESPONSE_U,Incoming,overall,both,,-0.002518512425421504,0.005064455859489008
DPR_U,RESPONSE_U,Old,seed_order,O1,61,-3.893638766849783e-05,
DPR_U,RESPONSE_U,Old,seed_order,O1,62,-0.001380009167763041,
DPR_U,RESPONSE_U,Old,seed_order,O1,63,0.009953789456555229,
DPR_U,RESPONSE_U,Old,seed_order,O2,61,-0.01647422542275606,
DPR_U,RESPONSE_U,Old,seed_order,O2,62,0.040362528408285914,
DPR_U,RESPONSE_U,Old,seed_order,O2,63,0.00899407417795206,
DPR_U,RESPONSE_U,Old,seed_order_average,both,61,-0.00825658090521228,
DPR_U,RESPONSE_U,Old,seed_order_average,both,62,0.019491259620261436,
DPR_U,RESPONSE_U,Old,seed_order_average,both,63,0.009473931817253645,
DPR_U,RESPONSE_U,Old,overall,both,,0.006902870177434267,0.014051456576582848
DPR_U,RESPONSE_U,Forget,seed_order,O1,61,3.893638766849783e-05,
DPR_U,RESPONSE_U,Forget,seed_order,O1,62,0.001380009167763041,
DPR_U,RESPONSE_U,Forget,seed_order,O1,63,-0.009953789456555229,
DPR_U,RESPONSE_U,Forget,seed_order,O2,61,0.01647422542275606,
DPR_U,RESPONSE_U,Forget,seed_order,O2,62,-0.040362528408285914,
DPR_U,RESPONSE_U,Forget,seed_order,O2,63,-0.00899407417795206,
DPR_U,RESPONSE_U,Forget,seed_order_average,both,61,0.00825658090521228,
DPR_U,RESPONSE_U,Forget,seed_order_average,both,62,-0.019491259620261436,
DPR_U,RESPONSE_U,Forget,seed_order_average,both,63,-0.009473931817253645,
DPR_U,RESPONSE_U,Forget,overall,both,,-0.006902870177434267,0.014051456576582848
DPR_U,DPR_L,Final,seed_order,O1,61,-0.003044484978536377,
DPR_U,DPR_L,Final,seed_order,O1,62,-0.003974408885668357,
