family,candidate_id,hyperparameters,fixed
F1,F1_C01,"{""lambda_JML"": 0.25, ""lambda_U"": 0.25, ""rank_ratio"": 0.25}",{}
F1,F1_C02,"{""lambda_JML"": 1.0, ""lambda_U"": 0.25, ""rank_ratio"": 0.25}",{}
F1,F1_C03,"{""lambda_JML"": 0.25, ""lambda_U"": 1.0, ""rank_ratio"": 0.25}",{}
F1,F1_C04,"{""lambda_JML"": 1.0, ""lambda_U"": 1.0, ""rank_ratio"": 0.25}",{}
F1,F1_C05,"{""lambda_JML"": 0.25, ""lambda_U"": 0.25, ""rank_ratio"": 0.5}",{}
F1,F1_C06,"{""lambda_JML"": 1.0, ""lambda_U"": 0.25, ""rank_ratio"": 0.5}",{}
F1,F1_C07,"{""lambda_JML"": 0.25, ""lambda_U"": 1.0, ""rank_ratio"": 0.5}",{}
F1,F1_C08,"{""lambda_JML"": 1.0, ""lambda_U"": 1.0, ""rank_ratio"": 0.5}",{}
F2,F2_C01,"{""lambda_U"": 0.25, ""lambda_structure"": 0.1, ""probe_layers"": ""last_two_parent_adapters""}","{""direction_probe_L_batches"": 8, ""scale_calibration_L_batches"": 8}"
F2,F2_C02,"{""lambda_U"": 1.0, ""lambda_structure"": 0.1, ""probe_layers"": ""last_two_parent_adapters""}","{""direction_probe_L_batches"": 8, ""scale_calibration_L_batches"": 8}"
F2,F2_C03,"{""lambda_U"": 0.25, ""lambda_structure"": 0.1, ""probe_layers"": ""all_parent_adapters""}","{""direction_probe_L_batches"": 8, ""scale_calibration_L_batches"": 8}"
F2,F2_C04,"{""lambda_U"": 1.0, ""lambda_structure"": 0.1, ""probe_layers"": ""all_parent_adapters""}","{""direction_probe_L_batches"": 8, ""scale_calibration_L_batches"": 8}"
F2,F2_C05,"{""lambda_U"": 0.25, ""lambda_structure"": 1.0, ""probe_layers"": ""last_two_parent_adapters""}","{""direction_probe_L_batches"": 8, ""scale_calibration_L_batches"": 8}"
F2,F2_C06,"{""lambda_U"": 1.0, ""lambda_structure"": 1.0, ""probe_layers"": ""last_two_parent_adapters""}","{""direction_probe_L_batches"": 8, ""scale_calibration_L_batches"": 8}"
F2,F2_C07,"{""lambda_U"": 0.25, ""lambda_structure"": 1.0, ""probe_layers"": ""all_parent_adapters""}","{""direction_probe_L_batches"": 8, ""scale_calibration_L_batches"": 8}"
F2,F2_C08,"{""lambda_U"": 1.0, ""lambda_structure"": 1.0, ""probe_layers"": ""all_parent_adapters""}","{""direction_probe_L_batches"": 8, ""scale_calibration_L_batches"": 8}"
F3,F3_C01,"{""kappa"": 0.5, ""lambda_U"": 0.25, ""prototype_uncertainty_mix"": 0.0}","{""eligibility"": ""geometry_only_continuous_teacher_uncertainty_no_hard_PAS"", ""rank_ratio"": 0.5}"
F3,F3_C02,"{""kappa"": 0.5, ""lambda_U"": 0.25, ""prototype_uncertainty_mix"": 0.5}","{""eligibility"": ""geometry_only_continuous_teacher_uncertainty_no_hard_PAS"", ""rank_ratio"": 0.5}"
F3,F3_C03,"{""kappa"": 0.5, ""lambda_U"": 1.0, ""prototype_uncertainty_mix"": 0.0}","{""eligibility"": ""geometry_only_continuous_teacher_uncertainty_no_hard_PAS"", ""rank_ratio"": 0.5}"
F3,F3_C04,"{""kappa"": 0.5, ""lambda_U"": 1.0, ""prototype_uncertainty_mix"": 0.5}","{""eligibility"": ""geometry_only_continuous_teacher_uncertainty_no_hard_PAS"", ""rank_ratio"": 0.5}"
F3,F3_C05,"{""kappa"": 2.0, ""lambda_U"": 0.25, ""prototype_uncertainty_mix"": 0.0}","{""eligibility"": ""geometry_only_continuous_teacher_uncertainty_no_hard_PAS"", ""rank_ratio"": 0.5}"
F3,F3_C06,"{""kappa"": 2.0, ""lambda_U"": 0.25, ""prototype_uncertainty_mix"": 0.5}","{""eligibility"": ""geometry_only_continuous_teacher_uncertainty_no_hard_PAS"", ""rank_ratio"": 0.5}"
F3,F3_C07,"{""kappa"": 2.0, ""lambda_U"": 1.0, ""prototype_uncertainty_mix"": 0.0}","{""eligibility"": ""geometry_only_continuous_teacher_uncertainty_no_hard_PAS"", ""rank_ratio"": 0.5}"
F3,F3_C08,"{""kappa"": 2.0, ""lambda_U"": 1.0, ""prototype_uncertainty_mix"": 0.5}","{""eligibility"": ""geometry_only_continuous_teacher_uncertainty_no_hard_PAS"", ""rank_ratio"": 0.5}"
F4,F4_C01,"{""lambda_shape"": 0.1, ""rank_ratio"": 0.25, ""trust_fraction"": 0.05}","{""coordinate_grid"": [64, 64], ""inner_steps"": 3, ""l2_weight"": 0.1, ""lambda_U"": 0.5, ""normalized_step_size"": 0.05}"
F4,F4_C02,"{""lambda_shape"": 0.1, ""rank_ratio"": 0.25, ""trust_fraction"": 0.2}","{""coordinate_grid"": [64, 64], ""inner_steps"": 3, ""l2_weight"": 0.1, ""lambda_U"": 0.5, ""normalized_step_size"": 0.05}"
F4,F4_C03,"{""lambda_shape"": 1.0, ""rank_ratio"": 0.25, ""trust_fraction"": 0.05}","{""coordinate_grid"": [64, 64], ""inner_steps"": 3, ""l2_weight"": 0.1, ""lambda_U"": 0.5, ""normalized_step_size"": 0.05}"
F4,F4_C04,"{""lambda_shape"": 1.0, ""rank_ratio"": 0.25, ""trust_fraction"": 0.2}","{""coordinate_grid"": [64, 64], ""inner_steps"": 3, ""l2_weight"": 0.1, ""lambda_U"": 0.5, ""normalized_step_size"": 0.05}"
