phase,family,candidate_id,seed,order,sequence_id,stage,domain,parent_checkpoint,status,resolved
C_PARENT,PARENT,P0,161,1,C_PARENT__P0__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_PARENT,PARENT,P0,161,1,C_PARENT__P0__S161__O1,2,Drishti_GS,C_PARENT__P0__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_PARENT,PARENT,P0,161,2,C_PARENT__P0__S161__O2,1,Drishti_GS,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_PARENT,PARENT,P0,161,2,C_PARENT__P0__S161__O2,2,RIM_ONE_r3,C_PARENT__P0__S161__O2__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_PARENT,PARENT,P1,161,1,C_PARENT__P1__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_PARENT,PARENT,P1,161,1,C_PARENT__P1__S161__O1,2,Drishti_GS,C_PARENT__P1__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_PARENT,PARENT,P1,161,2,C_PARENT__P1__S161__O2,1,Drishti_GS,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_PARENT,PARENT,P1,161,2,C_PARENT__P1__S161__O2,2,RIM_ONE_r3,C_PARENT__P1__S161__O2__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_PARENT,PARENT,P2,161,1,C_PARENT__P2__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_PARENT,PARENT,P2,161,1,C_PARENT__P2__S161__O1,2,Drishti_GS,C_PARENT__P2__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_PARENT,PARENT,P2,161,2,C_PARENT__P2__S161__O2,1,Drishti_GS,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_PARENT,PARENT,P2,161,2,C_PARENT__P2__S161__O2,2,RIM_ONE_r3,C_PARENT__P2__S161__O2__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_PARENT,PARENT,P3,161,1,C_PARENT__P3__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_PARENT,PARENT,P3,161,1,C_PARENT__P3__S161__O1,2,Drishti_GS,C_PARENT__P3__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_PARENT,PARENT,P3,161,2,C_PARENT__P3__S161__O2,1,Drishti_GS,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_PARENT,PARENT,P3,161,2,C_PARENT__P3__S161__O2,2,RIM_ONE_r3,C_PARENT__P3__S161__O2__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C01,161,1,C_SHARED__B1_PARENT_CONF_KL_C01__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C01,161,1,C_SHARED__B1_PARENT_CONF_KL_C01__S161__O1,2,Drishti_GS,C_SHARED__B1_PARENT_CONF_KL_C01__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C01,161,2,C_SHARED__B1_PARENT_CONF_KL_C01__S161__O2,1,Drishti_GS,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C01,161,2,C_SHARED__B1_PARENT_CONF_KL_C01__S161__O2,2,RIM_ONE_r3,C_SHARED__B1_PARENT_CONF_KL_C01__S161__O2__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C02,161,1,C_SHARED__B1_PARENT_CONF_KL_C02__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C02,161,1,C_SHARED__B1_PARENT_CONF_KL_C02__S161__O1,2,Drishti_GS,C_SHARED__B1_PARENT_CONF_KL_C02__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C02,161,2,C_SHARED__B1_PARENT_CONF_KL_C02__S161__O2,1,Drishti_GS,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C02,161,2,C_SHARED__B1_PARENT_CONF_KL_C02__S161__O2,2,RIM_ONE_r3,C_SHARED__B1_PARENT_CONF_KL_C02__S161__O2__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C03,161,1,C_SHARED__B1_PARENT_CONF_KL_C03__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C03,161,1,C_SHARED__B1_PARENT_CONF_KL_C03__S161__O1,2,Drishti_GS,C_SHARED__B1_PARENT_CONF_KL_C03__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C03,161,2,C_SHARED__B1_PARENT_CONF_KL_C03__S161__O2,1,Drishti_GS,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C03,161,2,C_SHARED__B1_PARENT_CONF_KL_C03__S161__O2,2,RIM_ONE_r3,C_SHARED__B1_PARENT_CONF_KL_C03__S161__O2__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C04,161,1,C_SHARED__B1_PARENT_CONF_KL_C04__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C04,161,1,C_SHARED__B1_PARENT_CONF_KL_C04__S161__O1,2,Drishti_GS,C_SHARED__B1_PARENT_CONF_KL_C04__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C04,161,2,C_SHARED__B1_PARENT_CONF_KL_C04__S161__O2,1,Drishti_GS,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C04,161,2,C_SHARED__B1_PARENT_CONF_KL_C04__S161__O2,2,RIM_ONE_r3,C_SHARED__B1_PARENT_CONF_KL_C04__S161__O2__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C05,161,1,C_SHARED__B1_PARENT_CONF_KL_C05__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C05,161,1,C_SHARED__B1_PARENT_CONF_KL_C05__S161__O1,2,Drishti_GS,C_SHARED__B1_PARENT_CONF_KL_C05__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C05,161,2,C_SHARED__B1_PARENT_CONF_KL_C05__S161__O2,1,Drishti_GS,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C05,161,2,C_SHARED__B1_PARENT_CONF_KL_C05__S161__O2,2,RIM_ONE_r3,C_SHARED__B1_PARENT_CONF_KL_C05__S161__O2__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C06,161,1,C_SHARED__B1_PARENT_CONF_KL_C06__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C06,161,1,C_SHARED__B1_PARENT_CONF_KL_C06__S161__O1,2,Drishti_GS,C_SHARED__B1_PARENT_CONF_KL_C06__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C06,161,2,C_SHARED__B1_PARENT_CONF_KL_C06__S161__O2,1,Drishti_GS,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C06,161,2,C_SHARED__B1_PARENT_CONF_KL_C06__S161__O2,2,RIM_ONE_r3,C_SHARED__B1_PARENT_CONF_KL_C06__S161__O2__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C07,161,1,C_SHARED__B1_PARENT_CONF_KL_C07__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C07,161,1,C_SHARED__B1_PARENT_CONF_KL_C07__S161__O1,2,Drishti_GS,C_SHARED__B1_PARENT_CONF_KL_C07__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
