pair,Final,Old,Incoming,Forget,order1_Final_delta,order2_Final_delta
F1__vs__B0_PARENT_LCTX,-0.01695713211605754,-0.025383376446527217,-0.00010464345511840278,0.03347480208126527,-0.013050276598713495,-0.020863987633401693
F1__vs__B3_PARENT_LCTX_DENSEG,-0.00656682472726966,-0.014997959960954432,0.010295445740099995,0.021584446904597016,-0.014109316925043802,0.0009756674705044821
F1__vs__B4_PARENT_PAS_KL_DENSEG_JOINT,-0.007582106407927558,-0.010563714228400634,-0.0016188907669811847,0.02156589812180229,-0.009616135456105734,-0.0055480773597493815
F2__vs__B0_PARENT_LCTX,-0.008220538660065668,-0.016815904192103548,0.008970192404009758,0.016373762504309053,-0.042400138177902,0.025959060857770666
F2__vs__B3_PARENT_LCTX_DENSEG,0.00216976872872221,-0.006430487706530763,0.019370281599228156,0.004483407327640798,-0.04345917850423231,0.04779871596167684
F2__vs__B4_PARENT_PAS_KL_DENSEG_JOINT,0.0011544870480643121,-0.0019962419739769643,0.007455945092146976,0.004464858544846073,-0.03896599703529424,0.04127497113142298
F3__vs__B0_PARENT_LCTX,0.002049552025771728,0.0011446299762860601,0.003859396124743064,0.002607542953190739,0.006954754569084343,-0.0028556505175407754
F3__vs__B3_PARENT_LCTX_DENSEG,0.012439859414559606,0.011530046461858845,0.014259485319961462,-0.009282812223477516,0.0058957142427540354,0.0189840045863654
F3__vs__B4_PARENT_PAS_KL_DENSEG_JOINT,0.011424577733901708,0.015964292194412644,0.002345148812880282,-0.00930136100627224,0.010388895711692103,0.012460259756111536
F4__vs__B0_PARENT_LCTX,-0.009186962702787849,-0.018638242009227368,0.00971559591009119,0.02133448476648897,-0.024351248105726753,0.005977322700151166
F4__vs__B3_PARENT_LCTX_DENSEG,0.0012033446860000296,-0.008252825523654583,0.02011568510530959,0.009444129589820716,-0.02541028843205706,0.02781697780405734
F4__vs__B4_PARENT_PAS_KL_DENSEG_JOINT,0.00018806300534213172,-0.0038185797911007846,0.008201348598228408,0.00942558080702599,-0.020917106963118992,0.021293232973803478
F5__vs__B0_PARENT_LCTX,0.013952836274276681,0.012724751403854095,0.01640900601512163,-0.011313515235610222,0.022113262118430344,0.005792410430123018
F5__vs__B3_PARENT_LCTX_DENSEG,0.02434314366306456,0.02311016788942688,0.026809095210340028,-0.023203870412278477,0.021054221792100036,0.027632065534029193
F5__vs__B4_PARENT_PAS_KL_DENSEG_JOINT,0.02332786198240666,0.02754441362198068,0.014894758703258848,-0.023222419195073202,0.025547403261038104,0.02110832070377533
