node_id,phase,family,candidate_id,seed,order,stage,domain,status,optimizer_updates,worker_seconds,Final,Old,Incoming,Forget
C__B1_PARENT_CONF_KL_C01__S161__O1__STAGE1,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C01,161,1,1,RIM_ONE_r3,SEALED,3200,4235.913340091705,,,,
C__B1_PARENT_CONF_KL_C01__S161__O1__STAGE2,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C01,161,1,2,Drishti_GS,SEALED,2100,2784.0986046791077,0.6634249601851053,0.6585138160648217,0.6732472484256726,0.09895709419781329
C__B1_PARENT_CONF_KL_C01__S161__O2__STAGE1,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C01,161,2,1,Drishti_GS,SEALED,2100,559.907280921936,,,,
C__B1_PARENT_CONF_KL_C01__S161__O2__STAGE2,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C01,161,2,2,RIM_ONE_r3,SEALED,3200,1443.7735178470612,0.6321653938630278,0.6083974175903762,0.679701346408331,0.1579055558485215
C__B1_PARENT_CONF_KL_C02__S161__O1__STAGE1,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C02,161,1,1,RIM_ONE_r3,SEALED,3200,983.0160183906555,,,,
C__B1_PARENT_CONF_KL_C02__S161__O1__STAGE2,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C02,161,1,2,Drishti_GS,SEALED,2100,1014.0447707176208,0.6383831571963879,0.6015144335747633,0.7121206044396371,0.16406924961494068
C__B1_PARENT_CONF_KL_C02__S161__O2__STAGE1,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C02,161,2,1,Drishti_GS,SEALED,2100,1034.39151096344,,,,
C__B1_PARENT_CONF_KL_C02__S161__O2__STAGE2,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C02,161,2,2,RIM_ONE_r3,SEALED,3200,1510.4265160560608,0.5628071088685392,0.5001535124843751,0.6881143016368674,0.27100186173407703
C__B1_PARENT_CONF_KL_C03__S161__O1__STAGE1,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C03,161,1,1,RIM_ONE_r3,SEALED,3200,1564.5742502212524,,,,
C__B1_PARENT_CONF_KL_C03__S161__O1__STAGE2,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C03,161,1,2,Drishti_GS,SEALED,2100,1047.9759073257446,0.6247281674350315,0.5639332656414016,0.7463179710222911,0.18064841900254053
C__B1_PARENT_CONF_KL_C03__S161__O2__STAGE1,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C03,161,2,1,Drishti_GS,SEALED,2100,1006.5224857330322,,,,
C__B1_PARENT_CONF_KL_C03__S161__O2__STAGE2,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C03,161,2,2,RIM_ONE_r3,SEALED,3200,1531.7576549053192,0.6116951388139302,0.5633882727520796,0.7083088709376315,0.20057677202764762
C__B1_PARENT_CONF_KL_C04__S161__O1__STAGE1,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C04,161,1,1,RIM_ONE_r3,SEALED,3200,1502.205199956894,,,,
C__B1_PARENT_CONF_KL_C04__S161__O1__STAGE2,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C04,161,1,2,Drishti_GS,SEALED,2100,1028.0696773529053,0.6308538871504847,0.5746602117757669,0.7432412378999205,0.1701012079368247
C__B1_PARENT_CONF_KL_C04__S161__O2__STAGE1,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C04,161,2,1,Drishti_GS,SEALED,2100,2780.9049937725067,,,,
C__B1_PARENT_CONF_KL_C04__S161__O2__STAGE2,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C04,161,2,2,RIM_ONE_r3,SEALED,3200,1359.5453164577484,0.6058733731123728,0.5442830498876599,0.7290540195617985,0.2196053081389526
C__B1_PARENT_CONF_KL_C05__S161__O1__STAGE1,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C05,161,1,1,RIM_ONE_r3,SEALED,3200,1540.2853999137878,,,,
C__B1_PARENT_CONF_KL_C05__S161__O1__STAGE2,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C05,161,1,2,Drishti_GS,SEALED,2100,1009.9247422218323,0.6858471308650905,0.68022072226521,0.6970999480648516,0.07599271663802276
C__B1_PARENT_CONF_KL_C05__S161__O2__STAGE1,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C05,161,2,1,Drishti_GS,SEALED,2100,1030.378460407257,,,,
C__B1_PARENT_CONF_KL_C05__S161__O2__STAGE2,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C05,161,2,2,RIM_ONE_r3,SEALED,3200,1561.6259903907776,0.623380362793042,0.6045407798790022,0.6610595286211214,0.1634350665457932
C__B1_PARENT_CONF_KL_C06__S161__O1__STAGE1,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C06,161,1,1,RIM_ONE_r3,SEALED,3200,1504.2977328300476,,,,
C__B1_PARENT_CONF_KL_C06__S161__O1__STAGE2,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C06,161,1,2,Drishti_GS,SEALED,2100,986.042573928833,0.6654350188031145,0.6408966884039506,0.7145116796014424,0.12159005032011527
