id,kind,phase,family,candidate_id,seed,order,sequence_id,stage,domain,dependencies,parent_checkpoint,resolved,status,updates
C__P0__S161__O1__STAGE1,target_stage,C,PARENT,P0,161,1,C__P0__S161__O1,1,RIM_ONE_r3,"[""SOURCE_S161""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__P0__S161__O1__STAGE2,target_stage,C,PARENT,P0,161,1,C__P0__S161__O1,2,Drishti_GS,"[""C__P0__S161__O1__STAGE1""]",C__P0__S161__O1__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__P0__S161__O2__STAGE1,target_stage,C,PARENT,P0,161,2,C__P0__S161__O2,1,Drishti_GS,"[""SOURCE_S161""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__P0__S161__O2__STAGE2,target_stage,C,PARENT,P0,161,2,C__P0__S161__O2,2,RIM_ONE_r3,"[""C__P0__S161__O2__STAGE1""]",C__P0__S161__O2__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__P1__S161__O1__STAGE1,target_stage,C,PARENT,P1,161,1,C__P1__S161__O1,1,RIM_ONE_r3,"[""SOURCE_S161""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__P1__S161__O1__STAGE2,target_stage,C,PARENT,P1,161,1,C__P1__S161__O1,2,Drishti_GS,"[""C__P1__S161__O1__STAGE1""]",C__P1__S161__O1__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__P1__S161__O2__STAGE1,target_stage,C,PARENT,P1,161,2,C__P1__S161__O2,1,Drishti_GS,"[""SOURCE_S161""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__P1__S161__O2__STAGE2,target_stage,C,PARENT,P1,161,2,C__P1__S161__O2,2,RIM_ONE_r3,"[""C__P1__S161__O2__STAGE1""]",C__P1__S161__O2__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__P2__S161__O1__STAGE1,target_stage,C,PARENT,P2,161,1,C__P2__S161__O1,1,RIM_ONE_r3,"[""SOURCE_S161""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__P2__S161__O1__STAGE2,target_stage,C,PARENT,P2,161,1,C__P2__S161__O1,2,Drishti_GS,"[""C__P2__S161__O1__STAGE1""]",C__P2__S161__O1__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__P2__S161__O2__STAGE1,target_stage,C,PARENT,P2,161,2,C__P2__S161__O2,1,Drishti_GS,"[""SOURCE_S161""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__P2__S161__O2__STAGE2,target_stage,C,PARENT,P2,161,2,C__P2__S161__O2,2,RIM_ONE_r3,"[""C__P2__S161__O2__STAGE1""]",C__P2__S161__O2__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__P3__S161__O1__STAGE1,target_stage,C,PARENT,P3,161,1,C__P3__S161__O1,1,RIM_ONE_r3,"[""SOURCE_S161""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__P3__S161__O1__STAGE2,target_stage,C,PARENT,P3,161,1,C__P3__S161__O1,2,Drishti_GS,"[""C__P3__S161__O1__STAGE1""]",C__P3__S161__O1__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__P3__S161__O2__STAGE1,target_stage,C,PARENT,P3,161,2,C__P3__S161__O2,1,Drishti_GS,"[""SOURCE_S161""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__P3__S161__O2__STAGE2,target_stage,C,PARENT,P3,161,2,C__P3__S161__O2,2,RIM_ONE_r3,"[""C__P3__S161__O2__STAGE1""]",C__P3__S161__O2__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C01__S161__O1__STAGE1,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C01,161,1,C__B1_PARENT_CONF_KL_C01__S161__O1,1,RIM_ONE_r3,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C01__S161__O1__STAGE2,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C01,161,1,C__B1_PARENT_CONF_KL_C01__S161__O1,2,Drishti_GS,"[""C__B1_PARENT_CONF_KL_C01__S161__O1__STAGE1"", ""SELECT_PARENT""]",C__B1_PARENT_CONF_KL_C01__S161__O1__STAGE1,False,PLANNED_NOT_LAUNCHED,
