optimization_seed,data_split_seed,arm,stage,domain,domain_index,macro_fg_dice,rim_dice,cup_dice,background_dice,mean_iou,cases,evaluable_cases,evaluable_macro_fg_dice,empty_support_evidence
0,0,S,1,REFUGE,0,0.6887763298572939,0.6245766329158066,0.7529760267987815,,,,,,
0,0,S,1,RIM_ONE_r3,1,0.7031643919326337,0.7320408176355061,0.6742879662297613,,,,,,
0,0,S,2,REFUGE,0,0.626997488669679,0.6411072101017933,0.6128877672375647,,,,,,
0,0,S,2,RIM_ONE_r3,1,0.42434014745301984,0.3373755324563426,0.5113047624496971,,,,,,
0,0,S,2,Drishti_GS,2,0.7065339082127194,0.6673525185172486,0.7457152979081902,,,,,,
0,0,A,1,REFUGE,0,0.6705984955421763,0.6115269100921236,0.7296700809922292,,,,,,
0,0,A,1,RIM_ONE_r3,1,0.7036639611688122,0.7343202497957215,0.673007672541903,,,,,,
0,0,A,2,REFUGE,0,0.6455028234870172,0.6416057767133144,0.6493998702607202,,,,,,
0,0,A,2,RIM_ONE_r3,1,0.36058955924137803,0.2600684221619838,0.46111069632077245,,,,,,
0,0,A,2,Drishti_GS,2,0.7149195168797877,0.6680487771118456,0.7617902566477299,,,,,,
0,0,B,1,REFUGE,0,0.7190779836816459,0.6751457220446262,0.7630102453186653,,,,,,
0,0,B,1,RIM_ONE_r3,1,0.7077339758804799,0.7450409530616782,0.6704269986992815,,,,,,
0,0,B,2,REFUGE,0,0.5609837034466277,0.4379446963958897,0.6840227104973658,,,,,,
0,0,B,2,RIM_ONE_r3,1,0.2737680975786308,0.10765941456084833,0.4398767805964132,,,,,,
0,0,B,2,Drishti_GS,2,0.676438260891418,0.6061088177343491,0.7467677040484868,,,,,,
0,0,C,1,REFUGE,0,0.7986835628495202,0.7762097463786047,0.8211573793204362,,,,,,
0,0,C,1,RIM_ONE_r3,1,0.7023567468362548,0.7207795492509244,0.6839339444215856,,,,,,
0,0,C,2,REFUGE,0,0.7999492656412633,0.7906764980439346,0.8092220332385922,,,,,,
0,0,C,2,RIM_ONE_r3,1,0.6949278175688847,0.7111036974587795,0.6787519376789898,,,,,,
0,0,C,2,Drishti_GS,2,0.5576754427247295,0.5386063570905775,0.5767445283588813,,,,,,
