scope,optimization_seed,arm,reference,stage,domain,domain_index,metric,difference
all_seen,0,L05,S,1,REFUGE,0,cup_dice,-0.04352767841968941
incremental_current,0,L05,S,1,RIM_ONE_r3,1,rim_dice,0.00631823615919791
all_seen,1,L05,S,1,REFUGE,0,rim_dice,-0.03883463471101212
incremental_current,1,L05,S,1,RIM_ONE_r3,1,rim_dice,0.00013857260329486198
all_seen,2,L05,S,2,RIM_ONE_r3,1,rim_dice,-0.10255534044920644
incremental_current,2,L05,S,1,RIM_ONE_r3,1,rim_dice,0.00011804202294651844
all_seen,0,L05_SSL,S,2,REFUGE,0,rim_dice,-0.07412254979428856
incremental_current,0,L05_SSL,S,2,Drishti_GS,2,rim_dice,-0.013874330208551666
all_seen,0,L05_SSL,L05,2,RIM_ONE_r3,1,rim_dice,-0.1401977975595416
incremental_current,0,L05_SSL,L05,2,Drishti_GS,2,rim_dice,-0.04077754138837009
