task_id,source_task_id,seed,order,source_domain,domain,arm,budget,steps_per_epoch,updates,actual_diagnostic_positions
O1_s71_C_CE,O1_s71_SRC_CE,71,O1,RIM_ONE_r3,Drishti_GS,C_CE,standard,21,2100,[]
O2_s71_C_CE,O2_s71_SRC_CE,71,O2,Drishti_GS,RIM_ONE_r3,C_CE,standard,32,3200,[]
O1_s72_C_CE,O1_s72_SRC_CE,72,O1,RIM_ONE_r3,Drishti_GS,C_CE,standard,21,2100,[]
O2_s72_C_CE,O2_s72_SRC_CE,72,O2,Drishti_GS,RIM_ONE_r3,C_CE,standard,32,3200,[]
O1_s73_C_CE,O1_s73_SRC_CE,73,O1,RIM_ONE_r3,Drishti_GS,C_CE,standard,21,2100,[]
O2_s73_C_CE,O2_s73_SRC_CE,73,O2,Drishti_GS,RIM_ONE_r3,C_CE,standard,32,3200,[]
O1_s71_C_CED,O1_s71_SRC_CE,71,O1,RIM_ONE_r3,Drishti_GS,C_CED,standard,21,2100,[]
O2_s71_C_CED,O2_s71_SRC_CE,71,O2,Drishti_GS,RIM_ONE_r3,C_CED,standard,32,3200,[]
O1_s72_C_CED,O1_s72_SRC_CE,72,O1,RIM_ONE_r3,Drishti_GS,C_CED,standard,21,2100,[]
O2_s72_C_CED,O2_s72_SRC_CE,72,O2,Drishti_GS,RIM_ONE_r3,C_CED,standard,32,3200,[]
O1_s73_C_CED,O1_s73_SRC_CE,73,O1,RIM_ONE_r3,Drishti_GS,C_CED,standard,21,2100,[]
O2_s73_C_CED,O2_s73_SRC_CE,73,O2,Drishti_GS,RIM_ONE_r3,C_CED,standard,32,3200,[]
O1_s71_C_FULLMIX,O1_s71_SRC_CE,71,O1,RIM_ONE_r3,Drishti_GS,C_FULLMIX,standard,21,2100,[]
O2_s71_C_FULLMIX,O2_s71_SRC_CE,71,O2,Drishti_GS,RIM_ONE_r3,C_FULLMIX,standard,32,3200,[]
O1_s72_C_FULLMIX,O1_s72_SRC_CE,72,O1,RIM_ONE_r3,Drishti_GS,C_FULLMIX,standard,21,2100,[]
O2_s72_C_FULLMIX,O2_s72_SRC_CE,72,O2,Drishti_GS,RIM_ONE_r3,C_FULLMIX,standard,32,3200,[]
O1_s73_C_FULLMIX,O1_s73_SRC_CE,73,O1,RIM_ONE_r3,Drishti_GS,C_FULLMIX,standard,21,2100,[]
O2_s73_C_FULLMIX,O2_s73_SRC_CE,73,O2,Drishti_GS,RIM_ONE_r3,C_FULLMIX,standard,32,3200,[]
O1_s71_C_LCTX_LOW,O1_s71_SRC_CE,71,O1,RIM_ONE_r3,Drishti_GS,C_LCTX_LOW,low,21,2100,[]
O2_s71_C_LCTX_LOW,O2_s71_SRC_CE,71,O2,Drishti_GS,RIM_ONE_r3,C_LCTX_LOW,low,32,3200,[]
O1_s72_C_LCTX_LOW,O1_s72_SRC_CE,72,O1,RIM_ONE_r3,Drishti_GS,C_LCTX_LOW,low,21,2100,[]
O2_s72_C_LCTX_LOW,O2_s72_SRC_CE,72,O2,Drishti_GS,RIM_ONE_r3,C_LCTX_LOW,low,32,3200,[]
O1_s73_C_LCTX_LOW,O1_s73_SRC_CE,73,O1,RIM_ONE_r3,Drishti_GS,C_LCTX_LOW,low,21,2100,[]
O2_s73_C_LCTX_LOW,O2_s73_SRC_CE,73,O2,Drishti_GS,RIM_ONE_r3,C_LCTX_LOW,low,32,3200,[]
O1_s71_C_FULLMIX_LOW,O1_s71_SRC_CE,71,O1,RIM_ONE_r3,Drishti_GS,C_FULLMIX_LOW,low,21,2100,[]
O2_s71_C_FULLMIX_LOW,O2_s71_SRC_CE,71,O2,Drishti_GS,RIM_ONE_r3,C_FULLMIX_LOW,low,32,3200,[]
O1_s72_C_FULLMIX_LOW,O1_s72_SRC_CE,72,O1,RIM_ONE_r3,Drishti_GS,C_FULLMIX_LOW,low,21,2100,[]
O2_s72_C_FULLMIX_LOW,O2_s72_SRC_CE,72,O2,Drishti_GS,RIM_ONE_r3,C_FULLMIX_LOW,low,32,3200,[]
O1_s73_C_FULLMIX_LOW,O1_s73_SRC_CE,73,O1,RIM_ONE_r3,Drishti_GS,C_FULLMIX_LOW,low,21,2100,[]
O2_s73_C_FULLMIX_LOW,O2_s73_SRC_CE,73,O2,Drishti_GS,RIM_ONE_r3,C_FULLMIX_LOW,low,32,3200,[]
