seed,order,arm,baseline,domain,role,metric,delta
61,O1,LR_SRC_A,F_FULL,RIM_ONE_r3,old,rim_dice,0.03318881519774941
61,O1,LR_SRC_A,F_FULL,RIM_ONE_r3,old,cup_dice,0.040601035411718334
61,O1,LR_SRC_A,F_FULL,Drishti_GS,current,rim_dice,0.025330361261920675
61,O1,LR_SRC_A,F_FULL,Drishti_GS,current,cup_dice,6.353917371249018e-06
61,O1,LR_SRC_A,F_CONV,RIM_ONE_r3,old,rim_dice,0.028549901108089415
61,O1,LR_SRC_A,F_CONV,RIM_ONE_r3,old,cup_dice,-0.009977588536593474
61,O1,LR_SRC_A,F_CONV,Drishti_GS,current,rim_dice,0.015511230129512388
61,O1,LR_SRC_A,F_CONV,Drishti_GS,current,cup_dice,0.012262016543690413
61,O1,LR_SRC_A,LR_FREE,RIM_ONE_r3,old,rim_dice,0.011812786163517774
61,O1,LR_SRC_A,LR_FREE,RIM_ONE_r3,old,cup_dice,0.0006342553118625638
61,O1,LR_SRC_A,LR_FREE,Drishti_GS,current,rim_dice,0.008093001700130498
61,O1,LR_SRC_A,LR_FREE,Drishti_GS,current,cup_dice,0.01839078642651515
61,O1,LR_SRC_A,LR_RAND,RIM_ONE_r3,old,rim_dice,0.03148266725712767
61,O1,LR_SRC_A,LR_RAND,RIM_ONE_r3,old,cup_dice,0.03047554591700985
61,O1,LR_SRC_A,LR_RAND,Drishti_GS,current,rim_dice,0.028728805002593116
61,O1,LR_SRC_A,LR_RAND,Drishti_GS,current,cup_dice,0.022295709091089466
61,O1,LR_SRC_A,LR_SRC_AB,RIM_ONE_r3,old,rim_dice,0.06756565738692266
61,O1,LR_SRC_A,LR_SRC_AB,RIM_ONE_r3,old,cup_dice,0.054086791720138194
61,O1,LR_SRC_A,LR_SRC_AB,Drishti_GS,current,rim_dice,0.05697936823392613
61,O1,LR_SRC_A,LR_SRC_AB,Drishti_GS,current,cup_dice,0.01135181485243808
61,O2,LR_SRC_A,F_FULL,Drishti_GS,old,rim_dice,0.023634366513501592
61,O2,LR_SRC_A,F_FULL,Drishti_GS,old,cup_dice,-0.02594171270564044
61,O2,LR_SRC_A,F_FULL,RIM_ONE_r3,current,rim_dice,-0.006280675792521229
61,O2,LR_SRC_A,F_FULL,RIM_ONE_r3,current,cup_dice,-0.013526088176001205
61,O2,LR_SRC_A,F_CONV,Drishti_GS,old,rim_dice,0.011112918580796605
61,O2,LR_SRC_A,F_CONV,Drishti_GS,old,cup_dice,-0.011525625514152149
61,O2,LR_SRC_A,F_CONV,RIM_ONE_r3,current,rim_dice,0.006488097622563194
61,O2,LR_SRC_A,F_CONV,RIM_ONE_r3,current,cup_dice,-0.017926473684973576
61,O2,LR_SRC_A,LR_FREE,Drishti_GS,old,rim_dice,0.025045465417690982
61,O2,LR_SRC_A,LR_FREE,Drishti_GS,old,cup_dice,-0.00951326567753491
61,O2,LR_SRC_A,LR_FREE,RIM_ONE_r3,current,rim_dice,0.042852167367311345
61,O2,LR_SRC_A,LR_FREE,RIM_ONE_r3,current,cup_dice,-0.005933405916199508
61,O2,LR_SRC_A,LR_RAND,Drishti_GS,old,rim_dice,0.05356035155492983
61,O2,LR_SRC_A,LR_RAND,Drishti_GS,old,cup_dice,-0.06875783410804343
61,O2,LR_SRC_A,LR_RAND,RIM_ONE_r3,current,rim_dice,0.02394854738324148
61,O2,LR_SRC_A,LR_RAND,RIM_ONE_r3,current,cup_dice,-0.024602388513655926
61,O2,LR_SRC_A,LR_SRC_AB,Drishti_GS,old,rim_dice,0.13698969743970318
61,O2,LR_SRC_A,LR_SRC_AB,Drishti_GS,old,cup_dice,-0.03743485462819368
61,O2,LR_SRC_A,LR_SRC_AB,RIM_ONE_r3,current,rim_dice,0.07153628600159834
61,O2,LR_SRC_A,LR_SRC_AB,RIM_ONE_r3,current,cup_dice,0.03407816909930084
62,O1,LR_SRC_A,F_FULL,RIM_ONE_r3,old,rim_dice,-0.07731558745756356
62,O1,LR_SRC_A,F_FULL,RIM_ONE_r3,old,cup_dice,-0.03359348295828313
62,O1,LR_SRC_A,F_FULL,Drishti_GS,current,rim_dice,0.04510973650900929
62,O1,LR_SRC_A,F_FULL,Drishti_GS,current,cup_dice,0.003984155269926903
62,O1,LR_SRC_A,F_CONV,RIM_ONE_r3,old,rim_dice,-0.1294497251598135
62,O1,LR_SRC_A,F_CONV,RIM_ONE_r3,old,cup_dice,-0.05390313519413448
62,O1,LR_SRC_A,F_CONV,Drishti_GS,current,rim_dice,0.0336200556927142
62,O1,LR_SRC_A,F_CONV,Drishti_GS,current,cup_dice,-0.0004600323846140064
62,O1,LR_SRC_A,LR_FREE,RIM_ONE_r3,old,rim_dice,-0.01892203929911168
62,O1,LR_SRC_A,LR_FREE,RIM_ONE_r3,old,cup_dice,-0.026481675342741262
62,O1,LR_SRC_A,LR_FREE,Drishti_GS,current,rim_dice,0.03375654568704023
62,O1,LR_SRC_A,LR_FREE,Drishti_GS,current,cup_dice,-0.0029621072167569373
62,O1,LR_SRC_A,LR_RAND,RIM_ONE_r3,old,rim_dice,-0.07962406526873261
62,O1,LR_SRC_A,LR_RAND,RIM_ONE_r3,old,cup_dice,-0.027624376670366657
62,O1,LR_SRC_A,LR_RAND,Drishti_GS,current,rim_dice,0.041336938571840065
62,O1,LR_SRC_A,LR_RAND,Drishti_GS,current,cup_dice,0.027133778424465405
