arm,order,seed,domain,metric,source_score,old_score,absolute_forget
F_FULL,O1,61,RIM_ONE_r3,rim_dice,0.7330696983532834,0.549368098444649,0.18370159990863444
F_FULL,O1,61,RIM_ONE_r3,cup_dice,0.6843997261414897,0.5615442133743871,0.1228555127671026
F_FULL,O2,61,Drishti_GS,rim_dice,0.6503829136719266,0.4388465460238054,0.21153636764812117
F_FULL,O2,61,Drishti_GS,cup_dice,0.7484186011624524,0.5023304100971435,0.24608819106530888
F_FULL,O1,62,RIM_ONE_r3,rim_dice,0.7218951195876834,0.4593231041657605,0.2625720154219229
F_FULL,O1,62,RIM_ONE_r3,cup_dice,0.6675720556087968,0.530125029170031,0.13744702643876583
F_FULL,O2,62,Drishti_GS,rim_dice,0.651530646158902,0.4076018054289649,0.2439288407299371
F_FULL,O2,62,Drishti_GS,cup_dice,0.7189161741429807,0.3891557463060943,0.3297604278368864
F_FULL,O1,63,RIM_ONE_r3,rim_dice,0.7231632762247024,0.5587858051372026,0.1643774710874999
F_FULL,O1,63,RIM_ONE_r3,cup_dice,0.6465945539123543,0.5332771972643273,0.113317356648027
F_FULL,O2,63,Drishti_GS,rim_dice,0.578734016718385,0.42975202094847087,0.1489819957699141
F_FULL,O2,63,Drishti_GS,cup_dice,0.6931475476371536,0.42643782906001837,0.2667097185771352
F_CONV,O1,61,RIM_ONE_r3,rim_dice,0.7330696983532834,0.554007012534309,0.17906268581897444
F_CONV,O1,61,RIM_ONE_r3,cup_dice,0.6843997261414897,0.6121228373226989,0.0722768888187908
F_CONV,O2,61,Drishti_GS,rim_dice,0.6503829136719266,0.4513679939565104,0.19901491971541618
F_CONV,O2,61,Drishti_GS,cup_dice,0.7484186011624524,0.48791432290565523,0.2605042782567972
F_CONV,O1,62,RIM_ONE_r3,rim_dice,0.7218951195876834,0.5114572418680104,0.21043787771967293
F_CONV,O1,62,RIM_ONE_r3,cup_dice,0.6675720556087968,0.5504346814058824,0.11713737420291448
F_CONV,O2,62,Drishti_GS,rim_dice,0.651530646158902,0.38192387410502915,0.26960677205387285
F_CONV,O2,62,Drishti_GS,cup_dice,0.7189161741429807,0.4321840830888325,0.2867320910541482
F_CONV,O1,63,RIM_ONE_r3,rim_dice,0.7231632762247024,0.4942741473566602,0.22888912886804225
F_CONV,O1,63,RIM_ONE_r3,cup_dice,0.6465945539123543,0.5314422318474956,0.1151523220648587
F_CONV,O2,63,Drishti_GS,rim_dice,0.578734016718385,0.4548875065474844,0.12384651017090059
F_CONV,O2,63,Drishti_GS,cup_dice,0.6931475476371536,0.4669539860679926,0.22619356156916098
LR_FREE,O1,61,RIM_ONE_r3,rim_dice,0.7330696983532834,0.5707441274788806,0.1623255708744028
LR_FREE,O1,61,RIM_ONE_r3,cup_dice,0.6843997261414897,0.6015109934742429,0.08288873266724683
LR_FREE,O2,61,Drishti_GS,rim_dice,0.6503829136719266,0.437435447119616,0.21294746655231056
LR_FREE,O2,61,Drishti_GS,cup_dice,0.7484186011624524,0.485901963069038,0.2625166380934144
LR_FREE,O1,62,RIM_ONE_r3,rim_dice,0.7218951195876834,0.4009295560073086,0.32096556358037476
LR_FREE,O1,62,RIM_ONE_r3,cup_dice,0.6675720556087968,0.5230132215544891,0.1445588340543077
LR_FREE,O2,62,Drishti_GS,rim_dice,0.651530646158902,0.46613263389059784,0.18539801226830416
LR_FREE,O2,62,Drishti_GS,cup_dice,0.7189161741429807,0.5213589706172393,0.19755720352574135
LR_FREE,O1,63,RIM_ONE_r3,rim_dice,0.7231632762247024,0.3768619267850914,0.34630134943961105
LR_FREE,O1,63,RIM_ONE_r3,cup_dice,0.6465945539123543,0.4943302853951034,0.15226426851725094
LR_FREE,O2,63,Drishti_GS,rim_dice,0.578734016718385,0.48907540094578184,0.08965861577260315
LR_FREE,O2,63,Drishti_GS,cup_dice,0.6931475476371536,0.4448426170899588,0.24830493054719477
LR_RAND,O1,61,RIM_ONE_r3,rim_dice,0.7330696983532834,0.5510742463852707,0.1819954519680127
LR_RAND,O1,61,RIM_ONE_r3,cup_dice,0.6843997261414897,0.5716697028690956,0.11273002327239412
LR_RAND,O2,61,Drishti_GS,rim_dice,0.6503829136719266,0.40892056098237717,0.2414623526895494
LR_RAND,O2,61,Drishti_GS,cup_dice,0.7484186011624524,0.5451465314995465,0.2032720696629059
LR_RAND,O1,62,RIM_ONE_r3,rim_dice,0.7218951195876834,0.46163158197692955,0.2602635376107538
LR_RAND,O1,62,RIM_ONE_r3,cup_dice,0.6675720556087968,0.5241559228821145,0.1434161327266823
LR_RAND,O2,62,Drishti_GS,rim_dice,0.651530646158902,0.4461799634252679,0.2053506827336341
LR_RAND,O2,62,Drishti_GS,cup_dice,0.7189161741429807,0.5297834719158618,0.18913270222711887
LR_RAND,O1,63,RIM_ONE_r3,rim_dice,0.7231632762247024,0.3136522506712465,0.4095110255534559
LR_RAND,O1,63,RIM_ONE_r3,cup_dice,0.6465945539123543,0.4816826244015118,0.1649119295108425
LR_RAND,O2,63,Drishti_GS,rim_dice,0.578734016718385,0.4352192543049079,0.1435147624134771
LR_RAND,O2,63,Drishti_GS,cup_dice,0.6931475476371536,0.41398806951722295,0.27915947811993064
LR_SRC_A,O1,61,RIM_ONE_r3,rim_dice,0.7330696983532834,0.5825569136423984,0.15051278471088503
LR_SRC_A,O1,61,RIM_ONE_r3,cup_dice,0.6843997261414897,0.6021452487861054,0.08225447735538427
LR_SRC_A,O2,61,Drishti_GS,rim_dice,0.6503829136719266,0.462480912537307,0.18790200113461958
LR_SRC_A,O2,61,Drishti_GS,cup_dice,0.7484186011624524,0.4763886973915031,0.2720299037709493
LR_SRC_A,O1,62,RIM_ONE_r3,rim_dice,0.7218951195876834,0.38200751670819694,0.33988760287948644
LR_SRC_A,O1,62,RIM_ONE_r3,cup_dice,0.6675720556087968,0.4965315462117479,0.17104050939704896
LR_SRC_A,O2,62,Drishti_GS,rim_dice,0.651530646158902,0.4280429373553089,0.2234877088035931
LR_SRC_A,O2,62,Drishti_GS,cup_dice,0.7189161741429807,0.37923251740913066,0.33968365673385004
LR_SRC_A,O1,63,RIM_ONE_r3,rim_dice,0.7231632762247024,0.29666534310113335,0.4264979331235691
LR_SRC_A,O1,63,RIM_ONE_r3,cup_dice,0.6465945539123543,0.4850403624907059,0.1615541914216484
LR_SRC_A,O2,63,Drishti_GS,rim_dice,0.578734016718385,0.46809297583753634,0.11064104088084864
LR_SRC_A,O2,63,Drishti_GS,cup_dice,0.6931475476371536,0.4506811712817001,0.24246637635545348
LR_SRC_AB,O1,61,RIM_ONE_r3,rim_dice,0.7330696983532834,0.5149912562554757,0.2180784420978077
LR_SRC_AB,O1,61,RIM_ONE_r3,cup_dice,0.6843997261414897,0.5480584570659672,0.13634126907552246
