task_id,seed,order,arm,domain,role,n_patients,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice
O1_s61_SRC_CE,61,O1,SOURCE_STAGE_REFERENCE,RIM_ONE_r3,source,40,40,0.9870295243146344,0.7330696983532834,0.6843997261414897,0.7087347122473866
O2_s61_SRC_CE,61,O2,SOURCE_STAGE_REFERENCE,Drishti_GS,source,25,25,0.9821261576384483,0.6503829136719266,0.7484186011624524,0.6994007574171895
O1_s62_SRC_CE,62,O1,SOURCE_STAGE_REFERENCE,RIM_ONE_r3,source,40,40,0.9865761254490637,0.7218951195876834,0.6675720556087968,0.6947335875982402
O2_s62_SRC_CE,62,O2,SOURCE_STAGE_REFERENCE,Drishti_GS,source,25,25,0.9822998674965064,0.651530646158902,0.7189161741429807,0.6852234101509416
O1_s63_SRC_CE,63,O1,SOURCE_STAGE_REFERENCE,RIM_ONE_r3,source,40,40,0.9881517883445639,0.7231632762247024,0.6465945539123543,0.6848789150685283
O2_s63_SRC_CE,63,O2,SOURCE_STAGE_REFERENCE,Drishti_GS,source,25,25,0.9808198078250472,0.578734016718385,0.6931475476371536,0.6359407821777693
O1_s61_F_FULL,61,O1,F_FULL,RIM_ONE_r3,old,40,40,0.9723954055589864,0.549368098444649,0.5615442133743871,0.555456155909518
O1_s61_F_FULL,61,O1,F_FULL,Drishti_GS,current,25,25,0.9896191956215071,0.7069879089908614,0.7442523960839205,0.7256201525373911
O1_s61_F_CONV,61,O1,F_CONV,RIM_ONE_r3,old,40,40,0.9748416665180493,0.554007012534309,0.6121228373226989,0.583064924928504
O1_s61_F_CONV,61,O1,F_CONV,Drishti_GS,current,25,25,0.9896422882796722,0.7168070401232697,0.7319967334576013,0.7244018867904355
O1_s61_LR_FREE,61,O1,LR_FREE,RIM_ONE_r3,old,40,40,0.9788754985262529,0.5707441274788806,0.6015109934742429,0.5861275604765617
O1_s61_LR_FREE,61,O1,LR_FREE,Drishti_GS,current,25,25,0.9890933274888114,0.7242252685526516,0.7258679635747766,0.7250466160637142
O1_s61_LR_RAND,61,O1,LR_RAND,RIM_ONE_r3,old,40,40,0.976057691022483,0.5510742463852707,0.5716697028690956,0.5613719746271831
O1_s61_LR_RAND,61,O1,LR_RAND,Drishti_GS,current,25,25,0.9883498457151818,0.703589465250189,0.7219630409102022,0.7127762530801958
O1_s61_LR_SRC_A,61,O1,LR_SRC_A,RIM_ONE_r3,old,40,40,0.9755217660801112,0.5825569136423984,0.6021452487861054,0.5923510812142518
O1_s61_LR_SRC_A,61,O1,LR_SRC_A,Drishti_GS,current,25,25,0.9899252454638048,0.7323182702527821,0.7442587500012917,0.7382885101270369
O1_s61_LR_SRC_AB,61,O1,LR_SRC_AB,RIM_ONE_r3,old,40,40,0.9744486332438468,0.5149912562554757,0.5480584570659672,0.5315248566607215
O1_s61_LR_SRC_AB,61,O1,LR_SRC_AB,Drishti_GS,current,25,25,0.9852367000905987,0.6753389020188559,0.7329069351488536,0.7041229185838547
O2_s61_F_FULL,61,O2,F_FULL,Drishti_GS,old,25,25,0.9658812311715985,0.4388465460238054,0.5023304100971435,0.47058847806047444
O2_s61_F_FULL,61,O2,F_FULL,RIM_ONE_r3,current,40,40,0.9887578477609494,0.7556875369645414,0.6920508616152139,0.7238691992898778
O2_s61_F_CONV,61,O2,F_CONV,Drishti_GS,old,25,25,0.9645837411410183,0.4513679939565104,0.48791432290565523,0.4696411584310829
O2_s61_F_CONV,61,O2,F_CONV,RIM_ONE_r3,current,40,40,0.9886130093090035,0.742918763549457,0.6964512471241863,0.7196850053368216
O2_s61_LR_FREE,61,O2,LR_FREE,Drishti_GS,old,25,25,0.9678243321738704,0.437435447119616,0.485901963069038,0.46166870509432706
