task_id,source_student_hash,initial_effective_hash,initial_EMA_hash,optimizer_state_empty,source_EMA_loaded,source_Adam_loaded,source_RNG_loaded,final_student_hash
O1_s61_F_FULL,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,True,False,False,False,6f7afca37f918b22b1b9c8083e270c2d9b3c872f27136fc550d0af308b7cbbe9
O1_s61_F_CONV,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,True,False,False,False,53227d194a97ad6ed790909b64c57a5e6c7101c880b9363528551edb7ab7d4e0
O1_s61_LR_FREE,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,True,False,False,False,2f8f7a57f286cbfd02bec296d945603cb26641eda69b50c0d069df244cd08b25
O1_s61_LR_RAND,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,True,False,False,False,c36b39f39b3ba33b5dc61f71b78fff1585357b26f89549683efffe7f5055da5d
O1_s61_LR_SRC_A,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,True,False,False,False,cccec5a338da3236edd4466ac8ab9424ac2326af5a453dd970b6ea2eb7fc1826
O1_s61_LR_SRC_AB,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,True,False,False,False,a0dc869c7c63248903971441558bfd9789f522d97892ed3af57232d691c4f484
O2_s61_F_FULL,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,True,False,False,False,423b4c784b6de72226c96f573769b6c7cd91f642d0fed1b5c449fd6c19f53bb4
O2_s61_F_CONV,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,True,False,False,False,f7417f328f8f27d50ed2c304f3a7f7eae8fda7063744844e62371b356b05525a
O2_s61_LR_FREE,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,True,False,False,False,d96250d5859c377c3f21de521cc9243ea429a5cea126674154c52a8d2e361660
O2_s61_LR_RAND,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,True,False,False,False,50c0c84fd35f85a498dbaf1a23eddbe1e73bf52e4958c84c9d3560f8e2afc73f
