task_id,updates,anchor_label_records,donor_context_records,donor_extra_image_reads,U_image_records,CE,GT_Dice,SCE
O1_s61_F_FULL,2100,4200,3360,0,0,194.702323269099,390.44694835251255,0.0
O1_s61_F_CONV,2100,4200,3360,0,0,199.15069182030857,402.65540089991174,0.0
O1_s61_LR_FREE,2100,4200,3360,0,0,227.27562636509538,433.4027372729085,0.0
O1_s61_LR_RAND,2100,4200,3360,0,0,228.52685408480465,434.23828561658274,0.0
O1_s61_LR_SRC_A,2100,4200,3360,0,0,235.16877413913608,437.77079761619393,0.0
O1_s61_LR_SRC_AB,2100,4200,3360,0,0,267.508817197755,487.52514737030657,0.0
O2_s61_F_FULL,3200,6400,5120,0,0,331.7941902372986,934.7307385106742,0.0
O2_s61_F_CONV,3200,6400,5120,0,0,329.01620496436954,925.775949320602,0.0
O2_s61_LR_FREE,3200,6400,5120,0,0,331.6648273933679,904.4198711547848,0.0
O2_s61_LR_RAND,3200,6400,5120,0,0,341.50986562110484,920.0147355183175,0.0
O2_s61_LR_SRC_A,3200,6400,5120,0,0,356.8153096102178,949.6846145957311,0.0
O2_s61_LR_SRC_AB,3200,6400,5120,0,0,369.95970189757645,1017.927987920417,0.0
O1_s62_F_FULL,2100,4200,3360,0,0,202.38185857236385,409.588867872367,0.0
O1_s62_F_CONV,2100,4200,3360,0,0,204.81767599098384,402.6989420483011,0.0
O1_s62_LR_FREE,2100,4200,3360,0,0,254.08631112799048,506.62062640226327,0.0
O1_s62_LR_RAND,2100,4200,3360,0,0,251.61228208988905,518.0258528800724,0.0
O1_s62_LR_SRC_A,2100,4200,3360,0,0,257.06577842868865,499.31774049780745,0.0
O1_s62_LR_SRC_AB,2100,4200,3360,0,0,292.8499075435102,575.8846558499849,0.0
O2_s62_F_FULL,3200,6400,5120,0,0,313.55809174850583,866.5627027112726,0.0
O2_s62_F_CONV,3200,6400,5120,0,0,317.28816342167556,886.6112468546062,0.0
O2_s62_LR_FREE,3200,6400,5120,0,0,364.60786296986043,950.9848706448537,0.0
O2_s62_LR_RAND,3200,6400,5120,0,0,368.95503746159375,980.3586074911556,0.0
O2_s62_LR_SRC_A,3200,6400,5120,0,0,359.43608477152884,959.4049283308894,0.0
O2_s62_LR_SRC_AB,3200,6400,5120,0,0,394.3191690556705,1060.1446778014688,0.0
O1_s63_F_FULL,2100,4200,3360,0,0,196.97304785065353,403.15329939749887,0.0
O1_s63_F_CONV,2100,4200,3360,0,0,205.57301570102572,419.92336019808334,0.0
O1_s63_LR_FREE,2100,4200,3360,0,0,281.85499012097716,545.2667185472748,0.0
O1_s63_LR_RAND,2100,4200,3360,0,0,272.361717980355,526.570709795566,0.0
O1_s63_LR_SRC_A,2100,4200,3360,0,0,278.1863682139665,541.6075213946938,0.0
O1_s63_LR_SRC_AB,2100,4200,3360,0,0,299.84700617939234,558.8847553027786,0.0
O2_s63_F_FULL,3200,6400,5120,0,0,345.22316847741604,973.3431446653583,0.0
O2_s63_F_CONV,3200,6400,5120,0,0,318.8777016028762,913.9961818400636,0.0
O2_s63_LR_FREE,3200,6400,5120,0,0,311.84647467918694,977.4236617515122,0.0
O2_s63_LR_RAND,3200,6400,5120,0,0,349.68161566741765,1064.1734954380352,0.0
O2_s63_LR_SRC_A,3200,6400,5120,0,0,335.54183365404606,1025.5674148763244,0.0
O2_s63_LR_SRC_AB,3200,6400,5120,0,0,376.7785876430571,1206.397061777705,0.0
