candidate,seed,stage_index,domain,class_id,cases,precision,weighted_error,reference_error,relative_error_reduction,precision_drop,case_error_defined,case_error_undefined,case_error_quantiles,R1_mass,MMPR_mass,mass_difference,newly_selected,deselected,null_pixels,R1_null_mass,MMPR_null_mass,tied_score_rows,tied_score_groups,hash_collisions,cases_with_cutoff_ties,newly_selected_precision_case_weighted,removed_precision_case_weighted,boundary_precision,boundary_weighted_error,interior_precision,interior_weighted_error,selection_precision_weight
Q1,0,0,REFUGE,1,100,0.589117851448364,0.41088214855163596,0.3489474234224939,-0.1774901345356935,0.06193472512914211,100,0,"[0.15490996896254214, 0.4013381058526512, 0.8834036085161545]",306236,306236,0,202180,202180,0,0,0,0,0,0,0,0.48930152508303676,0.5921716380983315,0.5308593989955912,0.46914060100440874,0.5911176801872049,0.4088823198127951,1 / nonignore teacher-predicted-class pixels per case; ratio of weighted correct/count sums
Q2,0,0,REFUGE,1,100,0.589117851448364,0.41088214855163596,0.3489474234224939,-0.1774901345356935,0.06193472512914211,100,0,"[0.15490996896254214, 0.4013381058526512, 0.8834036085161545]",306236,306236,0,202180,202180,0,0,0,0,0,0,0,0.48930152508303676,0.5921716380983315,0.5308593989955912,0.46914060100440874,0.5911176801872049,0.4088823198127951,1 / nonignore teacher-predicted-class pixels per case; ratio of weighted correct/count sums
Q1,0,0,REFUGE,2,100,0.6357711156784666,0.36422888432153355,0.3481846748758099,-0.04607959684453742,0.0160442094457236,100,0,"[0.06264686684073106, 0.3849869326261578, 0.6329390526485963]",196424,196424,0,52948,52948,0,0,0,0,0,0,0,0.30452984420124096,0.3772194551331363,0.41616108191979406,0.5838389180802059,0.6439795471507529,0.3560204528492471,1 / nonignore teacher-predicted-class pixels per case; ratio of weighted correct/count sums
Q2,0,0,REFUGE,2,100,0.6357711156784666,0.36422888432153355,0.3481846748758099,-0.04607959684453742,0.0160442094457236,100,0,"[0.06264686684073106, 0.3849869326261578, 0.6329390526485963]",196424,196424,0,52948,52948,0,0,0,0,0,0,0,0.30452984420124096,0.3772194551331363,0.41616108191979406,0.5838389180802059,0.6439795471507529,0.3560204528492471,1 / nonignore teacher-predicted-class pixels per case; ratio of weighted correct/count sums
Q1,0,1,RIM_ONE_r3,1,40,0.5466614463210687,0.4533385536789313,0.35050033732233365,-0.29340404389403946,0.10283821635659762,40,0,"[0.22416503304255883, 0.41665275291301973, 0.9637818655798336]",181306,181306,0,114491,114491,0,0,0,0,0,0,0,0.41410424155303055,0.5828525732090459,0.51745801920214,0.4825419807978601,0.5482439193297809,0.45175608067021905,1 / nonignore teacher-predicted-class pixels per case; ratio of weighted correct/count sums
Q2,0,1,RIM_ONE_r3,1,40,0.5498295898420291,0.4501704101579708,0.35050033732233365,-0.28436512671306424,0.09967007283563722,40,0,"[0.22505234293770376, 0.41600345830922536, 0.9710011824995952]",181306,181306,0,114817,114817,0,0,0,0,0,0,0,0.41610511305171893,0.5797149734051268,0.5205829574467948,0.4794170425532052,0.551428050581761,0.44857194941823897,1 / nonignore teacher-predicted-class pixels per case; ratio of weighted correct/count sums
Q1,0,1,RIM_ONE_r3,2,40,0.6851309129921435,0.3148690870078566,0.34901460754612623,0.097834072843948,-0.03414552053826969,39,1,"[0.01176810978603297, 0.2807606263982103, 0.8020120406619076]",70384,70384,0,22210,22210,0,0,0,0,0,0,0,0.5553390446153484,0.44724519537084567,0.3637625514600973,0.6362374485399027,0.6995800516671677,0.3004199483328323,1 / nonignore teacher-predicted-class pixels per case; ratio of weighted correct/count sums
Q2,0,1,RIM_ONE_r3,2,40,0.6656851961476606,0.3343148038523394,0.34901460754612623,0.04211801848965325,-0.014699803693786873,39,1,"[0.023595830133497905, 0.3199004975124378, 0.8647146695590016]",70384,70384,0,15575,15575,0,0,0,0,0,0,0,0.5436779047832456,0.4781653290981049,0.35965110256850324,0.6403488974314968,0.6802719195384574,0.3197280804615426,1 / nonignore teacher-predicted-class pixels per case; ratio of weighted correct/count sums
Q1,0,2,Drishti_GS,1,25,0.47533035317108474,0.5246696468289153,0.6810716535966318,0.22964104575749447,-0.15640200676771648,25,0,"[0.24053732494860344, 0.4772629772629773, 0.9586195665388103]",118511,118511,0,63392,63392,0,0,0,0,0,0,0,0.48161933640736687,0.21737483911754657,0.5162752909885534,0.4837247090114466,0.473724086642839,0.526275913357161,1 / nonignore teacher-predicted-class pixels per case; ratio of weighted correct/count sums
Q2,0,2,Drishti_GS,1,25,0.4668141252523416,0.5331858747476583,0.6810716535966318,0.21713688723941457,-0.14788577884897336,25,0,"[0.2569866225075896, 0.49141999141999143, 0.9590235253350131]",118511,118511,0,63122,63122,0,0,0,0,0,0,0,0.47689839644639215,0.22637307572196527,0.5108288552983035,0.48917114470169654,0.46508537839294817,0.5349146216070518,1 / nonignore teacher-predicted-class pixels per case; ratio of weighted correct/count sums
