batch_id,seed,stage_index,domain,pair_index,candidate,primary,CE_before,CE_after,CE_delta,foreground_Dice_delta,FG_class_CE_deltas,FG_class_Dice_deltas
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P0,False,0.6162750157152149,0.616788252433113,0.0005132367178980468,-0.0012763789750280807,"[0.006170259830347469, 0.021043079705356682]","[-0.0005569228957282846, -0.001995835054327877]"
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P1,False,0.6162750157152149,0.616788252433113,0.0005132367178980468,-0.0012763789750280807,"[0.006170259830347469, 0.021043079705356682]","[-0.0005569228957282846, -0.001995835054327877]"
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,0.6162750157152149,0.6155089524737248,-0.0007660632414900892,-0.0002826356078777792,"[-0.010839724429135167, 0.0137867118430961]","[-6.088330036935208e-05, -0.0005043879153859843]"
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,0.6162750157152149,0.6162525167191835,-2.2498996031461438e-05,-0.00010917585063308088,"[-0.0064324414039873545, 0.01787529898479967]","[3.5886006136354176e-05, -0.0002542377074022939]"
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,0.6162750157152149,0.6163480159364468,7.300022123191141e-05,-0.00014793240627064552,"[-0.005250554942635155, 0.01932249048499113]","[-3.921108975513121e-06, -0.0002919437035656669]"
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P0,False,0.6162750157152149,0.6146526782275136,-0.001622337487701353,-0.0007550830376354956,"[-0.043940247951006484, 0.024197799886093385]","[0.0016195852234541785, -0.0031297512987249476]"
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P1,False,0.6162750157152149,0.6146526782275136,-0.001622337487701353,-0.0007550830376354956,"[-0.043940247951006484, 0.024197799886093385]","[0.0016195852234541785, -0.0031297512987249476]"
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P2,False,0.6162750157152149,0.6135893986966524,-0.002685617018562514,0.0006143481176956733,"[-0.04057535567486514, 0.005492061158952843]","[0.001501858134379419, -0.00027316189898785037]"
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P3,False,0.6162750157152149,0.613601352540596,-0.0026736631746189232,0.000728245112014303,"[-0.03935627489049942, -0.0006998147280894429]","[0.0014019339883900583, 5.455623563854761e-05]"
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P4,True,0.6162750157152149,0.613463527523411,-0.002811488191803879,0.0006784296745014906,"[-0.04044958650658259, 0.0013733279658190156]","[0.0013945696021279153, -3.7710253124934034e-05]"
