batch_id,seed,stage_index,domain,pair_index,candidate,primary,constraint_count,deterministic_repeat,direction_sha256,fallback_used,guard_names,norm,norm_ratio,raw_guard_dots,raw_norm,status,zero_direction,active_set,complementarity_max,condition_number,condition_undefined_reason,dual,dual_feasible,dual_objective,duality_gap,effective_condition_number,enumerated_supports,gram_rank,guard_norms,nonzero_constraint_count,normalized_guard_dots,objective,primal_feasible,rank_deficient,stationarity_residual,zero_constraint_indices
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P0,False,0,True,7fa4a9ce51aeaa5ad95e3b725c3d3856eccfedf185e71b06ae0724ba98c3ec8e,False,[],0.29686872224657296,1.0,[],0.29686872224657296,RAW_IDENTITY,False,,,,,,,,,,,,,,,,,,,
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P1,False,1,True,7fa4a9ce51aeaa5ad95e3b725c3d3856eccfedf185e71b06ae0724ba98c3ec8e,False,"[""global_supervised""]",0.29686872224657296,1.0,[0.07905697190470859],0.29686872224657296,CERTIFIED,False,[],0.0,1.0,,[0.0],True,-0.0,0.0,1.0,1,1,[0.28330747837669923],1,[0.27905007081948846],0.0,True,False,0.0,[]
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,7,True,e63b8cdc20e8de5f016b753a03ee6d5864aa89ed3c22ac2b651813ffc6e54e88,False,"[""global_supervised"", ""class_sup_0"", ""class_old_0"", ""class_sup_1"", ""class_old_1"", ""class_sup_2"", ""class_old_2""]",0.24213819675639223,0.8156406472328779,"[0.05955764437596482, 0.050748268396028605, 1.932048271369169e-16, 2.0539125955565396e-15, 0.8632757570219494, 2.4424906541753444e-15, -4.440892098500626e-16]",0.29686872224657296,CERTIFIED,False,"[2, 3, 5, 6]",3.580640125378956e-17,80.48739450429365,,"[0.0, 0.0, 0.04095175630623363, 0.1779395258968774, 0.0, 0.1263856176784735, 0.1270486903567717]",True,0.014750065959937837,1.734723475976807e-17,80.48739450429365,97,7,"[0.28330747837669923, 0.43648240824056356, 1.3065638737400576, 6.683849587910785, 7.119400362041437, 26.66944565774102, 15.992521037261126]",7,"[0.2102226341401907, 0.116266469021265, 1.446325698095663e-16, 2.0122792321330962e-16, 0.12125680719189277, 8.673617379884035e-17, 3.469446951953614e-18]",0.014750065959937855,True,False,1.285910825038355e-17,[]
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,7,True,df18b6f856a2275b7c7c4a71daa2bbf4809ef204980f0350ae0383b3d5b5cc4c,False,"[""global_supervised"", ""sup_0"", ""sup_1"", ""sup_2"", ""sup_3"", ""sup_4"", ""sup_5""]",0.20962445122587742,0.7061183463166177,"[0.04579297496384379, 0.013729147947186182, 0.041599805146522686, 0.5310964498870019, 2.7755575615628914e-16, 0.7211978817304172, -2.886579864025407e-15]",0.29686872224657296,CERTIFIED,False,"[4, 6]",4.20992327536976e-17,302.92804814843134,,"[0.0, 0.0, 0.0, 0.0, 0.35496435260638376, 0.0, 0.43336706043916867]",True,0.022094313848281276,9.020562075079397e-17,302.92804814843134,28,7,"[0.28330747837669923, 0.19186304027360904, 0.7006647226587164, 13.34482567492947, 5.883059472868654, 33.80882462986104, 22.645049091864557]",7,"[0.16163701440650033, 0.07155702279921933, 0.05937191327211335, 0.03979793088528369, 3.469446951953614e-17, 0.021331646090217316, -9.71445146547012e-17]",0.022094313848281186,True,False,8.863884852979813e-18,[]
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,13,True,0158fa7da6440fdc8664f3ced8a88c3c723a70b40108121a4f665c28d18f1a6b,False,"[""global_supervised"", ""sup_0"", ""sup_1"", ""sup_2"", ""sup_3"", ""sup_4"", ""sup_5"", ""old_0"", ""old_1"", ""old_2"", ""old_3"", ""old_4"", ""old_5""]",0.2051094350990552,0.6909095493350612,"[0.04372118199735951, 0.01358585019878501, 0.04087226455962845, 0.513789497744818, 1.942890293094024e-15, 0.6153938679624444, -2.7755575615628914e-15, -1.3444106938820255e-16, 3.2959746043559335e-16, 0.4846658327846761, 0.4765752746407816, 0.07952703931612382, -1.942890293094024e-16]",0.29686872224657296,CERTIFIED,False,"[4, 6, 7, 8, 12]",1.3296669489895024e-16,1490.5615709858384,,"[0.0, 0.0, 0.0, 0.0, 0.3794558463997457, 0.0, 0.4043969363028974, 0.01875422955185647, 0.009658855983848384, 0.0, 0.0, 0.0, 0.06519824162297166]",True,0.02303057894082966,0.0,1490.5615709858384,2293,13,"[0.28330747837669923, 0.19186304027360904, 0.7006647226587164, 13.34482567492947, 5.883059472868654, 33.80882462986104, 22.645049091864557, 1.236001949738113, 2.4729485197137193, 8.3316714208046, 7.101129372755749, 21.688304604672425, 12.161600326962489]",13,"[0.1543241366160682, 0.07081014758971146, 0.058333555604934834, 0.03850102730903854, 3.5041414214731503e-16, 0.018202166880977852, -1.3530843112619095e-16, -1.1275702593849246e-16, 1.328147661294743e-16, 0.058171501047729904, 0.06711260274586946, 0.003666816782856828, -1.0408340855860843e-17]",0.02303057894082966,True,False,9.432894042529098e-18,[]
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P0,False,0,True,c6ae436ab36fe55181f64b4dc6d2d1bf3abb6ffc0e0a17636f8659151957da65,False,[],0.7743644707071409,1.0,[],0.7743644707071409,RAW_IDENTITY,False,,,,,,,,,,,,,,,,,,,
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P1,False,1,True,c6ae436ab36fe55181f64b4dc6d2d1bf3abb6ffc0e0a17636f8659151957da65,False,"[""global_supervised""]",0.7743644707071409,1.0,[0.6068282426975629],0.7743644707071409,CERTIFIED,False,[],0.0,1.0,,[0.0],True,-0.0,0.0,1.0,1,1,[0.7866015632046994],1,[0.7714556785588876],0.0,True,False,0.0,[]
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P2,False,7,True,9f5d2b32fbdb42355961cd33e7aa81aa92b601ac9ffc4720d487454318b780d6,False,"[""global_supervised"", ""class_sup_0"", ""class_old_0"", ""class_sup_1"", ""class_old_1"", ""class_sup_2"", ""class_old_2""]",0.33728876549769843,0.4355684929471133,"[0.12006023809351557, -4.5102810375396984e-17, 0.0075944534408933315, 0.5369489587911894, 0.5503481508648793, 0.20632244363098806, 5.329070518200751e-15]",0.7743644707071409,CERTIFIED,False,"[1, 6]",1.2882611869505337e-16,117.72986295040444,,"[0.0, 0.160643311616668, 0.0, 0.0, 0.0, 0.0, 0.6402000112006948]",True,0.24293831108129552,2.220446049250313e-16,117.72986295040444,19,7,"[0.7866015632046994, 0.43648240824056356, 1.3065638737400576, 6.683849587910785, 7.119400362041437, 26.66944565774102, 15.992521037261126]",7,"[0.1526315783105962, -6.245004513516506e-17, 0.005812538976111481, 0.0803352845884474, 0.07730259893785087, 0.007736285421107027, 2.0122792321330962e-16]",0.2429383110812953,True,False,1.2186682793447447e-17,[]
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P3,False,7,True,a607c77c06c30e1534d5f817460b4da65e22fa13eaa283486856ab568d502ce7,False,"[""global_supervised"", ""sup_0"", ""sup_1"", ""sup_2"", ""sup_3"", ""sup_4"", ""sup_5""]",0.37879880830482626,0.489173796880055,"[0.15211027346126282, 0.00216672673359055, 2.8102520310824275e-16, 2.0986478623376277, 0.11982023508568906, 3.146501123717605, -1.0658141036401503e-14]",0.7743644707071409,CERTIFIED,False,"[2, 6]",2.4946778957996987e-16,332.1861129321844,,"[0.0, 0.0, 0.2487721177653494, 0.0, 0.0, 0.0, 0.5992016235697566]",True,0.22807589816019777,2.498001805406602e-16,332.1861129321844,23,7,"[0.7866015632046994, 0.19186304027360904, 0.7006647226587164, 13.34482567492947, 5.883059472868654, 33.80882462986104, 22.645049091864557]",7,"[0.1933765206892668, 0.011293090792789773, 4.163336342344337e-16, 0.15726304063156818, 0.020366993677060838, 0.09306745082579736, -4.163336342344337e-16]",0.22807589816019752,True,False,1.493398064761411e-17,[]
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P4,True,13,True,32c0e4739b2c340f76c4459ff675e321ffa8f02d8558d9a2a27ad9e2288e561f,False,"[""global_supervised"", ""sup_0"", ""sup_1"", ""sup_2"", ""sup_3"", ""sup_4"", ""sup_5"", ""old_0"", ""old_1"", ""old_2"", ""old_3"", ""old_4"", ""old_5""]",0.3187857259941676,0.41167400888506167,"[0.10848093016632844, 0.002042606067932517, -6.938893903907228e-17, 1.8292490204827079, 0.08052952610154013, 2.5668690383426958, -7.549516567451064e-15, 1.8908485888147197e-16, 0.09211784236185026, -3.4555691641457997e-15, 0.45792124830960346, 0.12676119676800268, 1.5543122344752192e-15]",0.7743644707071409,CERTIFIED,False,"[2, 6, 7, 9, 12]",1.7921469808853214e-16,1763.5373414640565,,"[0.0, 0.0, 0.1690053756352093, 0.0, 0.0, 0.0, 0.423402621655517, 0.02493298803869494, 0.0, 0.05444276859257818, 0.0, 0.0, 0.261677572037581]",True,0.2490079971979618,2.7755575615628914e-16,1763.5373414640565,2100,13,"[0.7866015632046994, 0.19186304027360904, 0.7006647226587164, 13.34482567492947, 5.883059472868654, 33.80882462986104, 22.645049091864557, 1.236001949738113, 2.4729485197137193, 8.3316714208046, 7.101129372755749, 21.688304604672425, 12.161600326962489]",13,"[0.13791090081789986, 0.010646167521475867, -7.632783294297951e-17, 0.1370755276271059, 0.0136883753211954, 0.07592304868461935, -4.2327252813834093e-16, 1.1449174941446927e-16, 0.03725020623256412, -2.220446049250313e-16, 0.06448569294716237, 0.005844679843748292, 2.1510571102112408e-16]",0.24900799719796152,True,False,8.266429420016e-18,[]
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P0,False,0,True,4ca3fbd9b09592bb194ec29f7df74bfdb28198695775c4e0829709f4f86ab1b6,False,[],0.7391670245647394,1.0,[],0.7391670245647394,RAW_IDENTITY,False,,,,,,,,,,,,,,,,,,,
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P1,False,1,True,4ca3fbd9b09592bb194ec29f7df74bfdb28198695775c4e0829709f4f86ab1b6,False,"[""global_supervised""]",0.7391670245647394,1.0,[0.5768834849417114],0.7391670245647394,CERTIFIED,False,[],0.0,1.0,,[0.0],True,-0.0,0.0,1.0,1,1,[0.782358707357414],1,[0.7373644333687559],0.0,True,False,0.0,[]
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P2,False,7,True,37cf741c4871f554f4c3f90021da5b72b4bb33f16b1d035c48f8690d4b267403,False,"[""global_supervised"", ""class_sup_0"", ""class_old_0"", ""class_sup_1"", ""class_old_1"", ""class_sup_2"", ""class_old_2""]",0.39050140544830264,0.5282992780667543,"[0.16875245209911532, 0.0417872448040249, -4.5428071027142636e-17, 0.6530049839168759, 1.021261293504221, 1.887379141862766e-15, 5.773159728050814e-15]",0.7391670245647394,CERTIFIED,False,"[2, 5, 6]",8.64909165669067e-17,112.36129639241803,,"[0.0, 0.0, 0.010904561710740168, 0.0, 0.0, 0.4003192709853348, 0.24682484570084984]",True,0.1969382712733953,2.7755575615628914e-17,112.36129639241803,60,7,"[0.782358707357414, 0.43648240824056356, 1.3065638737400576, 6.683849587910785, 7.119400362041437, 26.66944565774102, 15.992521037261126]",7,"[0.2156970332305925, 0.09573637795041263, -5.7462715141731735e-18, 0.0976989346226429, 0.14344765592187897, 8.673617379884035e-17, 3.5041414214731503e-16]",0.19693827127339533,True,False,1.711937699761354e-17,[]
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P3,False,7,True,5d4ff6b23724268fed88ee0cab7fcbb13aacf27eef2c550dd0a6d9cbb4a8f324,False,"[""global_supervised"", ""sup_0"", ""sup_1"", ""sup_2"", ""sup_3"", ""sup_4"", ""sup_5""]",0.3392161862294784,0.4589168279378086,"[0.12721099192407048, 0.02153034553471094, 0.04750283989180652, 2.13857069454025, 0.12181253383694102, 2.002088432538568, 2.55351295663786e-15]",0.7391670245647394,CERTIFIED,False,[6],8.202620458245934e-17,359.3347731338699,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6567345500305422]",True,0.21565013460190935,1.1102230246251565e-16,359.3347731338699,8,7,"[0.782358707357414, 0.19186304027360904, 0.7006647226587164, 13.34482567492947, 5.883059472868654, 33.80882462986104, 22.645049091864557]",7,"[0.1625993175863705, 0.1122172644820352, 0.06779681972792065, 0.16025467448090547, 0.020705643789377323, 0.05921792474176278, 1.249000902703301e-16]",0.21565013460190924,True,False,1.3344928422562997e-17,[]
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P4,True,13,True,24072501b8d1412ab3cdc7667e4d5b3ddb888791afbf26a9367cc4307c6dd472,False,"[""global_supervised"", ""sup_0"", ""sup_1"", ""sup_2"", ""sup_3"", ""sup_4"", ""sup_5"", ""old_0"", ""old_1"", ""old_2"", ""old_3"", ""old_4"", ""old_5""]",0.33795100098217323,0.45720519145341565,"[0.12613736691904037, 0.02260278655944052, 0.05283499861621777, 2.019503038012185, 0.0940234843592955, 1.923121063439749, -8.992806499463768e-15, -3.122502256758253e-16, 0.030526492406356433, 0.5968379799640817, 0.6672736177574577, 0.2518656705312795, -4.718447854656915e-15]",0.7391670245647394,CERTIFIED,False,"[6, 7, 12]",2.86057361932492e-16,1855.2296387359509,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6246244017482464, 0.017926927048294128, 0.0, 0.0, 0.0, 0.0, 0.039722247902853336]",True,0.21607850556951896,5.273559366969494e-16,1855.2296387359509,348,13,"[0.782358707357414, 0.19186304027360904, 0.7006647226587164, 13.34482567492947, 5.883059472868654, 33.80882462986104, 22.645049091864557, 1.236001949738113, 2.4729485197137193, 8.3316714208046, 7.101129372755749, 21.688304604672425, 12.161600326962489]",13,"[0.16122702506257855, 0.11780688207175025, 0.0754069627135387, 0.15133229067249393, 0.015982072728129113, 0.05688222186053721, -4.579669976578771e-16, -2.441623292437356e-16, 0.012344168171317336, 0.0716348436969978, 0.09396725263414082, 0.011612971835383509, -3.677613769070831e-16]",0.21607850556951844,True,False,1.3486685233959325e-17,[]
B0/seed0/stage1/RIM_ONE_r3/pair03,0,1,RIM_ONE_r3,3,P0,False,0,True,0d860254d2a2abda8dba78112507876704116d1437f656bcd2a108109b6ab78d,False,[],0.5424844479163121,1.0,[],0.5424844479163121,RAW_IDENTITY,False,,,,,,,,,,,,,,,,,,,
B0/seed0/stage1/RIM_ONE_r3/pair03,0,1,RIM_ONE_r3,3,P1,False,1,True,0d860254d2a2abda8dba78112507876704116d1437f656bcd2a108109b6ab78d,False,"[""global_supervised""]",0.5424844479163121,1.0,[0.3286242074296152],0.5424844479163121,CERTIFIED,False,[],0.0,1.0,,[0.0],True,-0.0,0.0,1.0,1,1,[0.6837705629788734],1,[0.4806059593995252],0.0,True,False,0.0,[]
B0/seed0/stage1/RIM_ONE_r3/pair03,0,1,RIM_ONE_r3,3,P2,False,7,True,1b029127d833aa4bb50347bb0facc134b08c4378e81a91648b2ed4d57e01cad8,False,"[""global_supervised"", ""class_sup_0"", ""class_old_0"", ""class_sup_1"", ""class_old_1"", ""class_sup_2"", ""class_old_2""]",0.5399355105543447,0.9953013632524252,"[0.3271623670503076, 0.07780912506985384, -1.3877787807814457e-17, 0.2223700549470382, 0.9196151717703072, 2.59126008191802, 0.3487187096545954]",0.5424844479163121,CERTIFIED,False,[2],1.4522050107915497e-18,112.83647029802381,,"[0.0, 0.0, 0.052526380738490856, 0.0, 0.0, 0.0, 0.0]",True,0.001379510336742452,7.37257477290143e-18,112.83647029802381,4,7,"[0.6837705629788734, 0.43648240824056356, 1.3065638737400576, 6.683849587910785, 7.119400362041437, 26.66944565774102, 15.992521037261126]",7,"[0.47846804873408383, 0.17826405738434714, 2.7647155398380363e-17, 0.03326975749861935, 0.1291703128080036, 0.09716212759622497, 0.021805111829592813]",0.0013795103367424447,True,False,2.353422197545471e-17,[]
