question,gate,value,threshold,pass_gate
pseudo_ce,F_or_N_gain,0.04130531512091584,0.005,True
pseudo_ce,other_not_harmed,0.021464774010121812,-0.005,True
pseudo_ce,stage1_rim_dice,0.01720149660961401,-0.02,True
pseudo_ce,stage1_cup_dice,-0.0018433124912203835,-0.02,True
pseudo_ce,stage2_rim_dice,0.08982511482078759,-0.02,True
pseudo_ce,stage2_cup_dice,-0.019324202898693854,-0.02,True
unlabeled_kd,F_vs_best_label_only,0.05635175411940163,0.005,True
unlabeled_kd,N_vs_L05,-0.04486270911155288,-0.01,False
unlabeled_kd,stage1_rim_dice_vs_L05,-0.0007522749338702006,-0.02,True
unlabeled_kd,stage1_cup_dice_vs_L05,0.012607464808503943,-0.02,True
unlabeled_kd,stage2_rim_dice_vs_L05,-0.08101151481521729,-0.02,False
unlabeled_kd,stage2_cup_dice_vs_L05,-0.11029451150562763,-0.02,False
unlabeled_kd,N_vs_L10,-0.03227019444415202,-0.01,False
unlabeled_kd,stage1_rim_dice_vs_L10,0.003379057188084733,-0.02,True
unlabeled_kd,stage1_cup_dice_vs_L10,0.010885503077679548,-0.02,True
unlabeled_kd,stage2_rim_dice_vs_L10,-0.05139683663625594,-0.02,False
unlabeled_kd,stage2_cup_dice_vs_L10,-0.09194850140611643,-0.02,False
E_increment,F_vs_best_simple,-0.031051438559892452,0.01,False
E_increment,history_vs_B,0.2866304467132762,0.01,True
E_increment,stage1_macro_fg_dice_vs_B,0.024470491235410008,-0.01,True
E_increment,stage1_rim_dice_vs_B,0.010993988105660879,-0.02,True
E_increment,stage1_cup_dice_vs_B,0.03794699436515936,-0.02,True
E_increment,stage2_macro_fg_dice_vs_B,-0.023336965317863778,-0.01,False
E_increment,stage2_rim_dice_vs_B,0.09551399310537467,-0.02,True
E_increment,stage2_cup_dice_vs_B,-0.14218792374110212,-0.02,False
candidate_A,F_vs_S,-0.012286548242411821,0.01,False
candidate_A,stage1_macro_fg_dice_vs_S,0.0004995692361785542,-0.01,True
candidate_A,stage1_rim_dice_vs_S,0.002279432160215422,-0.02,True
candidate_A,stage1_cup_dice_vs_S,-0.0012802936878583138,-0.02,True
candidate_A,stage2_macro_fg_dice_vs_S,0.008385608667068278,-0.01,True
candidate_A,stage2_rim_dice_vs_S,0.0006962585945969879,-0.02,True
candidate_A,stage2_cup_dice_vs_S,0.01607495873953968,-0.02,True
candidate_B,F_vs_S,-0.08222716080624715,0.01,False
candidate_B,stage1_macro_fg_dice_vs_S,0.004569583947846234,-0.01,True
candidate_B,stage1_rim_dice_vs_S,0.013000135426172066,-0.02,True
candidate_B,stage1_cup_dice_vs_S,-0.0038609675304798197,-0.02,True
candidate_B,stage2_macro_fg_dice_vs_S,-0.030095647321301433,-0.01,False
candidate_B,stage2_rim_dice_vs_S,-0.061243700782899535,-0.02,False
candidate_B,stage2_cup_dice_vs_S,0.0010524061402965579,-0.02,True
candidate_C,F_vs_S,0.09822699386648637,0.01,True
candidate_C,stage1_macro_fg_dice_vs_S,-0.0008076450963788728,-0.01,True
candidate_C,stage1_rim_dice_vs_S,-0.011261268384581746,-0.02,True
