arm,stage,attempt,branch,class_id,pixels,reliable,conflicts,projected,drop_kl_mass,drop_gradient_l2_sum,r_q_norm_sum,r_p_norm_sum,nondegenerate,eta_sum,eta_max,residual_max,smoothing_l1_sum,raw_conflict_rate,projection_fraction_of_valid
C,1,accepted_complete,labeled,0,854142800,854142800,593182777,0,0.0,0.0,0.0,14311011.718531404,0,0.0,0.0,0.0,11.360452042872726,0.694477289980083,0.0
C,1,accepted_complete,labeled,1,72112400,72112400,22515895,0,0.0,0.0,0.0,15249018.775637066,0,0.0,0.0,0.0,0.9307810838453082,0.3122333329635403,0.0
C,1,accepted_complete,labeled,2,17463200,17463200,2653759,0,0.0,0.0,0.0,1509644.3245828995,0,0.0,0.0,0.0,0.22802757143804098,0.151962927756654,0.0
C,1,accepted_complete,unlabeled,0,830941532,692668473,513035229,0,0.0,0.0,0.0,273065.3275607092,0,0.0,0.0,0.0,11.05487713164421,0.7406649053594215,0.0
C,1,accepted_complete,unlabeled,1,74375447,62976475,11838600,0,0.0,0.0,0.0,9382908.530891871,0,0.0,0.0,0.0,0.9570857936536751,0.18798448150678487,0.0
C,1,accepted_complete,unlabeled,2,23655821,20206068,1490049,0,0.0,0.0,0.0,982182.0750752576,0,0.0,0.0,0.0,0.3080796559319314,0.07374264998019407,0.0
C,2,accepted_complete,labeled,0,520733227,520733227,418962790,0,0.0,0.0,0.0,880781.3019845897,0,0.0,0.0,0.0,6.939070138417918,0.8045631971934835,0.0
C,2,accepted_complete,labeled,1,57246976,57246976,35183756,0,0.0,0.0,0.0,25130821.507178705,0,0.0,0.0,0.0,0.7159104080506358,0.6145958871259855,0.0
C,2,accepted_complete,labeled,2,41334997,41334997,28493144,0,0.0,0.0,0.0,21839509.381205615,0,0.0,0.0,0.0,0.5158025370360061,0.6893225128333745,0.0
C,2,accepted_complete,unlabeled,0,531585759,439062311,374383518,0,0.0,0.0,0.0,3663.0864600284417,0,0.0,0.0,0.0,7.075052824489996,0.8526888066236229,0.0
C,2,accepted_complete,unlabeled,1,53975689,42672526,9497119,0,0.0,0.0,0.0,6046595.317512667,0,0.0,0.0,0.0,0.6650543160750404,0.22255816306726253,0.0
C,2,accepted_complete,unlabeled,2,19008152,14700865,3824551,0,0.0,0.0,0.0,2560121.5740193874,0,0.0,0.0,0.0,0.23735643708748025,0.2601582287844967,0.0
D,1,accepted_complete,labeled,0,854142800,854142800,623041041,0,43481055.61676545,19533921.1087246,0.0,19533921.1087246,0,0.0,0.0,0.0,11.360452042872726,0.7294342831198718,0.0
D,1,accepted_complete,labeled,1,72112400,72112400,24962051,0,62265074.319535725,21377848.012002863,0.0,21377848.012002863,0,0.0,0.0,0.0,0.9307810838453082,0.3461547667252789,0.0
D,1,accepted_complete,labeled,2,17463200,17463200,3408844,0,5131511.067186294,2005634.1518642271,0.0,2005634.1518642271,0,0.0,0.0,0.0,0.22802757143804098,0.19520156672316644,0.0
D,1,accepted_complete,unlabeled,0,826826882,666276362,540996083,0,3595695.908655824,357883.16087803565,0.0,357883.16087803565,0,0.0,0.0,0.0,11.001471228373413,0.8119694977262303,0.0
