arm,stage,attempt,completed_epochs,logged_epoch_seconds,logged_step_seconds,step_seconds_mean,step_seconds_p95,student_parameters_bytes,student_buffers_bytes,teacher_parameters_bytes,teacher_buffers_bytes,gradient_bytes,optimizer_bytes,prototype_bytes,max_full_models,max_allocated,max_reserved,cpu_max_rss_kib,target_logical_tensor_bytes_max,gas_autograd_seconds,forward,gas_autograd,diagnostic_autograd,backward,optimizer_steps,counter_evidence
common,0,accepted_complete,100,2920.9773977820296,2639.52401451068,0.329940501813835,0.43887033083010457,1936064,0,0,0,1932608,3865412,195,1,512294912,597688320,1493260,0,665.7780367543455,8000,8000,3,8000,8000,completed stage receipt
S,1,accepted_complete,100,655.4387328055454,549.9814557275968,0.17186920491487398,0.22532236237311734,1936064,0,0,0,1932608,3865412,195,1,512294912,597688320,1438788,0,128.0277828722028,3200,3200,3,3200,3200,completed stage receipt
S,2,accepted_complete,100,441.6144395065494,369.93874573975336,0.17616130749512066,0.2251423708628863,1936064,0,0,0,1932608,3865412,195,1,512294912,597688320,1465744,0,85.71156130242161,2100,2100,3,2100,2100,completed stage receipt
A,1,accepted_complete,100,1445.0926742814481,1269.153758380562,0.39661054949392566,0.5907163182098883,1936064,0,1936064,0,1932608,3865412,195,2,950381056,1067450368,1523976,0,197.8248554780148,9888,3200,3,3200,3200,completed stage receipt
A,2,accepted_complete,100,587.22442542715,474.3488055499038,0.22588038359519227,0.3430774234991986,1936064,0,1936064,0,1932608,3865412,195,2,950381056,1067450368,1473440,0,70.09793002007063,6480,2100,3,2100,2100,completed stage receipt
B,1,accepted_complete,100,1042.8966988306493,876.0285278819501,0.27375891496310945,0.3629068110138178,1936064,0,0,0,1932608,3865412,195,1,940119552,1052770304,1502332,0,131.77299104665872,9888,3200,3,3200,3200,completed stage receipt
B,2,accepted_complete,100,665.7565187589498,557.3919724622974,0.2654247487915702,0.3652649681898765,1936064,0,0,0,1932608,3865412,195,1,940119552,1052770304,1490128,0,77.5149713960709,6480,2100,3,2100,2100,completed stage receipt
C,1,accepted_complete,100,2044.1335795249324,1862.9436906845076,0.5821699033389086,0.8358441496791783,1936064,0,1936064,0,1932608,3865412,195,2,992212992,1119879168,1503696,47185920,211.15865356032737,16288,3200,3,3200,3200,completed stage receipt
C,2,accepted_complete,100,725.1438397814054,616.6833885012893,0.2936587564291854,0.439383162627928,1936064,0,1936064,0,1932608,3865412,195,2,992212992,1119879168,1483472,47185920,74.57251287193503,10680,2100,3,2100,2100,completed stage receipt
D,1,accepted_complete,100,1404.9366925640497,1235.589786000317,0.38612180812509905,0.4617636695445981,1936064,0,1936064,0,1932608,3865412,195,2,992212992,1119879168,1503508,47185920,151.44732607214246,16288,3200,3,3200,3200,completed stage receipt
D,2,accepted_complete,100,327.90670901397243,228.03177670866717,0.10858656033746056,0.11082220317912288,1936064,0,1936064,0,1932608,3865412,195,2,992212992,1119879168,1534968,47185920,17.28275882813614,10680,2100,3,2100,2100,completed stage receipt
E,1,discarded_entropy_failure,0,0,1.9874164040666074,1.9874164040666074,1.9874164040666074,,,,,,,,,,,,47185920,0.23552832705900073,10,2,3,1,1,checkpoint counters plus deterministic executed failure path; no failed optimizer step counted
E,1,bracket_failure,47,893.8249888075516,817.8618564987555,0.5427085975439652,0.9282770068035462,1936064,0,1936064,0,1932608,3865412,195,2,992212992,1126170624,1492164,47185920,48.28993892960716,7668,1508,3,1507,1507,checkpoint counters plus deterministic executed failure path; no failed optimizer step counted
