arm,stage,domain,background,rim,cup
S,1,REFUGE,0.9765221572374181,0.6245766329158066,0.7529760267987815
S,1,RIM_ONE_r3,0.9883081781179964,0.7320408176355061,0.6742879662297613
S,2,REFUGE,0.9852209292273926,0.6411072101017933,0.6128877672375647
S,2,RIM_ONE_r3,0.9709309200468997,0.3373755324563426,0.5113047624496971
S,2,Drishti_GS,0.9858973904802302,0.6673525185172486,0.7457152979081902
A,1,REFUGE,0.9759431328849878,0.6115269100921236,0.7296700809922292
A,1,RIM_ONE_r3,0.9878197419679589,0.7343202497957215,0.673007672541903
A,2,REFUGE,0.9846813400927114,0.6416057767133144,0.6493998702607202
A,2,RIM_ONE_r3,0.9700574693252865,0.2600684221619838,0.46111069632077245
A,2,Drishti_GS,0.9867768980312944,0.6680487771118456,0.7617902566477299
B,1,REFUGE,0.9790412600596612,0.6751457220446262,0.7630102453186653
B,1,RIM_ONE_r3,0.9836845164478591,0.7450409530616782,0.6704269986992815
B,2,REFUGE,0.8565808591541803,0.4379446963958897,0.6840227104973658
B,2,RIM_ONE_r3,0.6892915395522061,0.10765941456084833,0.4398767805964132
B,2,Drishti_GS,0.9190660599101078,0.6061088177343491,0.7467677040484868
C,1,REFUGE,0.9861601345319159,0.7762097463786047,0.8211573793204362
C,1,RIM_ONE_r3,0.9863871635996336,0.7207795492509244,0.6839339444215856
C,2,REFUGE,0.9873848636269672,0.7906764980439346,0.8092220332385922
C,2,RIM_ONE_r3,0.9870372788038368,0.7111036974587795,0.6787519376789898
C,2,Drishti_GS,0.9749773403324221,0.5386063570905775,0.5767445283588813
D,1,REFUGE,0.981689826742519,0.706352627013005,0.7575795619360527
D,1,RIM_ONE_r3,0.9878490420654661,0.7548082754704478,0.7026608489914585
D,2,REFUGE,0.9894658050686165,0.8278230164156717,0.7997725857479581
D,2,RIM_ONE_r3,0.9811436987371118,0.6866749683490749,0.6560920103246881
D,2,Drishti_GS,0.9895644125541894,0.7030693297026374,0.6351047008700549
S,0,REFUGE,0.9916794401368313,0.8511931220934172,0.8345808742832146
A,0,REFUGE,0.9916794401368313,0.8511931220934172,0.8345808742832146
B,0,REFUGE,0.9916794401368313,0.8511931220934172,0.8345808742832146
C,0,REFUGE,0.9916794401368313,0.8511931220934172,0.8345808742832146
D,0,REFUGE,0.9916794401368313,0.8511931220934172,0.8345808742832146
E,0,REFUGE,0.9916794401368313,0.8511931220934172,0.8345808742832146
