arm,stage,domain,domain_index,macro_fg_dice,background_dice,rim_dice,cup_dice,mean_iou,cases,evaluable_cases,evaluable_macro_fg_dice,empty_support_evidence
S,1,REFUGE,0,0.6887763298572939,0.9765221572374181,0.6245766329158066,0.7529760267987815,0.6814642194566959,100,100,0.6887763298572939,False
S,1,RIM_ONE_r3,1,0.7031643919326337,0.9883081781179964,0.7320408176355061,0.6742879662297613,0.7068113804651943,40,40,0.7031643919326337,False
S,2,REFUGE,0,0.626997488669679,0.9852209292273926,0.6411072101017933,0.6128877672375647,0.642670524613974,100,100,0.626997488669679,False
S,2,RIM_ONE_r3,1,0.42434014745301984,0.9709309200468997,0.3373755324563426,0.5113047624496971,0.5134182358469143,40,40,0.42434014745301984,False
S,2,Drishti_GS,2,0.7065339082127194,0.9858973904802302,0.6673525185172486,0.7457152979081902,0.7066328158770122,25,25,0.7065339082127194,False
A,1,REFUGE,0,0.6705984955421763,0.9759431328849878,0.6115269100921236,0.7296700809922292,0.6666051186757713,100,100,0.6705984955421763,False
A,1,RIM_ONE_r3,1,0.7036639611688122,0.9878197419679589,0.7343202497957215,0.673007672541903,0.7064632079489608,40,40,0.7036639611688122,False
A,2,REFUGE,0,0.6455028234870172,0.9846813400927114,0.6416057767133144,0.6493998702607202,0.654770887620192,100,100,0.6455028234870172,False
A,2,RIM_ONE_r3,1,0.36058955924137803,0.9700574693252865,0.2600684221619838,0.46111069632077245,0.4770664714463485,40,40,0.36058955924137803,False
A,2,Drishti_GS,2,0.7149195168797877,0.9867768980312944,0.6680487771118456,0.7617902566477299,0.7101482641539515,25,25,0.7149195168797877,False
B,1,REFUGE,0,0.7190779836816459,0.9790412600596612,0.6751457220446262,0.7630102453186653,0.7059677113409929,100,100,0.7190779836816459,False
B,1,RIM_ONE_r3,1,0.7077339758804799,0.9836845164478591,0.7450409530616782,0.6704269986992815,0.7093697739547239,40,40,0.7077339758804799,False
B,2,REFUGE,0,0.5609837034466277,0.8565808591541803,0.4379446963958897,0.6840227104973658,0.5400968601072434,100,100,0.5609837034466277,False
B,2,RIM_ONE_r3,1,0.2737680975786308,0.6892915395522061,0.10765941456084833,0.4398767805964132,0.30483469836565613,40,40,0.2737680975786308,False
B,2,Drishti_GS,2,0.676438260891418,0.9190660599101078,0.6061088177343491,0.7467677040484868,0.6532439273993584,25,25,0.676438260891418,False
C,1,REFUGE,0,0.7986835628495202,0.9861601345319159,0.7762097463786047,0.8211573793204362,0.7736791000154568,100,100,0.7986835628495202,False
C,1,RIM_ONE_r3,1,0.7023567468362548,0.9863871635996336,0.7207795492509244,0.6839339444215856,0.7005022878147378,40,40,0.7023567468362548,False
C,2,REFUGE,0,0.7999492656412633,0.9873848636269672,0.7906764980439346,0.8092220332385922,0.7765813729095747,100,100,0.7999492656412633,False
C,2,RIM_ONE_r3,1,0.6949278175688847,0.9870372788038368,0.7111036974587795,0.6787519376789898,0.6940650810560198,40,40,0.6949278175688847,False
C,2,Drishti_GS,2,0.5576754427247295,0.9749773403324221,0.5386063570905775,0.5767445283588813,0.5888624306120742,25,25,0.5576754427247295,False
D,1,REFUGE,0,0.7319660944745289,0.981689826742519,0.706352627013005,0.7575795619360527,0.7166955786858786,100,100,0.7319660944745289,False
D,1,RIM_ONE_r3,1,0.7287345622309532,0.9878490420654661,0.7548082754704478,0.7026608489914585,0.7274231987559825,40,40,0.7287345622309532,False
D,2,REFUGE,0,0.8137978010818149,0.9894658050686165,0.8278230164156717,0.7997725857479581,0.7904424563888978,100,100,0.8137978010818149,False
D,2,RIM_ONE_r3,1,0.6713834893368815,0.9811436987371118,0.6866749683490749,0.6560920103246881,0.6713197936758141,40,40,0.6713834893368815,False
D,2,Drishti_GS,2,0.6690870152863461,0.9895644125541894,0.7030693297026374,0.6351047008700549,0.6734923925617554,25,25,0.6690870152863461,False
S,0,REFUGE,0,0.8428869981883159,0.9916794401368313,0.8511931220934172,0.8345808742832146,0.8191735401619817,100,100,0.8428869981883159,False
A,0,REFUGE,0,0.8428869981883159,0.9916794401368313,0.8511931220934172,0.8345808742832146,0.8191735401619817,100,100,0.8428869981883159,False
B,0,REFUGE,0,0.8428869981883159,0.9916794401368313,0.8511931220934172,0.8345808742832146,0.8191735401619817,100,100,0.8428869981883159,False
C,0,REFUGE,0,0.8428869981883159,0.9916794401368313,0.8511931220934172,0.8345808742832146,0.8191735401619817,100,100,0.8428869981883159,False
D,0,REFUGE,0,0.8428869981883159,0.9916794401368313,0.8511931220934172,0.8345808742832146,0.8191735401619817,100,100,0.8428869981883159,False
E,0,REFUGE,0,0.8428869981883159,0.9916794401368313,0.8511931220934172,0.8345808742832146,0.8191735401619817,100,100,0.8428869981883159,False
