seed,domain,arm,model,epochs,mean,median,sample_SD,minimum,maximum,positive,negative,zero,values,interpretation
31,RIM_ONE_r3,SUP,student,60/80/100,0.7021488072670264,0.7024333236357319,0.0005248321922907237,0.7015431522149472,0.7024699459504001,3,0,0,"[0.7024333236357319, 0.7015431522149472, 0.7024699459504001]","within-trajectory late fluctuation, not independent seeds"
31,RIM_ONE_r3,SUP,ema,60/80/100,0.70546119379008,0.7059625566769168,0.0028880458995067426,0.7023552915917225,0.7080657331016006,3,0,0,"[0.7080657331016006, 0.7059625566769168, 0.7023552915917225]","within-trajectory late fluctuation, not independent seeds"
31,RIM_ONE_r3,T_SCE,student,60/80/100,0.7022558391200432,0.7041687182345513,0.004123009907195452,0.6975238359207894,0.705074963204789,3,0,0,"[0.6975238359207894, 0.705074963204789, 0.7041687182345513]","within-trajectory late fluctuation, not independent seeds"
31,RIM_ONE_r3,T_SCE,ema,60/80/100,0.7071475883289935,0.7077102475830908,0.0020171727593393846,0.7049088249575093,0.7088236924463803,3,0,0,"[0.7077102475830908, 0.7088236924463803, 0.7049088249575093]","within-trajectory late fluctuation, not independent seeds"
31,Drishti_GS,SUP,student,60/80/100,0.7145680591080399,0.7148023311313058,0.0020140807127131395,0.7124470871296523,0.7164547590631615,3,0,0,"[0.7164547590631615, 0.7148023311313058, 0.7124470871296523]","within-trajectory late fluctuation, not independent seeds"
31,Drishti_GS,SUP,ema,60/80/100,0.7189710445491206,0.7184023620093862,0.0057417438712534545,0.7135348025611523,0.7249759690768233,3,0,0,"[0.7249759690768233, 0.7184023620093862, 0.7135348025611523]","within-trajectory late fluctuation, not independent seeds"
31,Drishti_GS,T_SCE,student,60/80/100,0.7113503123381297,0.7117624973494081,0.007244653542186177,0.7039083658688129,0.7183800737961681,3,0,0,"[0.7183800737961681, 0.7117624973494081, 0.7039083658688129]","within-trajectory late fluctuation, not independent seeds"
31,Drishti_GS,T_SCE,ema,60/80/100,0.7106396396580797,0.7104314116188766,0.004189866928309312,0.7065577692427237,0.7149297381126389,3,0,0,"[0.7149297381126389, 0.7104314116188766, 0.7065577692427237]","within-trajectory late fluctuation, not independent seeds"
32,RIM_ONE_r3,SUP,student,60/80/100,0.6830180532429307,0.6797254421041519,0.008369736051937495,0.6767953362875275,0.6925333813371128,3,0,0,"[0.6767953362875275, 0.6925333813371128, 0.6797254421041519]","within-trajectory late fluctuation, not independent seeds"
32,RIM_ONE_r3,SUP,ema,60/80/100,0.6916908328167521,0.6953155753313378,0.01062182051423333,0.6797310972556706,0.7000258258632479,3,0,0,"[0.7000258258632479, 0.6953155753313378, 0.6797310972556706]","within-trajectory late fluctuation, not independent seeds"
32,RIM_ONE_r3,T_SCE,student,60/80/100,0.6934964650799971,0.6940148788848689,0.011029968905121437,0.6822164301962734,0.7042580861588489,3,0,0,"[0.6822164301962734, 0.7042580861588489, 0.6940148788848689]","within-trajectory late fluctuation, not independent seeds"
32,RIM_ONE_r3,T_SCE,ema,60/80/100,0.6948296382290126,0.6944784369681494,0.0034873361496146533,0.6915311912667671,0.6984792864521212,3,0,0,"[0.6915311912667671, 0.6984792864521212, 0.6944784369681494]","within-trajectory late fluctuation, not independent seeds"
32,Drishti_GS,SUP,student,60/80/100,0.6810173151292144,0.6754503381486054,0.013983110514019079,0.6706751053477963,0.6969265018912413,3,0,0,"[0.6969265018912413, 0.6754503381486054, 0.6706751053477963]","within-trajectory late fluctuation, not independent seeds"
