phase,arm,baseline,seed,mean,median,sample_SD,minimum,maximum,positive,negative,zero,values,delta
P1,SUP_CED,SUP_CE,all,0.0033260119120716394,0.002933743630352481,0.0185554880763849,-0.01503023201429321,0.022074524120155647,2,1,0,"[-0.01503023201429321, 0.022074524120155647, 0.002933743630352481]",
P1,SUP_CED,SUP_CE,31,,,,,,,,,,-0.01503023201429321
P1,SUP_CED,SUP_CE,32,,,,,,,,,,0.022074524120155647
P1,SUP_CED,SUP_CE,33,,,,,,,,,,0.002933743630352481
P1,MT_CED,SUP_CED,all,-0.005485388512997884,-0.008056144744243321,0.00548499358534148,-0.009212850304141762,0.0008128295093914328,1,2,0,"[-0.009212850304141762, 0.0008128295093914328, -0.008056144744243321]",
P1,MT_CED,SUP_CED,31,,,,,,,,,,-0.009212850304141762
P1,MT_CED,SUP_CED,32,,,,,,,,,,0.0008128295093914328
P1,MT_CED,SUP_CED,33,,,,,,,,,,-0.008056144744243321
P1,MIX_CTX,SUP_CED,all,0.030880475440295818,0.03247437905714412,0.009097853634380447,0.021090996501094805,0.03907605076264853,3,0,0,"[0.03247437905714412, 0.021090996501094805, 0.03907605076264853]",
P1,MIX_CTX,SUP_CED,31,,,,,,,,,,0.03247437905714412
P1,MIX_CTX,SUP_CED,32,,,,,,,,,,0.021090996501094805
P1,MIX_CTX,SUP_CED,33,,,,,,,,,,0.03907605076264853
P1,MIX_CED,MIX_CTX,all,0.005636276480689688,0.0034634157745220273,0.006264008438074615,0.0007480261748625816,0.012697387492684453,3,0,0,"[0.0007480261748625816, 0.012697387492684453, 0.0034634157745220273]",
P1,MIX_CED,MIX_CTX,31,,,,,,,,,,0.0007480261748625816
P1,MIX_CED,MIX_CTX,32,,,,,,,,,,0.012697387492684453
P1,MIX_CED,MIX_CTX,33,,,,,,,,,,0.0034634157745220273
P1,MIX_CED,MT_CED,all,0.04200214043398339,0.042435255536148464,0.008818009520373551,0.032975554484387826,0.05059561128141388,3,0,0,"[0.042435255536148464, 0.032975554484387826, 0.05059561128141388]",
P1,MIX_CED,MT_CED,31,,,,,,,,,,0.042435255536148464
P1,MIX_CED,MT_CED,32,,,,,,,,,,0.032975554484387826
P1,MIX_CED,MT_CED,33,,,,,,,,,,0.05059561128141388
P1,MIX_CED,SUP_CED,all,0.0365167519209855,0.03378838399377926,0.0052234951422109295,0.0332224052320067,0.042539466537170556,3,0,0,"[0.0332224052320067, 0.03378838399377926, 0.042539466537170556]",
P1,MIX_CED,SUP_CED,31,,,,,,,,,,0.0332224052320067
P1,MIX_CED,SUP_CED,32,,,,,,,,,,0.03378838399377926
P1,MIX_CED,SUP_CED,33,,,,,,,,,,0.042539466537170556
P1,MIX_CED,SUP_CE,all,0.03984276383305715,0.04547321016752304,0.019456297472780472,0.018192173217713492,0.055862908113934906,3,0,0,"[0.018192173217713492, 0.055862908113934906, 0.04547321016752304]",
P1,MIX_CED,SUP_CE,31,,,,,,,,,,0.018192173217713492
P1,MIX_CED,SUP_CE,32,,,,,,,,,,0.055862908113934906
P1,MIX_CED,SUP_CE,33,,,,,,,,,,0.04547321016752304
P2,SUP_CED,SUP_CE,all,-0.010337485360936538,-0.010337485360936538,0.015036212554371136,-0.020969693221494667,0.00029472249962159136,1,1,0,"[-0.020969693221494667, 0.00029472249962159136]",
P2,SUP_CED,SUP_CE,41,,,,,,,,,,-0.020969693221494667
P2,SUP_CED,SUP_CE,42,,,,,,,,,,0.00029472249962159136
P2,MIX_CED,SUP_CE,all,0.036491548159803766,0.036491548159803766,0.006279369454524812,0.0320513634369336,0.04093173288267393,2,0,0,"[0.0320513634369336, 0.04093173288267393]",
P2,MIX_CED,SUP_CE,41,,,,,,,,,,0.0320513634369336
P2,MIX_CED,SUP_CE,42,,,,,,,,,,0.04093173288267393
P2,MIX_CED,SUP_CED,all,0.046829033520740304,0.046829033520740304,0.008756843099846324,0.04063701038305234,0.05302105665842827,2,0,0,"[0.05302105665842827, 0.04063701038305234]",
P2,MIX_CED,SUP_CED,41,,,,,,,,,,0.05302105665842827
P2,MIX_CED,SUP_CED,42,,,,,,,,,,0.04063701038305234
P2,MIX_CED,MIX_CTX,all,0.006228107417034445,0.006228107417034445,0.004048972063524917,0.003365051814081088,0.009091163019987802,2,0,0,"[0.003365051814081088, 0.009091163019987802]",
P2,MIX_CED,MIX_CTX,41,,,,,,,,,,0.003365051814081088
P2,MIX_CED,MIX_CTX,42,,,,,,,,,,0.009091163019987802
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,all,-0.0021393869971316317,0.00029472249962159136,0.016872532062211017,-0.020969693221494667,0.022074524120155647,3,2,0,"[-0.01503023201429321, 0.022074524120155647, 0.002933743630352481, -0.020969693221494667, 0.00029472249962159136]",
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,31,,,,,,,,,,-0.01503023201429321
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,32,,,,,,,,,,0.022074524120155647
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,33,,,,,,,,,,0.002933743630352481
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,41,,,,,,,,,,-0.020969693221494667
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,42,,,,,,,,,,0.00029472249962159136
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,all,0.03850227756375579,0.04093173288267393,0.01423026949175118,0.018192173217713492,0.055862908113934906,5,0,0,"[0.018192173217713492, 0.055862908113934906, 0.04547321016752304, 0.0320513634369336, 0.04093173288267393]",
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,31,,,,,,,,,,0.018192173217713492
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,32,,,,,,,,,,0.055862908113934906
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,33,,,,,,,,,,0.04547321016752304
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,41,,,,,,,,,,0.0320513634369336
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,42,,,,,,,,,,0.04093173288267393
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,all,0.04064166456088743,0.04063701038305234,0.008044623767273057,0.0332224052320067,0.05302105665842827,5,0,0,"[0.0332224052320067, 0.03378838399377926, 0.042539466537170556, 0.05302105665842827, 0.04063701038305234]",
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,31,,,,,,,,,,0.0332224052320067
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,32,,,,,,,,,,0.03378838399377926
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,33,,,,,,,,,,0.042539466537170556
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,41,,,,,,,,,,0.05302105665842827
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,42,,,,,,,,,,0.04063701038305234
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,MIX_CTX,all,0.005873008855227591,0.0034634157745220273,0.0048808322759649,0.0007480261748625816,0.012697387492684453,5,0,0,"[0.0007480261748625816, 0.012697387492684453, 0.0034634157745220273, 0.003365051814081088, 0.009091163019987802]",
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,MIX_CTX,31,,,,,,,,,,0.0007480261748625816
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,MIX_CTX,32,,,,,,,,,,0.012697387492684453
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,MIX_CTX,33,,,,,,,,,,0.0034634157745220273
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,MIX_CTX,41,,,,,,,,,,0.003365051814081088
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,MIX_CTX,42,,,,,,,,,,0.009091163019987802
