phase,seed,domain,arm,updates,status
P1,31,RIM_ONE_r3,SUP_CED,3200,TRAINING_COMPLETE
P1,31,Drishti_GS,SUP_CED,2100,TRAINING_COMPLETE
P1,31,RIM_ONE_r3,MT_CED,3200,TRAINING_COMPLETE
P1,31,Drishti_GS,MT_CED,2100,TRAINING_COMPLETE
P1,31,RIM_ONE_r3,MIX_CTX,3200,TRAINING_COMPLETE
P1,31,Drishti_GS,MIX_CTX,2100,TRAINING_COMPLETE
P1,31,RIM_ONE_r3,MIX_CED,3200,TRAINING_COMPLETE
P1,31,Drishti_GS,MIX_CED,2100,TRAINING_COMPLETE
P1,32,RIM_ONE_r3,SUP_CED,3200,TRAINING_COMPLETE
P1,32,Drishti_GS,SUP_CED,2100,TRAINING_COMPLETE
P1,32,RIM_ONE_r3,MT_CED,3200,TRAINING_COMPLETE
P1,32,Drishti_GS,MT_CED,2100,TRAINING_COMPLETE
P1,32,RIM_ONE_r3,MIX_CTX,3200,TRAINING_COMPLETE
P1,32,Drishti_GS,MIX_CTX,2100,TRAINING_COMPLETE
P1,32,RIM_ONE_r3,MIX_CED,3200,TRAINING_COMPLETE
P1,32,Drishti_GS,MIX_CED,2100,TRAINING_COMPLETE
P1,33,RIM_ONE_r3,SUP_CED,3200,TRAINING_COMPLETE
P1,33,Drishti_GS,SUP_CED,2100,TRAINING_COMPLETE
P1,33,RIM_ONE_r3,MT_CED,3200,TRAINING_COMPLETE
P1,33,Drishti_GS,MT_CED,2100,TRAINING_COMPLETE
P1,33,RIM_ONE_r3,MIX_CTX,3200,TRAINING_COMPLETE
P1,33,Drishti_GS,MIX_CTX,2100,TRAINING_COMPLETE
P1,33,RIM_ONE_r3,MIX_CED,3200,TRAINING_COMPLETE
P1,33,Drishti_GS,MIX_CED,2100,TRAINING_COMPLETE
P2,41,RIM_ONE_r3,SUP_CE,3200,TRAINING_COMPLETE
P2,41,Drishti_GS,SUP_CE,2100,TRAINING_COMPLETE
P2,41,RIM_ONE_r3,SUP_CED,3200,TRAINING_COMPLETE
P2,41,Drishti_GS,SUP_CED,2100,TRAINING_COMPLETE
P2,41,RIM_ONE_r3,MIX_CTX,3200,TRAINING_COMPLETE
P2,41,Drishti_GS,MIX_CTX,2100,TRAINING_COMPLETE
P2,41,RIM_ONE_r3,MIX_CED,3200,TRAINING_COMPLETE
P2,41,Drishti_GS,MIX_CED,2100,TRAINING_COMPLETE
P2,42,RIM_ONE_r3,SUP_CE,3200,TRAINING_COMPLETE
P2,42,Drishti_GS,SUP_CE,2100,TRAINING_COMPLETE
P2,42,RIM_ONE_r3,SUP_CED,3200,TRAINING_COMPLETE
P2,42,Drishti_GS,SUP_CED,2100,TRAINING_COMPLETE
P2,42,RIM_ONE_r3,MIX_CTX,3200,TRAINING_COMPLETE
P2,42,Drishti_GS,MIX_CTX,2100,TRAINING_COMPLETE
P2,42,RIM_ONE_r3,MIX_CED,3200,TRAINING_COMPLETE
P2,42,Drishti_GS,MIX_CED,2100,TRAINING_COMPLETE
