phase,seed,domain,arm,epoch,class_id,steps,L_class_pixels,L_records,U_unique_batch_sources,U_context_records,mix_steps,all_ignore_L,CE,GT_Dice,dice_weight,SCE,target_entropy,KL,lambda_cons,weighted_GT_Dice,weighted_U_SCE,U_target_applicable,unit,U_predicted,U_accepted
P1,31,RIM_ONE_r3,SUP_CED,1,0,32,8541428,64,0,0,0,0,6.9436891078948975,21.691244053325686,32,0.0,0.0,0.0,0.0,21.691244053325686,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,1,1,32,721124,64,0,0,0,0,6.9436891078948975,21.691244053325686,32,0.0,0.0,0.0,0.0,21.691244053325686,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,1,2,32,174632,64,0,0,0,0,6.9436891078948975,21.691244053325686,32,0.0,0.0,0.0,0.0,21.691244053325686,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,2,0,32,8541428,64,0,0,0,0,3.435631848871708,16.03464136631844,32,0.0,0.0,0.0,0.0,16.03464136631844,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,2,1,32,721124,64,0,0,0,0,3.435631848871708,16.03464136631844,32,0.0,0.0,0.0,0.0,16.03464136631844,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,2,2,32,174632,64,0,0,0,0,3.435631848871708,16.03464136631844,32,0.0,0.0,0.0,0.0,16.03464136631844,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,3,0,32,8541428,64,0,0,0,0,3.109354257583618,13.213466855820354,32,0.0,0.0,0.0,0.0,13.213466855820354,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,3,1,32,721124,64,0,0,0,0,3.109354257583618,13.213466855820354,32,0.0,0.0,0.0,0.0,13.213466855820354,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,3,2,32,174632,64,0,0,0,0,3.109354257583618,13.213466855820354,32,0.0,0.0,0.0,0.0,13.213466855820354,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,4,0,32,8541428,64,0,0,0,0,3.1029276438057423,12.6549007340148,32,0.0,0.0,0.0,0.0,12.6549007340148,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,4,1,32,721124,64,0,0,0,0,3.1029276438057423,12.6549007340148,32,0.0,0.0,0.0,0.0,12.6549007340148,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,4,2,32,174632,64,0,0,0,0,3.1029276438057423,12.6549007340148,32,0.0,0.0,0.0,0.0,12.6549007340148,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,5,0,32,8541428,64,0,0,0,0,2.97024854645133,12.129744568568679,32,0.0,0.0,0.0,0.0,12.129744568568679,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,5,1,32,721124,64,0,0,0,0,2.97024854645133,12.129744568568679,32,0.0,0.0,0.0,0.0,12.129744568568679,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,5,2,32,174632,64,0,0,0,0,2.97024854645133,12.129744568568679,32,0.0,0.0,0.0,0.0,12.129744568568679,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,6,0,32,8541428,64,0,0,0,0,2.7271221205592155,11.214302278160998,32,0.0,0.0,0.0,0.0,11.214302278160998,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,6,1,32,721124,64,0,0,0,0,2.7271221205592155,11.214302278160998,32,0.0,0.0,0.0,0.0,11.214302278160998,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,6,2,32,174632,64,0,0,0,0,2.7271221205592155,11.214302278160998,32,0.0,0.0,0.0,0.0,11.214302278160998,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,7,0,32,8541428,64,0,0,0,0,2.5347972437739372,10.049731665805842,32,0.0,0.0,0.0,0.0,10.049731665805842,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,7,1,32,721124,64,0,0,0,0,2.5347972437739372,10.049731665805842,32,0.0,0.0,0.0,0.0,10.049731665805842,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,7,2,32,174632,64,0,0,0,0,2.5347972437739372,10.049731665805842,32,0.0,0.0,0.0,0.0,10.049731665805842,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,8,0,32,8541428,64,0,0,0,0,2.6126835010945797,10.116868613928428,32,0.0,0.0,0.0,0.0,10.116868613928428,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,8,1,32,721124,64,0,0,0,0,2.6126835010945797,10.116868613928428,32,0.0,0.0,0.0,0.0,10.116868613928428,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,8,2,32,174632,64,0,0,0,0,2.6126835010945797,10.116868613928428,32,0.0,0.0,0.0,0.0,10.116868613928428,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,9,0,32,8541428,64,0,0,0,0,2.260628867894411,9.109696238248324,32,0.0,0.0,0.0,0.0,9.109696238248324,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,9,1,32,721124,64,0,0,0,0,2.260628867894411,9.109696238248324,32,0.0,0.0,0.0,0.0,9.109696238248324,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,9,2,32,174632,64,0,0,0,0,2.260628867894411,9.109696238248324,32,0.0,0.0,0.0,0.0,9.109696238248324,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,10,0,32,8541428,64,0,0,0,0,2.287802517414093,8.638614368588566,32,0.0,0.0,0.0,0.0,8.638614368588566,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,10,1,32,721124,64,0,0,0,0,2.287802517414093,8.638614368588566,32,0.0,0.0,0.0,0.0,8.638614368588566,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,10,2,32,174632,64,0,0,0,0,2.287802517414093,8.638614368588566,32,0.0,0.0,0.0,0.0,8.638614368588566,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,11,0,32,8541428,64,0,0,0,0,2.0902046374976635,7.8590042869230965,32,0.0,0.0,0.0,0.0,7.8590042869230965,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,11,1,32,721124,64,0,0,0,0,2.0902046374976635,7.8590042869230965,32,0.0,0.0,0.0,0.0,7.8590042869230965,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
