phase,resampling,seed_scope,arm,baseline,replicates,analysis_seed,lower_95,upper_95,contains_zero,interpretation
P1,patient,all,SUP_CED,SUP_CE,2000,2026090807,-0.009532626074719643,0.015654833099508016,True,fixed-model cohort uncertainty
P1,patient,31,SUP_CED,SUP_CE,2000,2026090807,-0.04321351241639778,0.00889788811881113,True,fixed-model cohort uncertainty
P1,patient,32,SUP_CED,SUP_CE,2000,2026090807,-0.003896738563587346,0.04668185123608963,True,fixed-model cohort uncertainty
P1,patient,33,SUP_CED,SUP_CE,2000,2026090807,-0.020250350057059795,0.025232696629846472,True,fixed-model cohort uncertainty
P1,patient,all,MT_CED,SUP_CED,2000,2026090807,-0.015201056092155421,0.003543673401575106,True,fixed-model cohort uncertainty
P1,patient,31,MT_CED,SUP_CED,2000,2026090807,-0.022821919816699985,0.0035298440138138596,True,fixed-model cohort uncertainty
P1,patient,32,MT_CED,SUP_CED,2000,2026090807,-0.011878530667980664,0.013033328628763845,True,fixed-model cohort uncertainty
P1,patient,33,MT_CED,SUP_CED,2000,2026090807,-0.028701250791697795,0.012469293492930522,True,fixed-model cohort uncertainty
P1,patient,all,MIX_CTX,SUP_CED,2000,2026090807,0.006304418940834935,0.056091794277187,False,fixed-model cohort uncertainty
P1,patient,31,MIX_CTX,SUP_CED,2000,2026090807,0.0006241834568084387,0.06614556701382712,False,fixed-model cohort uncertainty
P1,patient,32,MIX_CTX,SUP_CED,2000,2026090807,-0.011376956829331894,0.05351545914558009,True,fixed-model cohort uncertainty
P1,patient,33,MIX_CTX,SUP_CED,2000,2026090807,0.00571459670790614,0.07231537258771786,False,fixed-model cohort uncertainty
P1,patient,all,MIX_CED,MIX_CTX,2000,2026090807,-0.0016469751738631393,0.01390030282949438,True,fixed-model cohort uncertainty
P1,patient,31,MIX_CED,MIX_CTX,2000,2026090807,-0.008916194939228687,0.01007146527761776,True,fixed-model cohort uncertainty
P1,patient,32,MIX_CED,MIX_CTX,2000,2026090807,-0.0009142182820641996,0.028117629117551102,True,fixed-model cohort uncertainty
P1,patient,33,MIX_CED,MIX_CTX,2000,2026090807,-0.013731292307773275,0.023845188078037257,True,fixed-model cohort uncertainty
P1,patient,all,MIX_CED,MT_CED,2000,2026090807,0.01592251119744879,0.06849751541509645,False,fixed-model cohort uncertainty
P1,patient,31,MIX_CED,MT_CED,2000,2026090807,0.005172946358752798,0.08079129759350939,False,fixed-model cohort uncertainty
P1,patient,32,MIX_CED,MT_CED,2000,2026090807,0.000721271735055426,0.06512023144094842,False,fixed-model cohort uncertainty
P1,patient,33,MIX_CED,MT_CED,2000,2026090807,0.021340677646051062,0.08129240944295865,False,fixed-model cohort uncertainty
P1,patient,all,MIX_CED,SUP_CED,2000,2026090807,0.010652974953595646,0.06182103355629934,False,fixed-model cohort uncertainty
P1,patient,31,MIX_CED,SUP_CED,2000,2026090807,-0.0005242936245556936,0.06813499607074874,True,fixed-model cohort uncertainty
P1,patient,32,MIX_CED,SUP_CED,2000,2026090807,0.0017632306221434999,0.06685833571982518,False,fixed-model cohort uncertainty
P1,patient,33,MIX_CED,SUP_CED,2000,2026090807,0.014729217856178872,0.07119109822532758,False,fixed-model cohort uncertainty
P1,patient,all,MIX_CED,SUP_CE,2000,2026090807,0.018249356597370644,0.06309226802606577,False,fixed-model cohort uncertainty
P1,patient,31,MIX_CED,SUP_CE,2000,2026090807,-0.010628993673947767,0.04639304837005937,True,fixed-model cohort uncertainty
P1,patient,32,MIX_CED,SUP_CE,2000,2026090807,0.024351127872859122,0.09093846208051591,False,fixed-model cohort uncertainty
P1,patient,33,MIX_CED,SUP_CE,2000,2026090807,0.014940425621354957,0.07564377808674386,False,fixed-model cohort uncertainty
P1,training_seed,all,SUP_CED,SUP_CE,2000,2026090807,-0.01503023201429321,0.022074524120155647,True,few-seed sensitivity; not precise coverage or independent patients
P1,training_seed,all,MT_CED,SUP_CED,2000,2026090807,-0.009212850304141762,0.0008128295093914328,True,few-seed sensitivity; not precise coverage or independent patients
P1,training_seed,all,MIX_CTX,SUP_CED,2000,2026090807,0.021090996501094805,0.03907605076264853,False,few-seed sensitivity; not precise coverage or independent patients
P1,training_seed,all,MIX_CED,MIX_CTX,2000,2026090807,0.0007480261748625816,0.012697387492684453,False,few-seed sensitivity; not precise coverage or independent patients
P1,training_seed,all,MIX_CED,MT_CED,2000,2026090807,0.032975554484387826,0.05059561128141388,False,few-seed sensitivity; not precise coverage or independent patients
P1,training_seed,all,MIX_CED,SUP_CED,2000,2026090807,0.0332224052320067,0.042539466537170556,False,few-seed sensitivity; not precise coverage or independent patients
P1,training_seed,all,MIX_CED,SUP_CE,2000,2026090807,0.018192173217713492,0.055862908113934906,False,few-seed sensitivity; not precise coverage or independent patients
P2,patient,all,SUP_CED,SUP_CE,2000,2026090807,-0.026327929942547235,0.008009565249411842,True,fixed-model cohort uncertainty
P2,patient,41,SUP_CED,SUP_CE,2000,2026090807,-0.04670630511544674,0.006297320045049289,True,fixed-model cohort uncertainty
P2,patient,42,SUP_CED,SUP_CE,2000,2026090807,-0.020541008877008778,0.02076419273761501,True,fixed-model cohort uncertainty
P2,patient,all,MIX_CED,SUP_CE,2000,2026090807,0.008086959298061677,0.06730595182465583,False,fixed-model cohort uncertainty
P2,patient,41,MIX_CED,SUP_CE,2000,2026090807,-0.005066612292157249,0.07127516273511357,True,fixed-model cohort uncertainty
P2,patient,42,MIX_CED,SUP_CE,2000,2026090807,0.01260811716380158,0.07085008972467596,False,fixed-model cohort uncertainty
P2,patient,all,MIX_CED,SUP_CED,2000,2026090807,0.020240894179215783,0.07680488256090476,False,fixed-model cohort uncertainty
P2,patient,41,MIX_CED,SUP_CED,2000,2026090807,0.021121922902503573,0.08736278187912076,False,fixed-model cohort uncertainty
P2,patient,42,MIX_CED,SUP_CED,2000,2026090807,0.010686703463254519,0.07080398388602935,False,fixed-model cohort uncertainty
P2,patient,all,MIX_CED,MIX_CTX,2000,2026090807,-0.0015759311329951674,0.01422237751288798,True,fixed-model cohort uncertainty
P2,patient,41,MIX_CED,MIX_CTX,2000,2026090807,-0.0076609165072327205,0.015801469481758586,True,fixed-model cohort uncertainty
P2,patient,42,MIX_CED,MIX_CTX,2000,2026090807,-0.0029792905972756104,0.02083333340161512,True,fixed-model cohort uncertainty
P2,training_seed,all,SUP_CED,SUP_CE,2000,2026090807,-0.020969693221494667,0.00029472249962159136,True,few-seed sensitivity; not precise coverage or independent patients
P2,training_seed,all,MIX_CED,SUP_CE,2000,2026090807,0.0320513634369336,0.04093173288267393,False,few-seed sensitivity; not precise coverage or independent patients
P2,training_seed,all,MIX_CED,SUP_CED,2000,2026090807,0.04063701038305234,0.05302105665842827,False,few-seed sensitivity; not precise coverage or independent patients
P2,training_seed,all,MIX_CED,MIX_CTX,2000,2026090807,0.003365051814081088,0.009091163019987802,False,few-seed sensitivity; not precise coverage or independent patients
