seed,domain,arm,successful_logged_updates,status
11,Drishti_GS,MT_CONF_G0,2100,COMPLETE
11,Drishti_GS,MT_CONF_G1,2100,COMPLETE
11,Drishti_GS,MT_PAS_G0,2100,COMPLETE
11,Drishti_GS,MT_PAS_G1,2100,COMPLETE
11,Drishti_GS,SUP_G0,2100,COMPLETE
11,Drishti_GS,SUP_G1,2100,COMPLETE
11,RIM_ONE_r3,MT_CONF_G0,3200,COMPLETE
11,RIM_ONE_r3,MT_CONF_G1,3200,COMPLETE
11,RIM_ONE_r3,MT_PAS_G0,3200,COMPLETE
11,RIM_ONE_r3,MT_PAS_G1,3200,COMPLETE
11,RIM_ONE_r3,SUP_G0,3200,COMPLETE
11,RIM_ONE_r3,SUP_G1,3200,COMPLETE
