epoch,domain,arm,seed,mode,library,filter,model,class_id,n_patients,n_replicate_rows,pooled_predicted,patient_mean_predicted,pooled_gt_pixels,patient_mean_gt_pixels,pooled_accepted,patient_mean_accepted,pooled_correct,patient_mean_correct,pooled_valid_pixels,patient_mean_valid_pixels,pooled_joint_valid,patient_mean_joint_valid,pooled_disagreement,patient_mean_disagreement,pooled_empty_set,patient_mean_empty_set,pooled_accepted_disagreement,patient_mean_accepted_disagreement,pooled_counts_unit,patient_mean_precision,n_patients_defined_precision,n_draws_defined_precision,pooled_precision,precision_status,patient_mean_prediction_coverage,n_patients_defined_prediction_coverage,n_draws_defined_prediction_coverage,pooled_prediction_coverage,prediction_coverage_status,patient_mean_image_coverage,n_patients_defined_image_coverage,n_draws_defined_image_coverage,pooled_image_coverage,image_coverage_status,patient_mean_accepted_correct_recall,n_patients_defined_accepted_correct_recall,n_draws_defined_accepted_correct_recall,pooled_accepted_correct_recall,accepted_correct_recall_status,patient_mean_joint_valid_coverage,n_patients_defined_joint_valid_coverage,n_draws_defined_joint_valid_coverage,pooled_joint_valid_coverage,joint_valid_coverage_status,patient_mean_disagreement_rate,n_patients_defined_disagreement_rate,n_draws_defined_disagreement_rate,pooled_disagreement_rate,disagreement_rate_status,patient_mean_accepted_disagreement_rate,n_patients_defined_accepted_disagreement_rate,n_draws_defined_accepted_disagreement_rate,pooled_accepted_disagreement_rate,accepted_disagreement_rate_status,kind,n_draws,n_permutation_rows,patient_mean_ECE_10_predicted_class_bins,n_patients_defined_ECE_10_predicted_class_bins,patient_mean_NLL,n_patients_defined_NLL,patient_mean_fraction_pmax_above_099,n_patients_defined_fraction_pmax_above_099,patient_mean_logit_q00,n_patients_defined_logit_q00,patient_mean_logit_q100,n_patients_defined_logit_q100,patient_mean_logit_q25,n_patients_defined_logit_q25,patient_mean_logit_q50,n_patients_defined_logit_q50,patient_mean_logit_q75,n_patients_defined_logit_q75,patient_mean_logit_q90,n_patients_defined_logit_q90,patient_mean_logit_q99,n_patients_defined_logit_q99,patient_mean_logit_range_q00,n_patients_defined_logit_range_q00,patient_mean_logit_range_q100,n_patients_defined_logit_range_q100,patient_mean_logit_range_q25,n_patients_defined_logit_range_q25,patient_mean_logit_range_q50,n_patients_defined_logit_range_q50,patient_mean_logit_range_q75,n_patients_defined_logit_range_q75,patient_mean_logit_range_q90,n_patients_defined_logit_range_q90,patient_mean_logit_range_q99,n_patients_defined_logit_range_q99,patient_mean_margin_q00,n_patients_defined_margin_q00,patient_mean_margin_q100,n_patients_defined_margin_q100,patient_mean_margin_q25,n_patients_defined_margin_q25,patient_mean_margin_q50,n_patients_defined_margin_q50,patient_mean_margin_q75,n_patients_defined_margin_q75,patient_mean_margin_q90,n_patients_defined_margin_q90,patient_mean_margin_q99,n_patients_defined_margin_q99,patient_mean_multiclass_Brier,n_patients_defined_multiclass_Brier,patient_mean_pmax_above_099,n_patients_defined_pmax_above_099,patient_mean_pmax_q00,n_patients_defined_pmax_q00,patient_mean_pmax_q100,n_patients_defined_pmax_q100,patient_mean_pmax_q25,n_patients_defined_pmax_q25,patient_mean_pmax_q50,n_patients_defined_pmax_q50,patient_mean_pmax_q75,n_patients_defined_pmax_q75,patient_mean_pmax_q90,n_patients_defined_pmax_q90,patient_mean_pmax_q99,n_patients_defined_pmax_q99,n_patients_defined_valid_pixels,patient_mean_wrong_foreground_confidence,n_patients_defined_wrong_foreground_confidence,patient_mean_wrong_foreground_count,n_patients_defined_wrong_foreground_count,unit
20,Drishti_GS,J_MSE,31,posterior_mean_clean,none,raw,student,0,25,25,3095127,123805.08,3099269,123970.76,3095127,123805.08,3055536,122221.44,3686400,147456.0,3686400,147456.0,82870,3314.8,0,0.0,82870,3314.8,diagnostic_draw_pixels; four draws are not independent patients,0.9872731908477103,25,25,0.987208602425684,DEFINED,1.0,25,25,1.0,DEFINED,0.83960693359375,25,25,0.83960693359375,DEFINED,0.9859198667306367,25,25,0.9858892532400382,DEFINED,1.0,25,25,1.0,DEFINED,0.022479926215277782,25,25,0.02247992621527778,DEFINED,0.022479926215277782,25,25,0.02247992621527778,DEFINED,pseudo_quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Drishti_GS,J_MSE,31,posterior_mean_clean,none,raw,student,1,25,25,279573,11182.92,337393,13495.72,279573,11182.92,213022,8520.88,3686400,147456.0,3686400,147456.0,82870,3314.8,0,0.0,82870,3314.8,diagnostic_draw_pixels; four draws are not independent patients,0.7367564580572739,25,25,0.7619548382712208,DEFINED,1.0,25,25,1.0,DEFINED,0.07583902994791666,25,25,0.07583902994791666,DEFINED,0.6408634092805268,25,25,0.6313764660203383,DEFINED,1.0,25,25,1.0,DEFINED,0.022479926215277782,25,25,0.02247992621527778,DEFINED,0.022479926215277782,25,25,0.02247992621527778,DEFINED,pseudo_quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Drishti_GS,J_MSE,31,posterior_mean_clean,none,raw,student,2,25,25,311700,12468.0,249738,9989.52,311700,12468.0,223293,8931.72,3686400,147456.0,3686400,147456.0,82870,3314.8,0,0.0,82870,3314.8,diagnostic_draw_pixels; four draws are not independent patients,0.7143268610809466,25,25,0.716371511068335,DEFINED,1.0,25,25,1.0,DEFINED,0.08455403645833336,25,25,0.08455403645833333,DEFINED,0.8968043051881254,25,25,0.8941090262595199,DEFINED,1.0,25,25,1.0,DEFINED,0.022479926215277782,25,25,0.02247992621527778,DEFINED,0.022479926215277782,25,25,0.02247992621527778,DEFINED,pseudo_quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Drishti_GS,J_MSE,31,posterior_mean_clean,none,teacher,student,0,25,25,3095127,123805.08,3099269,123970.76,3071448,122857.92,3038913,121556.52,3686400,147456.0,3546883,141875.32,82870,3314.8,0,0.0,30557,1222.28,diagnostic_draw_pixels; four draws are not independent patients,0.9894569984608297,25,25,0.9894072763074615,DEFINED,0.9922918500810383,25,25,0.9923495869474823,DEFINED,0.83318359375,25,25,0.83318359375,DEFINED,0.9805428980522555,25,25,0.9805257304222382,DEFINED,0.962153591579861,25,25,0.9621535915798611,DEFINED,0.022479926215277782,25,25,0.02247992621527778,DEFINED,0.008624245818056729,25,25,0.008615169995739922,DEFINED,pseudo_quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Drishti_GS,J_MSE,31,posterior_mean_clean,none,teacher,student,1,25,25,279573,11182.92,337393,13495.72,207723,8308.92,164240,6569.6,3686400,147456.0,3546883,141875.32,82870,3314.8,0,0.0,30557,1222.28,diagnostic_draw_pixels; four draws are not independent patients,0.7582105363079832,25,25,0.790668341974649,DEFINED,0.7285529665741524,25,25,0.7430009335665462,DEFINED,0.05634847005208333,25,25,0.056348470052083335,DEFINED,0.49806758436598497,25,25,0.4867913679299808,DEFINED,0.962153591579861,25,25,0.9621535915798611,DEFINED,0.022479926215277782,25,25,0.02247992621527778,DEFINED,0.008624245818056729,25,25,0.008615169995739922,DEFINED,pseudo_quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Drishti_GS,J_MSE,31,posterior_mean_clean,none,teacher,student,2,25,25,311700,12468.0,249738,9989.52,267712,10708.48,204356,8174.24,3686400,147456.0,3546883,141875.32,82870,3314.8,0,0.0,30557,1222.28,diagnostic_draw_pixels; four draws are not independent patients,0.7550439256725187,25,25,0.7633426966292135,DEFINED,0.7976708089928288,25,25,0.8588771254411293,DEFINED,0.07262152777777779,25,25,0.07262152777777778,DEFINED,0.7707671391271771,25,25,0.8182815590739094,DEFINED,0.962153591579861,25,25,0.9621535915798611,DEFINED,0.022479926215277782,25,25,0.02247992621527778,DEFINED,0.008624245818056729,25,25,0.008615169995739922,DEFINED,pseudo_quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Drishti_GS,J_MSE,31,posterior_mean_clean,none,joint,student,0,25,25,3095127,123805.08,3099269,123970.76,3055621,122224.84,3031332,121253.28,3686400,147456.0,3490114,139604.56,82870,3314.8,0,0.0,12591,503.64,diagnostic_draw_pixels; four draws are not independent patients,0.992048390882609,25,25,0.9920510429794794,DEFINED,0.9871787585664508,25,25,0.9872360649498388,DEFINED,0.8288902452256945,25,25,0.8288902452256944,DEFINED,0.9781076755280392,25,25,0.978079669754384,DEFINED,0.9467540147569444,25,25,0.9467540147569444,DEFINED,0.022479926215277782,25,25,0.02247992621527778,DEFINED,0.0036134877637574426,25,25,0.0036076185477035994,DEFINED,pseudo_quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Drishti_GS,J_MSE,31,posterior_mean_clean,none,joint,student,1,25,25,279573,11182.92,337393,13495.72,183379,7335.16,149096,5963.84,3686400,147456.0,3490114,139604.56,82870,3314.8,0,0.0,12591,503.64,diagnostic_draw_pixels; four draws are not independent patients,0.7776019960752284,25,25,0.8130483861292732,DEFINED,0.6289227936356894,25,25,0.6559252860612435,DEFINED,0.049744737413194434,25,25,0.04974473741319444,DEFINED,0.45457838978817044,25,25,0.4419060265032173,DEFINED,0.9467540147569444,25,25,0.9467540147569444,DEFINED,0.022479926215277782,25,25,0.02247992621527778,DEFINED,0.0036134877637574426,25,25,0.0036076185477035994,DEFINED,pseudo_quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Drishti_GS,J_MSE,31,posterior_mean_clean,none,joint,student,2,25,25,311700,12468.0,249738,9989.52,251114,10044.56,198102,7924.08,3686400,147456.0,3490114,139604.56,82870,3314.8,0,0.0,12591,503.64,diagnostic_draw_pixels; four draws are not independent patients,0.783723401990742,25,25,0.788892694154846,DEFINED,0.7354176658521147,25,25,0.805627205646455,DEFINED,0.06811903211805555,25,25,0.06811903211805556,DEFINED,0.7438475956054321,25,25,0.7932393148019125,DEFINED,0.9467540147569444,25,25,0.9467540147569444,DEFINED,0.022479926215277782,25,25,0.02247992621527778,DEFINED,0.0036134877637574426,25,25,0.0036076185477035994,DEFINED,pseudo_quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Drishti_GS,J_MSE,31,posterior_mean_clean,none,raw,teacher,0,25,25,3097344,123893.76,3099269,123970.76,3097344,123893.76,3056354,122254.16,3686400,147456.0,3686400,147456.0,82870,3314.8,0,0.0,82870,3314.8,diagnostic_draw_pixels; four draws are not independent patients,0.9869723091259902,25,25,0.9867660808744524,DEFINED,1.0,25,25,1.0,DEFINED,0.8402083333333334,25,25,0.8402083333333333,DEFINED,0.9861630539106845,25,25,0.9861531864449327,DEFINED,1.0,25,25,1.0,DEFINED,0.022479926215277782,25,25,0.02247992621527778,DEFINED,0.022479926215277782,25,25,0.02247992621527778,DEFINED,pseudo_quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
