seed,variant,trained_site,evaluation_site,class_id,dice
0,L0,REFUGE,REFUGE,1,0.8359720309613017
0,L0,REFUGE,REFUGE,2,0.8283188501868356
0,L0,REFUGE,RIM_ONE_r3,1,0.555826837250837
0,L0,REFUGE,RIM_ONE_r3,2,0.6433715701586185
0,L0,REFUGE,Drishti_GS,1,0.40713623595595877
0,L0,REFUGE,Drishti_GS,2,0.41934011471501564
0,L0,RIM_ONE_r3,REFUGE,1,0.5652602297018247
0,L0,RIM_ONE_r3,REFUGE,2,0.6629275705480359
0,L0,RIM_ONE_r3,RIM_ONE_r3,1,0.7391755760807831
0,L0,RIM_ONE_r3,RIM_ONE_r3,2,0.6777753898692513
0,L0,RIM_ONE_r3,Drishti_GS,1,0.4428788590234284
0,L0,RIM_ONE_r3,Drishti_GS,2,0.42389544817077407
0,L1,REFUGE,REFUGE,1,0.8359720309613017
0,L1,REFUGE,REFUGE,2,0.8283188501868356
0,L1,REFUGE,RIM_ONE_r3,1,0.555826837250837
0,L1,REFUGE,RIM_ONE_r3,2,0.6433715701586185
0,L1,REFUGE,Drishti_GS,1,0.40713623595595877
0,L1,REFUGE,Drishti_GS,2,0.41934011471501564
0,L1,RIM_ONE_r3,REFUGE,1,0.6033474774120949
0,L1,RIM_ONE_r3,REFUGE,2,0.6511541694690489
0,L1,RIM_ONE_r3,RIM_ONE_r3,1,0.7436599485538335
0,L1,RIM_ONE_r3,RIM_ONE_r3,2,0.6852023972985821
0,L1,RIM_ONE_r3,Drishti_GS,1,0.4542113644233683
0,L1,RIM_ONE_r3,Drishti_GS,2,0.43002778321407226
0,L2,REFUGE,REFUGE,1,0.8359720309613017
0,L2,REFUGE,REFUGE,2,0.8283188501868356
0,L2,REFUGE,RIM_ONE_r3,1,0.555826837250837
0,L2,REFUGE,RIM_ONE_r3,2,0.6433715701586185
0,L2,REFUGE,Drishti_GS,1,0.40713623595595877
0,L2,REFUGE,Drishti_GS,2,0.41934011471501564
0,L2,RIM_ONE_r3,REFUGE,1,0.5583210777471195
0,L2,RIM_ONE_r3,REFUGE,2,0.6464802050748272
0,L2,RIM_ONE_r3,RIM_ONE_r3,1,0.7362835878046408
0,L2,RIM_ONE_r3,RIM_ONE_r3,2,0.6749264164305615
0,L2,RIM_ONE_r3,Drishti_GS,1,0.4393229997504308
0,L2,RIM_ONE_r3,Drishti_GS,2,0.4263929184137367
0,L3,REFUGE,REFUGE,1,0.8359720309613017
0,L3,REFUGE,REFUGE,2,0.8283188501868356
0,L3,REFUGE,RIM_ONE_r3,1,0.555826837250837
0,L3,REFUGE,RIM_ONE_r3,2,0.6433715701586185
0,L3,REFUGE,Drishti_GS,1,0.40713623595595877
0,L3,REFUGE,Drishti_GS,2,0.41934011471501564
0,L3,RIM_ONE_r3,REFUGE,1,0.6129085426681478
0,L3,RIM_ONE_r3,REFUGE,2,0.6617290855497653
0,L3,RIM_ONE_r3,RIM_ONE_r3,1,0.7404800709200982
0,L3,RIM_ONE_r3,RIM_ONE_r3,2,0.6771911645964511
0,L3,RIM_ONE_r3,Drishti_GS,1,0.43340419733609276
0,L3,RIM_ONE_r3,Drishti_GS,2,0.4190174420782267
0,L4,REFUGE,REFUGE,1,0.8359720309613017
0,L4,REFUGE,REFUGE,2,0.8283188501868356
0,L4,REFUGE,RIM_ONE_r3,1,0.555826837250837
0,L4,REFUGE,RIM_ONE_r3,2,0.6433715701586185
0,L4,REFUGE,Drishti_GS,1,0.40713623595595877
0,L4,REFUGE,Drishti_GS,2,0.41934011471501564
0,L4,RIM_ONE_r3,REFUGE,1,0.6057279758742095
0,L4,RIM_ONE_r3,REFUGE,2,0.6779664704434195
0,L4,RIM_ONE_r3,RIM_ONE_r3,1,0.7405237962822555
0,L4,RIM_ONE_r3,RIM_ONE_r3,2,0.687137632682927
0,L4,RIM_ONE_r3,Drishti_GS,1,0.4366857219035055
0,L4,RIM_ONE_r3,Drishti_GS,2,0.4238886958008182
0,D1,REFUGE,REFUGE,1,0.8359720309613017
0,D1,REFUGE,REFUGE,2,0.8283188501868356
0,D1,REFUGE,RIM_ONE_r3,1,0.555826837250837
0,D1,REFUGE,RIM_ONE_r3,2,0.6433715701586185
0,D1,REFUGE,Drishti_GS,1,0.40713623595595877
0,D1,REFUGE,Drishti_GS,2,0.41934011471501564
0,D1,RIM_ONE_r3,REFUGE,1,0.5715329120085202
0,D1,RIM_ONE_r3,REFUGE,2,0.6623589073119536
0,D1,RIM_ONE_r3,RIM_ONE_r3,1,0.7389191367672291
0,D1,RIM_ONE_r3,RIM_ONE_r3,2,0.6692149246998491
0,D1,RIM_ONE_r3,Drishti_GS,1,0.44250895282280067
0,D1,RIM_ONE_r3,Drishti_GS,2,0.42252258473326443
0,D2,REFUGE,REFUGE,1,0.8359720309613017
0,D2,REFUGE,REFUGE,2,0.8283188501868356
0,D2,REFUGE,RIM_ONE_r3,1,0.555826837250837
0,D2,REFUGE,RIM_ONE_r3,2,0.6433715701586185
0,D2,REFUGE,Drishti_GS,1,0.40713623595595877
0,D2,REFUGE,Drishti_GS,2,0.41934011471501564
0,D2,RIM_ONE_r3,REFUGE,1,0.575219890532075
0,D2,RIM_ONE_r3,REFUGE,2,0.6725538805607271
0,D2,RIM_ONE_r3,RIM_ONE_r3,1,0.7438146774168581
0,D2,RIM_ONE_r3,RIM_ONE_r3,2,0.67355328079096
0,D2,RIM_ONE_r3,Drishti_GS,1,0.4441966863166113
0,D2,RIM_ONE_r3,Drishti_GS,2,0.4243832881382816
